current_assets,prev_current_assets,cash,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,cash_from_operations,depreciation,interest_expense,revenue,prev_revenue,accounts_receivable,prev_accounts_receivable,capex,roe,debt_ratio,opm,year,net_income
,,1089927366772,176913528267,,,,23956534893851,,,,,22082184811883,-192876880806,1874350081968,,,,,,,1120809170524.0,883088280640.0,,2806255596801,1698252161145,,,,,,-873500480753,,,,2016,
,,761234833341,510545815016,,,,24648674122368,,,,,20897570964702,576674748025,3751103157666,,,,,,,939782249585.0,1120809170524.0,,2806750798374,1647830196377,,,,,,-2041246916247,,,,2017,801897024815.0
,,1503951368387,236731126555,,,,25574772722452,,,,,22679902097615,-55150991808,2894870624837,,,,,,,623919297283.0,939782249585.0,,2792632458193,34870000,,,,,,-657937499647,,,,2018,-198649078153.0
,,816253031774,719723150872,,,,27014118935120,,,,,24233326242485,-345777312327,2780792692635,,,,,,,257473678564.0,671227882392.0,,2333681191938,19985000,,,,,,-1595039269647,,,,2019,-622761502186.0
,,1314565984342,492657341130,,,,25190061074278,,,,,21878336959960,-522503029165,25190061074278,,,,,,,,,,1376703698885,210235000,,,,,,-2716132004,,,,2020,-230018634965.0
,,1185375122156,2917431049174,,,,26671903184202,,,,,19806214028703,110076817962,6865689155499,,,,,,,,,,3514195624777,11815000,,,,,,-2444827236801,,,,2021,578782033232.0
,,1056900546947,4935661884215,,,,28997701022484,,,,,19705240815659,2053683705132,9292460206825,,,,,,,,,,5572422138746,38250000,,,,,,-2975899345339,,,,2022,1729502852463.0
,,622787378176,5552027582941,,,,30391776029656,,,,,20576567788023,2591941106956,9815208241633,,,,,,,,,,4092464601394,22455000,,,,,,-2409933813717,,,,2023,1129105735756.0
,,2215624563052,4475285727467,,,,47012065940089,,,,,47012065940089,3485552013166,10963191867177,,,,,,,,,,4558915095322,2506356814,,,,,,-870653301303,,,,2024,1381858075058.0
,,1869988073408,3474508250345,,,,50406072098945,,,,,38946973671652,3949392383231,11459098427293,,,,,,,1113589428051.0,2110200077994.0,,4075191178550,18028489104,,,,,,-2340229124924,,,,2025,647272880287.0
