current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_debt,roe,debt_ratio,opm,year,long_term_debt,short_term_investments
68050191900,89619308286,14497595479,3316122072,1262306784,98528110,3831297650,1644298553,97153074707,9446098952,87626009486,28243417093,-258202403411.0,68909657614,13865732451,6638998941,-50650984769,-45700074484,-39117907070,-39117907070,-53018974102,16920560693,1670000000,,,,2022,,
230417590193,68050191900,31654786154,5381356692,3316122072,118285383,4114879769,3831297650,267920700163,12793897901,9446098952,267920700163,,235109506784,79586669,43392698,-42216718386,-50650984769,34588685,-36798251578,-36473330744,-145821020313,5940000000,,,,2023,,
111882055343,230417590193,52369332882,19121180786,5381356692,115671778,7846061381,4114879769,435040757949,252412814540,12793897901,435040757949,-377829668493.0,164861091170,107284279,79586669,-67672567880,-42216718386,-806122526,-82420863344,-65696290063,-86423778187,0,,,,2024,52842022216.0,197688927025.0
55619662929,111882055343,14110597196,21802146800,19121180786,124283943,6238124127,7846061381,369911697195,212212100968,252412814540,232478796926,-426105436781.0,137432900269,151025492,107284279,-83103910311,-67947200428,555111367,-47389679756,-55175238016,-2416519586,18910194575,,,,2025,74459326891.0,5000000000.0
