current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,revenue,prev_revenue,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,short_term_investments,accounts_receivable,prev_accounts_receivable,depreciation,long_term_debt
,,503796000000,,,,20341172000000,,,11420898000000,8348100000000,8920274000000,,,,,,,1754224000000.0,1604323000000.0,,,,966246000000,851682000000,-523589000000,,,,2016,,,,,
,,723150000000,,,,22003689000000,,,12341065000000,9185617000000,9662624000000,,,,,,,,,16209942000000.0,13462426000000.0,,1091904000000,1306478000000,-1418200000000,,,,2017,105567000000.0,,,,
,,653570000000,,,,22630978000000,,,12105993000000,9905935000000,10524985000000,,,,,,,,,17744385000000.0,15580063000000.0,,1030460000000,1269197000000,-835889000000,,,,2018,,,,,
,,736668000000,,,,24739276000000,,,13739728000000,10272258000000,10999548000000,,,,,,,,,17786063000000.0,17744385000000.0,,668945000000,1586413000000,-343818000000,,,,2019,,,,,
,,742809000000,,,,24476843000000,,,13720298000000,9834844000000,10756545000000,,,,,,,,,15444214000000.0,17786063000000.0,,-187776000000,1738192000000,-1423999000000,,,,2020,,,,,
,,1204959000000,,,,31191287000000,,,16988343000000,11131297000000,14202944000000,,,,,,,,,20240085000000.0,15444214000000.0,,1614682000000,1013946000000,-1424263000000,,,,2021,,,,64288000000.0,
,,2331204000000,,,,33922242000000,,,17434432000000,13123642000000,16487810000000,,,,,,,,,28777048000000.0,20165049000000.0,,2482704000000,2735369000000,-397506000000,,,,2022,,,,56828000000.0,
,,2222015000000,,,,34448425000000,,,34448425000000,14147282000000,17625195000000,,,,,,,,,25978494000000.0,28582513000000.0,,1578711000000,3020769000000,-1460281000000,,,,2023,,,,42802000000.0,
,,1914654000000,,,,35063398000000,,,35063398000000,14458597000000,18470356000000,,,,,,,,,25297467000000.0,25978494000000.0,,863517000000,2426192000000,-1503270000000,,,,2024,,,,42714000000.0,
,,1610917000000,,,,35707911000000,,,35707911000000,15151702000000,19194117000000,,,,,,,,,25184127000000.0,25249976000000.0,,1038137000000,2193338000000,-1616617000000,,,,2025,,,,55030000000.0,
