current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,net_income,income_tax,cash_from_operations,depreciation,interest_expense,capex,short_term_investments,roe,debt_ratio,opm,year
191601844291,143262382818,1486645461,92750547973,55168219324,95884682651,343707400253,353507246650,601184722829,316666141938,289667349659,128287141563,55375000000,422000279171,148727156670,179184443658,792025672214,395470686385,693533672880,350105309393,98491999334,45365376992,58275121042,25902656706,40216878292,19462720286,34742527648,5438002355,39473568500,40838047.0,8256308086.0,-41537299475,0.0,,,,2016
210218380069,191601844291,12174868674,65786702651,92750547973,130611041631,459384002569,343707400253,728156875981,393238763927,316666141938,124789634723,63015757669,513408749354,161414063665,214748126627,811565474629,792025672214,710053852814,693533672880,101511621815,98491999334,67706996920,58275121042,33804624895,40216878292,19008381280,2908685214,132959024370,0.0,8117457633.0,-60856761104,381886000.0,,,,2017
252394517884,210218380069,27270786605,65577502974,65786702651,155917094159,506667145347,459384002569,813349228763,520650408797,393238763927,204471276438,19478602328,598778410340,162552614698,214570818423,1007545638572,811565474629,875840755191,710053852814,131704883381,101511621815,100942112727,67706996920,30762770654,33804624895,10427632259,8112609434,90489446786,0.0,11451652344.0,-99468119666,0.0,,,,2018
254178941761,252394517884,9739293797,94665316708,65577502974,147121633532,513632994238,506667145347,839945994440,551742415375,520650408797,250782669839,36788254800,678424016404,103868917720,161521978036,1000187191029,1007545638572,912221204225,875840755191,87965986804,131704883381,105895179478,100942112727,-17929192674,30762770654,-42392464545,2988111690,-31626314022,183679183.0,13318224302.0,-73696862716,0.0,,,,2019
198760716144,254178941761,17097430541,53969723321,94665316708,123815132359,512515494878,513632994238,779778510976,350077757661,551742415375,87102663391,0,491479939826,154474824159,288298571150,1201374703500,1000187191029,1004963094371,912221204225,196411609129,87965986804,106671206600,105895179478,89740402529,-17929192674,74882175084,-18395985579,215472899059,99039521.0,10807698142.0,-82871256688,,,,,2020
245072194624,198760716144,16724588508,3953471740,3380182208,144480429821,501305014903,512515494878,857433997054,341995216105,350077757661,28417831613,0,476157712891,244424804159,381276284163,1365832876122,1201374703500,1081684028890,1004963094371,284148847232,196411609129,109829836450,106671206600,174319010782,89740402529,154013907937,35720989829,114588130171,134754774.0,9540033955.0,-80459311755,,,,,2021
504723382744,245072194624,119810060113,139013499410,73072096014,144677492754,586727198498,501305014903,1266333245990,474379874277,341995216105,26219312896,29207730065,653731684232,479347289526,612601561758,1697452348000,1365832876122,1216347937718,1081684028890,481104410282,284148847232,128750162167,109829836450,352354248115,174319010782,346266489780,100165478684,435472860488,349169913.0,8075623093.0,-268795478271,20000000000.0,,,,2022
280223052607,504723382744,9983475277,115248042215,139013499410,142029419654,625184147699,586727198498,1176060549354,488445096807,474379874277,465270360000,0,1176060549354,337766875297,470437819665,1041895724977,1697452348000,1013450112715,1216347937718,28445612262,481104410282,116569731720,128750162167,-88124119458,352354248115,-115143871777,-29547340128,-93400713811,7316277.0,10847598305.0,-90292598477,130600000000.0,,,,2023
509727948750,280223052607,127768593553,215744666804,115248042215,153897673624,630074203858,625184147699,1443279296879,780155095194,488445096807,388710714520,11025460894,1443279296879,298623366588,448475401000,1231421381070,1041895724977,1179473868869,1013450112715,51947512201,28445612262,98916733021,116569731720,-46969220820,-88124119458,-31044704373,5921316729,-161257696543,,,-96814709436,222130000000.0,,,,2024
725636625841,509727948750,53984334079,419821942989,215744666804,239838123371,572230581020,630074203858,1620329743829,794474625938,780155095194,442095713229,0,1620329743829,130916662758,576366152429,1410559919451,1231421381070,1287168487038,1179473868869,123391432413,51947512201,111522829494,98916733021,11868602919,-46969220820,-164580357473,-12107643874,-198611950618,,,-18765150591,0.0,,,,2025
