year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,1963548854,-23957646315,514188415796,514238394051,1963548854,514188415796,-0.0001,1.082,0.0,0.6839,1.0
2021,Q4,46875580199,1963548854,469621094131,514188415796,46875580199,469621094131,-0.0867,22.8729,0.0,0.9786,1.0
2022,Q4,116618143622,46875580199,642920533265,469621094131,116618143622,642920533265,0.369,1.4878,0.0,0.7485,1.0
2023,Q4,62169058401,116618143622,1294975532,642920533265,62169058401,1294975532,-0.998,-0.4669,0.0,-0.4829,-1.0
2024,Q1,22988538920.0,0,199610497176.0,0.0,22988538920.0,199610497176.0,0,22988538920.0,0.0,0.0,0.0
2024,Q2,27501553319.0,0,204739981040.0,0.0,27501553319.0,204739981040.0,0,27501553319.0,0.0,0.0,0.0
2024,Q3,25914194363.0,0,206412069883.0,0.0,25914194363.0,206412069883.0,0,25914194363.0,0.0,0.0,0.0
2024,Q4,101878836049,62169058401,836866961285,1294975532,101878836049,836866961285,645.2415,0.6387,0.0,0.5609,1.0
2025,Q1,47684121420.0,0,252489862715.0,0.0,47684121420.0,252489862715.0,0,47684121420.0,0.0,0.0,0.0
2025,Q2,42070313737.0,0,241419469661.0,0.0,42070313737.0,241419469661.0,0,42070313737.0,0.0,0.0,0.0
2025,Q3,58429667779.0,0,296132768434.0,0.0,58429667779.0,296132768434.0,0,58429667779.0,0.0,0.0,0.0
2025,Q4,204724531402,101878836049,1088025119176,836866961285,204724531402,1088025119176,0.3001,1.0095,0.0,0.6688,1.0
