current_assets,prev_current_assets,cash,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,accounts_receivable,prev_accounts_receivable,depreciation
421580737191,425095623545,203280135229,150000000,92241761564,404366513086,419185971584,890522083754,150625431497,152652311540,6600000000.0,0.0,236978141343,575255432394,653543942411,468007770146,504444993403,444674638697,442500511897,23333131449,61944481506,24780860845,23473084016,-1447729396,38471397490,-23247594775,-24435794182,44463190876,-9837016683,,,,2016,,,
399108316100,421580737191,172556292949,50063231359,81128805911,387097565125,404366513086,838427548584,164030235903,150625431497,6520000000.0,0.0,233899733414,542578092301,604527815170,436273550322,468007770146,409309801228,444674638697,26963749094,23333131449,64423051565,24780860845,-37459302471,-1447729396,-39780186763,-30924388941,33360986758,-47870661524,,,,2017,73908566965.0,103991566556.0,
413712117440,399108316100,62262632985,170000000000,82803027714,377499806314,387097565125,845671572122,118004883565,164030235903,6460000000.0,0.0,238166577254,568586319766,607504994868,396259118104,436273550322,350161001710,409309801228,46098116394,26963749094,29994516169,64423051565,16103600225,-37459302471,25949897852,19818448007,36672642444,-128492134019,,,,2018,71073356892.0,73908566965.0,
411352645906,413712117440,56830356790,185477499825,87953988028,371107278900,377499806314,841373802156,106326931059,118004883565,0.0,0.0,224269462667,578212695436,617104339489,375115530869,396259118104,336613754721,350161001710,38501776148,46098116394,19252033367,29994516169,19249742781,16103600225,23832507823,16645498685,32865196767,-26408272284,,,,2019,63544378282.0,71073356892.0,123309564.0
384117894486,411352645906,42953022264,189420678106,87758979241,280851586269,371107278900,833364508363,121308511157,106326931059,0.0,,235915632066,575931013958,597448876297,301754407743,375115530869,270073530878,336613754721,31680876865,38501776148,18055446661,19252033367,13625430204,19249742781,13111862465,8341660356,52533434664,-37926379682,,,,2020,59160318368.0,63544378282.0,2626910645.0
448298673880,384117894486,15735745093,277219380558,86190432452,276326253245,280851586269,879625081379,124298349751,121308511157,0.0,,226675590424,628184208506,652949490955,335954012592,301754407743,294546632708,270073530878,41407379884,31680876865,20819912930,18055446661,20587466954,13625430204,80923706036,58998656478,1598438949,-3371719252,,,,2021,54144255131.0,59160318368.0,296195176.0
471157538552,448298673880,15838928851,250174331792,130164845940,280202191855,276326253245,930994305130,183462729377,124298349751,,,271939014842,642504988572,659055290288,408024698269,335954012592,351906041816,294546632708,56118656453,41407379884,30353837599,20819912930,25764818854,20587466954,29333567188,23006448479,19209350641,-9712331627,,,,2022,68708619548.0,54144255131.0,131766806.0
586959728958,471157538552,60154336652,299402837013,110637606165,294093023405,280202191855,1056904317494,241801003194,183462729377,,,1056904317494,680490193936,700696578963,492229911,758155342,420431996438,351906041816,65522276896,56118656453,23926306498,30353837599,41595970398,25764818854,8650123888,49529807111,108924475855,-52932847047,,,,2023,110307187245.0,68708619548.0,
526652954048,586959728958,94529035586,209717623375,128288671062,298688305978,294093023405,1034086066876,162946662241,241801003194,,,243741577262,757448979269,790344489614,810281915,492229911,514486015168,420431996438,99967277983,65522276896,-10541336612,23926306498,110508614595,41595970398,27758720217,96131825495,-10025232083,63831966181,,,,2024,,,
715822146295,526652954048,45214394675,279784976024,163603373060,305269689463,298688305978,1228607911035,192510800393,162946662241,,53915705212.0,361814934487,785239925987,866792976548,1231057352,810281915,595042461517,514486015168,116979157957,99967277983,31522156538,-10541336612,85457001419,110508614595,17139895106,61574936460,-59125830346,-45521659182,,,,2025,,,
