current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
695579635875,333591733952,567229500772,22793685401,53829288842,34686173858,11740336277,49441925427,11040630380,1309911592717,159300993592,143265996980,0,881562421,284532324065,179490180700,1025379268652,495521347080,391040194288,66520928091,35002013586,77935688216,67510885873,82289021056,-168367331710,,,,2020
1151245393971,695579635875,808676016756,121060619895,90598570104,53829288842,60160696217,75390838066,49441925427,4305011873994,842728965583,159300993592,4730406119,986054015,1884525757027,740576590974,2420486116967,1012481212260,495521347080,111917451153,66520928091,722074018796,520154676371,227785573351,-803990766853,,,,2021
1057386586545,1151245393971,626770009514,174024000000,71227906183,90598570104,123257820797,92968548773,75390838066,3873941558000,266999791328,842728965583,22202739959,1008665161,1859048360222,507080158886,2014893197778,1147692623364,1012481212260,175817282307,111917451153,-194693830871,-196113897255,133825405055,-963585377391,,,,2022
1020759793411,1057386586545,653717833414,132957669108,85994591857,71227906183,80382694000,115564840572,92968548773,3471016485882,710111348746,266999791328,356647443,461666526371,3471016485882,277393323535,1625527793504,32599918632,62700795050,74516883006,175817282307,42716011252,-322405861214,124621125287,-53998345099,,,,2023
1069083664606,1020759793411,604968707983,30000000000,43341759612,85994591857,0,12437733114,115564840572,3173239057351,1199409097707,710111348746,781183180119,147000000000,3173239057351,188098036230,1478357269717,8541968132,30701152218,19148863191,75389475013,5230016484,-128088854882,27387990781,85363951354,,,,2024
941159141285,1069083664606,492159413083,297143983819,24657726020,43341759612,0,13468135807,12437733114,2676774444103,514237530641,1199409097707,305479052047,645144400000,1478800075861,137234770119,1197974368242,5626695078,8541968132,-39590701112,19148863191,-183839901665,-143084637075,-44267477380,-5506157351,,,,2025
