current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,depreciation,capex,roe,debt_ratio,opm,year,short_term_investments
110287326399,97772862120,19686710916,35396312877.0,36972472608.0,52542523480,129229233510,119755705238,259231951962,125033861826,129648279186,68528091226.0,10787891299,137935820140,43936955353,121296131822,237945883574,165870701012,194398075110,123309029339,43547808464,42561671673,25700826512,18171161533,17846981952,24390510140,7402579777,6310106051,-8007184568,3787080506,881175804,-35553807256,,,,2017,
154415444716,110287326399,24970471529,51697599813.0,35396312877.0,71175970237,259859945788,129229233510,437784811300,189797128574,125033861826,,0,216118602418,72773898569,221666208882,324577035824,237945883574,261334338549,194398075110,63242697275,43547808464,26373259204,25700826512,36869438071,17846981952,36598694386,32338552372,70539021950,3787665233,71071325,-144367381235,,,,2018,
215563114561,154415444716,26242207456,61308821466.0,51697599813.0,115683467344,300400432117,259859945788,563040745560,213771544316,189797128574,,0,296147874067,118750405033,266892871493,392360900500,324577035824,300291265872,261334338549,92069634628,63242697275,37672540881,26373259204,54397093747,36869438071,52767705307,48987389532,-18487997633,8819233227,105251575,-61336358480,,,,2019,
281568714382,215563114561,21759319933,84908382776.0,61308821466.0,158111297636,365907771438,300400432117,692052471094,260754141595,213771544316,,110000000000,450148491496,107731062834,241903979598,321896317585,392360900500,269579242848,300291265872,52317074737,92069634628,47411046831,37672540881,4906027906,54397093747,-2243038085,-5837685450,-36058302986,12501897997,32942176,-110680573757,,,,2020,
530955257907,281568714382,24094289546,135760565347.0,84908382776.0,343647519436,466025396626,365907771438,1050009449283,438435489492,260754141595,,128000000000,689826248786,146590182476,360183200497,606146777369,321896317585,488552248013,269579242848,117594529356,52317074737,59594740715,47411046831,57999788641,4906027906,45071465068,38608634203,-5332713442,21055476725,2143308297,-118500694347,,,,2021,
728789631079,530955257907,18820691703,175438627326.0,135760565347.0,526854191671,575574233261,466025396626,1384813849004,663136656073,438435489492,,0,845244135390,136810453723,539569713614,787598942942,606146777369,672901018995,488552248013,114697923947,117594529356,70299535366,59594740715,44398388581,57999788641,15179648474,1611190846,24176884350,31857989204,100530056,-215128473381,,,,2022,
780088738374,728789631079,16050215038,119676898516.0,157403445042.0,619393788526,646233799633,575574233261,1520116356485,920013040523,663136656073,20000000000.0,91578970142,1520116356485,106431071967,498095317755,3421452021,3015519859,640746246363,607155910120,137948014627,128832618715,88949647426,69147149080,48998367201,59685469635,2495628360,-2230533999,42575134956,44592424724,3385826114,-162439358512,,,,2023,
1141566418825,780088738374,41112736180,272471300463.0,119676898516.0,772339526442,819012125896,646233799633,2103214252543,884795098474,920013040523,840718684193.0,55000000000,2103214252543,189477369122,875584263726,4662412543,3421452021,1000328524307,640746246363,213424277129,137948014627,104723614612,88949647426,108700662517,48998367201,34447804659,83921126833,-113461112534,49438667959,599925053,-211777015417,,,,2024,
1191553161457,1141566418825,32068809373,,,849727100687,976205933902,819012125896,2306446623339,1377318674314,884795098474,1283697912923.0,10500000000,2306446623339,78020590805,737770483785,5406369647,4662412543,955875580820,1000328524307,110455158133,213424277129,109309373310,104723614612,1145784823,108700662517,-3347365522,-102420702080,-39756707314,74927532826,73982656,-305564211571,,,,2025,0.0
