ticker,ask_price_1,ask_vol_1,ask_price_2,ask_vol_2,ask_price_3,ask_vol_3,ask_price_4,ask_vol_4,ask_price_5,ask_vol_5,bid_price_1,bid_vol_1,bid_price_2,bid_vol_2,bid_price_3,bid_vol_3,bid_price_4,bid_vol_4,bid_price_5,bid_vol_5,total_ask_vol,total_bid_vol,order_imbalance,spread,spread_pct,bid_depth_ratio,timestamp
78340,32550,35,32600,49,32650,36,32700,23,32750,10,32400,24,32350,132,32300,42,32250,73,32200,21,153,292,0.3123595505547784,150,0.4629629629628201,0.082191780819103,2026-05-07 09:02:09
78340,32600,66,32650,268,32700,88,32900,30,33050,57,32500,32,32450,248,32400,133,32350,192,32300,39,509,644,0.1170858629651597,100,0.307692307692213,0.0496894409930172,2026-05-07 09:10:52
78340,33000,35,33050,50,33100,70,33150,266,33200,237,32950,1214,32900,61,32850,656,32800,530,32750,239,658,2700,0.6081000595574506,50,0.1517450682852347,0.4496296296279644,2026-05-07 09:23:38
78340,32950,13,33000,48,33050,266,33100,214,33150,357,32900,6,32850,152,32800,142,32750,538,32700,71,898,909,0.0060874377420803,50,0.1519756838905313,0.0066006600659339,2026-05-07 09:49:11
78340,32950,8,33000,12,33050,156,33100,307,33150,357,32900,46,32850,203,32800,205,32750,289,32700,320,840,1063,0.1171833946394262,50,0.1519756838905313,0.0432737535273445,2026-05-07 09:56:52
78340,32650,208,32700,179,32750,19,32800,18,32950,62,32600,55,32550,111,32500,330,32450,801,32400,170,486,1467,0.5023041474628659,50,0.1533742331287873,0.037491479209015,2026-05-07 10:14:34
78340,32600,166,32650,126,32700,41,32750,10,32800,10,32550,35,32500,123,32450,726,32400,507,32350,206,353,1597,0.6379487179454465,50,0.1536098310291386,0.021916092673626,2026-05-07 10:23:45
78340,32550,219,32600,43,32650,217,32700,41,32750,10,32500,131,32450,606,32400,311,32350,579,32300,45,530,1672,0.5186194368732124,50,0.1538461538461065,0.0783492822961821,2026-05-07 10:32:03
78340,32600,228,32650,218,32700,41,32750,10,32800,11,32550,155,32500,172,32450,749,32400,564,32350,53,508,1693,0.538391640161116,50,0.1536098310291386,0.0915534554040664,2026-05-07 10:41:40
78340,32450,281,32500,157,32550,89,32600,121,32650,119,32400,178,32350,165,32300,495,32250,513,32200,121,767,1472,0.3148727110303043,50,0.1543209876542733,0.1209239130426567,2026-05-07 10:59:28
78340,32350,419,32400,67,32450,31,32500,31,32550,39,32300,466,32250,164,32200,209,32150,592,32100,106,587,1537,0.4472693031994008,50,0.1547987616098592,0.3031880286252232,2026-05-07 11:09:49
78340,32400,445,32450,32,32500,22,32600,52,32650,101,32350,304,32300,541,32250,912,32200,1018,32150,343,652,3118,0.6541114058338088,50,0.1545595054095349,0.0974983964076411,2026-05-07 11:35:59
78340,32400,466,32450,32,32500,22,32600,52,32650,101,32350,288,32300,541,32250,911,32200,964,32150,346,673,3050,0.6384636046182153,50,0.1545595054095349,0.0944262295078871,2026-05-07 11:44:02
78340,32300,425,32350,125,32450,31,32500,22,32600,54,32250,660,32200,737,32150,537,32100,423,32050,487,657,2844,0.6246786632372903,50,0.1550387596898744,0.2320675105477072,2026-05-07 11:52:39
78340,32300,314,32350,84,32400,104,32450,31,32500,22,32250,893,32200,691,32150,473,32100,478,32050,561,555,3096,0.6959737058321118,50,0.1550387596898744,0.2884366925055283,2026-05-07 12:01:15
78340,32350,231,32400,1,32450,31,32500,22,32600,54,32300,270,32250,579,32200,874,32150,673,32100,164,339,2560,0.7661262504285404,50,0.1547987616098592,0.105468749999588,2026-05-07 12:11:20
78340,32400,1146,32450,51,32500,22,32600,54,32650,101,32350,423,32300,707,32250,651,32200,1124,32150,358,1374,3263,0.4073754582695549,50,0.1545595054095349,0.1296353049337124,2026-05-07 12:28:08
78340,32400,592,32450,224,32500,24,32600,54,32650,101,32350,363,32300,701,32250,781,32200,999,32150,360,995,3204,0.5260776375314931,50,0.1545595054095349,0.1132958801494591,2026-05-07 12:37:10
78340,32400,1031,32450,76,32500,24,32600,54,32650,101,32350,278,32300,1013,32250,663,32200,1126,32150,360,1286,3440,0.4557765552254427,50,0.1545595054095349,0.0808139534881371,2026-05-07 12:46:09
78340,32400,511,32450,125,32500,2,32600,54,32650,101,32350,78,32300,1208,32250,695,32200,1023,32150,360,793,3364,0.6184748616776077,50,0.1545595054095349,0.0231866825207396,2026-05-07 12:54:10
78340,32350,496,32400,1798,32500,2,32600,12,32650,101,32300,999,32250,550,32200,899,32150,677,32100,166,2409,3291,0.1547368421049917,50,0.1547987616098592,0.3035551504092872,2026-05-07 13:03:57
78340,32600,62,32650,125,32700,1,32750,21,32800,11,32550,15,32500,9,32450,379,32400,2839,32350,151,220,3393,0.8782175477418261,50,0.1536098310291386,0.0044208664898189,2026-05-07 13:25:16
78340,32550,261,32600,1,32650,133,32700,67,32750,21,32500,40,32450,215,32400,2714,32350,250,32300,25,483,3244,0.7408103031909289,50,0.1538461538461065,0.0123304562268423,2026-05-07 13:33:57
78340,32550,267,32600,134,32650,11,32700,67,32750,21,32450,228,32400,2751,32350,374,32300,25,32250,511,500,3889,0.7721576668927497,100,0.3081664098612302,0.0586268963742385,2026-05-07 13:43:12
78340,32450,502,32500,14,32550,136,32650,84,32700,1,32400,137,32350,197,32300,46,32250,357,32200,412,737,1149,0.2184517497337303,50,0.1543209876542733,0.1192341166221128,2026-05-07 13:52:47
78340,32450,256,32500,3,32550,137,32600,12,32650,11,32400,13,32350,6,32300,304,32250,518,32200,411,419,1252,0.4985038898833124,50,0.1543209876542733,0.0103833865813867,2026-05-07 14:03:18
78340,32300,618,32350,123,32400,171,32500,122,32550,137,32250,346,32200,429,32150,314,32100,637,32050,1327,1171,3053,0.4455492424231876,50,0.1550387596898744,0.1133311496884594,2026-05-07 14:28:40
78340,32250,469,32300,296,32350,53,32400,255,32500,122,32200,450,32150,200,32100,512,32050,1454,32000,2692,1195,5308,0.6324773181598763,50,0.1552795031055418,0.0847776940465622,2026-05-07 14:41:02
78340,32300,375,32350,4,32400,149,32500,122,32550,137,32250,236,32200,435,32150,198,32100,675,32050,1324,787,2868,0.5693570451420811,50,0.1550387596898744,0.0822873082284439,2026-05-07 14:52:32
078340,32300,40,32350,95,32400,84,32500,122,32550,137,32250,5,32200,641,32150,214,32100,504,32050,1324,478,2688,0.6980416929857927,50,0.1550387596898744,0.0018601190476121277,2026-05-07 15:03:56
