current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,roe,debt_ratio,opm,year
98567880682,73230336098,40487901445,28664995558,24991152537,16151424062,179890211732,166352541520,326695947743,123304162105,108078967286,51865555247.0,110360700,149153787468,121694107535,177542160275,359321174338,290854624001,267356531600,219185748589,91964642738,71668875412,66691117737,64520061398,25273525001,7148814014,24661798669,18793117788.0,37170609701,-17656277468,4167971136.0,,,,2016
124930476980,98567880682,49289291183,38781704051,28664995558,20702666454,225257926141,179890211732,398177947320,169977251137,123304162105,66460050459.0,87084900,195071088976,146621250573,203106858344,458483886034,359321174338,340543103077,267356531600,117940782957,91964642738,74620412413,66691117737,43320370544,25273525001,35653681633,29103775517.0,43580368449,-45586686354,11204490772.0,,,,2017
129743303962,124930476980,53114940270,39329646575,38781704051,23483251875,244640879456,225257926141,412138323147,138738158949,169977251137,52381179502.0,6850401800,177717666782,177726118989,234420656365,469355767365,458483886034,343785972926,340543103077,125569794439,117940782957,70392694682,74620412413,55177099757,43320370544,53851084607,,37991964269,-22965639632,,,,,2018
184550292413,129743303962,87480148505,53609812134,39329646575,27586995778,246412965564,244640879456,470358961825,149452233987,138738158949,54682660042.0,5100000000,182721296801,231106225182,287637665024,543580958422,469355767365,386438994159,343785972926,157141964263,125569794439,78856770530,70392694682,78285193733,55177099757,78264681483,60028836929.0,52513365100,-12284358524,9632437094.0,,,,2019
199991590114,184550292413,104037102528,44452071008,53609812134,34454114123,308693807331,246412965564,556224426073,163553280936,149452233987,43611585992.0,26080000000,208948913175,290483457608,347275512898,648506611450,543580958422,457034081857,386438994159,191472529593,157141964263,96134625877,78856770530,95337903716,78285193733,90700670118,67973728472.0,80883024292,-66181961497,72442838.0,,,,2020
278912194653,199991590114,114492230597,53199948005,44452071008,44775562069,421088381909,308693807331,753080320659,182419094567,163553280936,49103507480.0,154177663344,357388870699,338529317887,395691449960,642030314159,648506611450,471392423994,457034081857,170637890165,191472529593,105274476194,96134625877,65363413971,95337903716,72127163112,56657565902.0,58357507370,-173074819846,61514941120.0,,,,2021
348640276501,278912194653,96889779765,83610717020,53199948005,110337462516,475328033457,421088381909,924929490964,225328097793,182419094567,46771296005.0,225392863550,470165749462,409235102073,454763741502,909036571591,642030314159,657814038196,471392423994,251222533395,170637890165,160846857257,105274476194,90375676138,65363413971,101955896513,80271060994.0,47787143112,-99819049993,14996768304.0,,,,2022
492073951173,348640276501,218684811276,79845300784,83610717020,142175085782,542993392414,475328033457,1170302770895,402005197765,225328097793,,140667580000,1170302770895,522208620322,576790316113,39308167182,34097995189,776182562968,657814038196,416732045012,251222533395,269217954233,160846857257,147514090779,90375676138,29734237354,126591199633.0,168099691095,-23712997712,22349301203.0,,,,2023
676663603748,492073951173,334820783660,136843205339,79845300784,148020437103,748045744318,542993392414,1594782196967,492425282678,402005197765,77565680925.0,210595812588,1594782196967,769913138043,828033342607,47655348425,39308167182,1004797694924,776182562968,723217308822,416732045012,378648158379,269217954233,344569150443,147514090779,80384368652,271255665463.0,357904674484,-214310262819,42249300000.0,,,,2024
872933619483,676663603748,332840576772,185202492674,136843205339,245011080334,1072621038802,748045744318,2196495586892,555472302432,492425282678,92341086958.0,296883771998,2196495586892,1129476848356,1271540001153,64236386628,47655348425,1298756616303,1004797694924,1053028547483,723217308822,528840141423,378648158379,524188406060,344569150443,128186024899,388673674725.0,309287213625,-478971326893,37079500000.0,,,,2025
