year,quarter,operating_income,prev_operating_income,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2025,Q1,792356362337.0,0.0,792356362337.0,,,,,0.0,0.0
2025,Q2,811464956337.0,0.0,19108594000.0,,,,-0.9758838384995856,-0.7071067811865475,-1.0
2025,Q3,664063596558.0,0.0,-147401359779.0,,,,-8.713877838369479,-0.7353622135383138,-2.0
2025,Q4,2659143002144.0,2649596688033.0,1995079405586.0,,,,-14.535013575025618,1.3618686423496738,-1.0
2026,Q1,861126626939.0,0.0,861126626939.0,,,0.08679208986114137,-0.5683747601584471,0.18272845143435573,1.0
