depreciation,total_assets,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,interest_expense,revenue,prev_revenue,operating_income,prev_operating_income,income_tax,net_income,cash,capex,cash_from_operations,roe,debt_ratio,opm,year
27822027734369,85019029989421,,,16144398281437,12279177676114,85019029989421,,,,2357283417485,2044658985784,,1821614343047,829740954553,1228490070016,-562090731359,,,,2023
27067564623753,87269492540789,,,15602214746140,13670369710657,87269492540789,,,,48779,42777,,2076797712983,859034311218,-2006737745668,3127018161730,,,,2024
27758147678991,96450389944868,,,21292379956314,14643162683264,75158009988554,,,,2659143002144,2649596688033,,2020287132255,1543023515165,-2044175806414,3413166155628,,,,2025
