current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,roe,debt_ratio,opm,year,depreciation,interest_expense
,,,,,,,,79762994519614,,,,,33924600214018,41173778130126,45838394305596,53083512926398,58192344560634,,,,,,,2844324579269,2410042581756,,1048168659851,5269417624166,-3754627358319,,,,,2016,,
,,,,,,,,79024959079531,,,,,31560950538891,43056599815083,47464008540640,60655099616772,53083512926398,,,,,,,4621833653378,2844324579269,,2973469160759,5607310243858,-3817874626487,,,,,2017,,
,,,,,,,,78248265216732,,,,,31488714346325,44216018006790,46759550870407,64977777434194,60655099616772,,,,,,,5542599677254,4621833653378,,1892064406279,5869724523645,-2647969547707,,,,,2018,74780800912.0,
,,,,,,,,79058661130791,,,,,31263954310516,45080117555844,47794706820275,64366847807959,64977777434194,,,,,,,3868854558550,5542599677254,,1982637208513,6004655014887,-3682858684045,,,,,2019,28105220191.0,
,,,,,,,,79086973226376,,,,,31412381141295,46111457267942,47674592085081,57792795732820,64366847807959,,,,,,,2403035192908,3868854558550,,1788152419240,8685737215643,-6259265694096,,,,,2020,828951262.0,
,,,,,,,,91471614111915,,,,,36666670760250,51532887868878,54804943351665,76332345050013,57792795732820,,,,,,,9238089232877,2403035192908,,7195889963608,6259365289022,-5583507767466,,,,,2021,40153276444.0,
,,,,,,,,98406780635254,,,,,40149380046004,52965179627482,58257400589250,84750203702240,76332345050013,,,,,,,4850053015766,9238089232877,,3560483538695,6186764805543,-4219870542320,,,,,2022,24790942153.0,
,,,,,,,,100945394185079,,,,,100945394185079,53857514269524,59663897393468,77127197108585,84750203702240,,,,,,,3531422506439,4850053015766,,1845849532200,6167694886590,-7388223725769,,,,,2023,17784924521.0,
,,,,,,,,103404198997805,,,,,41953831078121,53658367884319,61450367919684,72688143160111,77127197108585,,,,,,,2173573272904,3531422506439,,947580322052,6663654759669,-4486783115945,,,,,2024,185129264523.0,
,,,,,,,,105192437963565,,,,,42814746926182,53177472361053,62377691037383,69094886192787,72688143160111,,,,,,,1827063210829,2173573272904,,504403472266,4571910292218,-6687278144996,,,,,2025,203802002477.0,
