티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
000660,SK하이닉스,0,0,0,0,0,362681000000
009150,삼성전기,0,0,0,0,0,142362000000
005930,삼성전자,0,0,0,0,0,96570000000
475150,SK이터닉스,0,0,0,0,0,91506000000
009830,한화솔루션,0,0,0,0,0,48987000000
064350,현대로템,0,0,0,0,0,45035000000
012450,한화에어로스페이스,0,0,0,0,0,43043000000
011930,신성이엔지,0,0,0,0,0,41705000000
322000,HD현대에너지솔루션,0,0,0,0,0,33489000000
112610,씨에스윈드,0,0,0,0,0,25134000000
010170,대한광통신,0,0,0,0,0,44584000000
196170,알테오젠,0,0,0,0,0,23541000000
050890,쏠리드,0,0,0,0,0,11427000000
131970,두산테스나,0,0,0,0,0,9451000000
018000,유니슨,0,0,0,0,0,7369000000
100790,미래에셋벤처투자,0,0,0,0,0,6389000000
263750,펄어비스,0,0,0,0,0,6179000000
475830,오름테라퓨틱,0,0,0,0,0,6082000000
064760,티씨케이,0,0,0,0,0,5714000000
237690,에스티팜,0,0,0,0,0,5648000000
