티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금,기준일,데이터소스,비고
015360,INVENI,89133,218416,129283,7295816750,17823356550,10527539800,,,
015540,쎌마테라퓨틱스,171286975,173203771,1916796,1323179121135,1336199754960,13020633825,,,
015590,큐로,601397438,597756859,-3640579,500254220802,498442808725,-1811412077,,,
015760,한국전력,18102542,16288457,-1814085,1115868877650,998658327100,-117210550550,,,
015860,일진홀딩스,2748224,2252543,-495681,22599812470,18519411590,-4080400880,,,
015890,태경산업,845429,827897,-17532,4137648432,4050953960,-86694472,,,
016090,대현,909031,977067,68036,1541089113,1653804802,112715689,,,
016360,삼성증권,4261533,4576919,315386,427706665150,466629638150,38922973000,,,
016380,KG스틸,3610890,3425362,-185528,21034252215,20013732480,-1020519735,,,
016385,KG동부제철우,671288,670793,-495,89147715850,89114995850,-32720000,,,
016450,한세예스24홀딩스,391176,368291,-22885,1667803501,1572221504,-95581997,,,
016580,환인제약,802601,713903,-88698,8451653765,7518727515,-932926250,,,
016590,신대양제지,1592002,1636972,44970,23790657415,24538044955,747387540,,,
016610,DB증권,2377874,2771974,394100,37899840395,45085153965,7185313570,,,
016710,대성홀딩스,384657,310270,-74387,3422256330,2755886955,-666369375,,,
016740,두올,3699771,3511683,-188088,17329136112,16463070683,-866065429,,,
016800,퍼시스,12030,10658,-1372,507307150,449072400,-58234750,,,
016880,웅진,10157885,10683823,525938,25023611327,26407531416,1383920089,,,
017040,광명전기,7554737,7036443,-518294,11195770886,10468433063,-727337823,,,
017180,명문제약,1648135,1611359,-36776,3022372322,2954460087,-67912235,,,
017370,우신시스템,1173547,1126535,-47012,7953708725,7636810885,-316897840,,,
017390,서울가스,90026,83657,-6369,6030293050,5596407900,-433885150,,,
017550,수산세보틱스,9070926,9105651,34725,17287549938,17381491750,93941812,,,
017670,SK텔레콤,10172267,9646633,-525634,790523757300,752177811150,-38345946150,,,
017800,현대엘리베이터,2457031,3020948,563917,252102194450,310140652600,58038458150,,,
017810,풀무원,859426,877253,17827,11313722380,11472522465,158800085,,,
017860,DS단석,832214,768770,-63444,15948742230,14633295620,-1315446610,,,
017900,광전자,1682539,1496358,-186181,3312150169,2945949903,-366200266,,,
017940,E1,279312,276086,-3226,28054506750,27435397250,-619109500,,,
017960,한국카본,4968496,4308482,-660014,183105341900,156786687875,-26318654025,,,
018250,애경산업,2469505,2484306,14801,41016015355,41590019470,574004115,,,
018260,삼성에스디에스,773960,783749,9789,132330879000,133350605100,1019726100,,,
018470,조일알미늄,8513100,8130436,-382664,10922805889,10419816931,-502988958,,,
018500,동원금속,4188882,3766395,-422487,6658683733,5994148895,-664534838,,,
018670,SK가스,84042,115176,31134,19599269500,26586348500,6987079000,,,
018880,한온시스템,495128362,523887083,28758721,2307292922640,2443619558122,136326635482,,,
019170,신풍제약,1448225,1349763,-98462,18419070720,17136544980,-1282525740,,,
019175,신풍제약우,38926,37822,-1104,771054770,748645940,-22408830,,,
019180,티에이치엔,5684022,4439654,-1244368,45312973045,35481553560,-9831419485,,,
019440,세아특수강,2572777,2654408,81631,28743694550,29593031970,849337420,,,
019490,하이트론,21382771,21917313,534542,70718052140,72502973795,1784921655,,,
019680,대교,491940,600233,108293,845280484,1025303646,180023162,,,
019685,대교우B,382620,372557,-10063,438251329,426617644,-11633685,,,
020000,한섬,1756252,885983,-870269,35318075140,17993054770,-17325020370,,,
020120,키다리스튜디오,13855941,13424406,-431535,56345103332,54605559658,-1739543674,,,
020150,롯데에너지머티리얼즈,4762646,4418223,-344423,217017702125,199311977950,-17705724175,,,
020560,아시아나항공,1465302,1652400,187098,11290702830,12705931895,1415229065,,,
020760,일진디스플,83976065,83596495,-379570,347570076700,342743528245,-4826548455,,,
021050,서원,6236221,6067448,-168773,7879812196,7662124996,-217687200,,,
021240,코웨이,571028,797621,226593,48760069150,68070076400,19310007250,,,
021820,세원정공,139392,166967,27575,1936870270,2332417175,395546905,,,
022100,포스코DX,6751311,6832118,80807,262180770800,264962230925,2781460125,,,
023000,삼원강재,463541,473985,10444,1115272699,1140772389,25499690,,,
023150,MH에탄올,158078,164380,6302,685668191,714609708,28941517,,,
023350,한국종합기술,414472,384636,-29836,1950328692,1810830241,-139498451,,,
023450,동남합성,13392,10193,-3199,422757125,320909575,-101847550,,,
023530,롯데쇼핑,1906949,909943,-997006,200115646850,96178349600,-103937297250,,,
023590,다우기술,878019,690329,-187690,46992871450,36531551550,-10461319900,,,
023800,인지컨트롤스,1067661,918971,-148690,7814807885,6719660830,-1095147055,,,
023810,인팩,570178,600322,30144,4779389015,5035539520,256150505,,,
023960,에쓰씨엔지니어링,3757296,3921737,164441,6461783386,6758016436,296233050,,,
024070,WISCOM,282583,323552,40969,525793789,600126126,74332337,,,
024090,디씨엠,88227,62722,-25505,1058672125,755358905,-303313220,,,
024110,기업은행,7560659,7515161,-45498,187536431175,188516980975,980549800,,,
024720,콜마홀딩스,778400,872258,93858,7919499675,8864905920,945406245,,,
024890,대원화성,1333102,1203216,-129886,1062409040,959843501,-102565539,,,
024900,디와이덕양,1284006,1259498,-24508,2741172813,2681527212,-59645601,,,
025000,KPX케미칼,97383,102422,5039,5111146550,5406032875,294886325,,,
025530,SJM홀딩스,281544,312437,30893,1054356527,1171515663,117159136,,,
025540,한국단자,232715,231966,-749,17371651050,17244077950,-127573100,,,
025560,미래산업,786866,694978,-91888,11407516420,10110766425,-1296749995,,,
025620,차AI헬스케어,586373,614102,27729,6916909015,7242698935,325789920,,,
025750,한솔홈데코,4366819,4099009,-267810,2684378532,2519965717,-164412815,,,
025820,이구산업,7036111,7038238,2127,39871848740,39816017760,-55830980,,,
025860,남해화학,3743633,3760711,17078,27140975990,27273314685,132338695,,,
025890,한국주강,494609,531275,36666,867901425,935522707,67621282,,,
026890,스틱인베스트먼트,1070362,671527,-398835,12928119920,8168255995,-4759863925,,,
026940,부국철강,960770,931407,-29363,2002574720,1939078976,-63495744,,,
026960,동서,1042284,629294,-412990,29016305650,17361286725,-11655018925,,,
027390,한화갤러리아타임월드,360379,90564,-269815,8313410250,2102133200,-6211277050,,,
027410,BGF,2148791,1997672,-151119,9008239960,8387426127,-620813833,,,
027740,마니커,13150841,13129365,-21476,11334910815,11330732139,-4178676,,,
027970,한국제지,1132437,1086037,-46400,889443866,853606585,-35837281,,,
028050,삼성E&A,5151742,3541434,-1610308,171441003375,118595631350,-52845372025,,,
028100,동아지질,608587,548383,-60204,11084963615,9985682750,-1099280865,,,
028260,삼성물산,1253765,1051782,-201983,397128824750,328506952500,-68621872250,,,
02826K,삼성물산우B,50980,45811,-5169,9858894650,8681095300,-1177799350,,,
028670,팬오션,32249946,28007977,-4241969,166223718087,144881121963,-21342596124,,,
029460,케이씨,339452,328308,-11144,10985090200,10602036725,-383053475,,,
029530,신도리코,717188,740638,23450,42150364650,43778038850,1627674200,,,
029780,삼성카드,408446,252311,-156135,24921673750,15612534600,-9309139150,,,
030000,제일기획,1921915,2127744,205829,41588441575,45334216100,3745774525,,,
030190,NICE평가정보,255903,171519,-84384,4392508945,2897793855,-1494715090,,,
030200,KT,3537858,2571279,-966579,218251304050,159461063250,-58790240800,,,
030210,다올투자증권,5956054,6116942,160888,28423392958,29653664312,1230271354,,,
030610,교보증권,2803813,2821447,17634,41087881195,42407787695,1319906500,,,
030720,동원수산,352182,329028,-23154,2121230210,1978850990,-142379220,,,
030790,비케이탑스,1150032783,1170132079,20099296,997509518448,1019917113630,22407595182,,,
031210,서울보증보험,527013,378419,-148594,29259738350,21334911100,-7924827250,,,
031430,신세계인터내셔날,1228053,1114156,-113897,15325847310,13829268030,-1496579280,,,
031440,신세계푸드,76773,31909,-44864,3679045375,1531437775,-2147607600,,,
031820,아이티센씨티에스,36747537,36682508,-65029,26957702569,26937179357,-20523212,,,
032350,롯데관광개발,6276137,5260351,-1015786,161041108750,134399415950,-26641692800,,,
032560,황금에스티,630720,622808,-7912,3935398795,3904599280,-30799515,,,
032640,LG유플러스,2844349,2225452,-618897,47422228735,36473461625,-10948767110,,,
032830,삼성생명,978499,1308638,330139,203545381850,282657715000,79112333150,,,
033180,필룩스,1138076973,1138974768,897795,5719954513440,5727677614435,7723100995,,,
033240,자화전자,4281074,3979875,-301199,162513736150,151141164700,-11372571450,,,
033250,체시스,4261569,4153245,-108324,4426586770,4316485042,-110101728,,,
033270,유나이티드제약,301352,264925,-36427,5986289510,5241900550,-744388960,,,
033530,SJG세종,5706756,5426858,-279898,60202443865,57087901910,-3114541955,,,
033660,아주캐피탈,8933229,9573958,640729,112137056340,120789390390,8652334050,,,
033780,KT&G,502657,552501,49844,83339243650,92605894000,9266650350,,,
033920,무학,852836,711893,-140943,8214708415,6850743775,-1363964640,,,
034020,두산에너빌리티,68501276,60856680,-7644596,6607690127600,5827447441600,-780242686000,,,
034120,SBS,428407,467851,39444,7976112730,8700900130,724787400,,,
034220,LG디스플레이,48311401,45161675,-3149726,631188071795,584972352285,-46215719510,,,
034230,파라다이스,8106225,6156251,-1949974,164245369040,124813459300,-39431909740,,,
034300,신세계건설,5119648,5771174,651526,123550362000,138977476800,15427114800,,,
034310,NICE,522034,433534,-88500,7478366040,6136988050,-1341377990,,,
034590,인천도시가스,85520,83223,-2297,2272636050,2210190150,-62445900,,,
034730,SK,1542213,1328000,-214213,529636227250,450519246750,-79116980500,,,
03473K,SK우,72219,52336,-19883,18073886250,13049295500,-5024590750,,,
034830,한국토지신탁,45739992,43379610,-2360382,76495497209,73431042678,-3064454531,,,
035000,HS애드,258630,300961,42331,2195212420,2550844630,355632210,,,
035150,백산,248755,145840,-102915,3394695350,1985508035,-1409187315,,,
035250,강원랜드,5053173,3234139,-1819034,93094556075,57967703885,-35126852190,,,
035420,NAVER,7528131,10818107,3289976,1948823173000,2792933825000,844110652000,,,
035510,신세계 I&C,1651677,1656260,4583,29719695930,29771000415,51304485,,,
035720,카카오,16172578,24179564,8006986,951554725750,1413961657450,462406931700,,,
036420,콘텐트리중앙,759885,783771,23886,5465875060,5637774340,171899280,,,
036460,한국가스공사,3928168,2260276,-1667892,167181077075,96012063125,-71169013950,,,
036530,SNT홀딩스,201119,221499,20380,12222509950,13563093200,1340583250,,,
036570,엔씨소프트,1128564,1204349,75785,244414312750,254857789250,10443476500,,,
036580,팜스코,8306076,8001104,-304972,33167830953,32081628127,-1086202826,,,
037270,YG PLUS,15200201,14457878,-742323,112182430900,106574120180,-5608310720,,,
037560,LG헬로비전,2547974,2173234,-374740,6204939901,5288273215,-916666686,,,
037710,광주신세계,237987,256845,18858,8494362300,9139345025,644982725,,,
039130,하나투어,1481130,1080192,-400938,72973691950,52847817500,-20125874450,,,
039490,키움증권,668385,635800,-32585,306587753000,290922481000,-15665272000,,,
039570,HDC랩스,226377,299555,73178,1890087325,2496108275,606020950,,,
041650,상신브레이크,722794,743561,20767,1967893932,2020164220,52270288,,,
042660,한화오션,15566272,14400152,-1166120,2188552153100,1999226214450,-189325938650,,,
042670,두산인프라코어,1875271912,1906487640,31215728,14082853848230,14289363756025,206509907795,,,
042700,한미반도체,12960667,12802583,-158084,2643495234800,2602325579150,-41169655650,,,
044380,주연테크,2584943,2531218,-53725,1028761376,1009155181,-19606195,,,
044450,KSS해운,1160011,778903,-381108,12007669080,8001181020,-4006488060,,,
044820,코스맥스비티아이,161213,201604,40391,2192314455,2738838600,546524145,,,
047040,대우건설,186544728,176163550,-10381178,1343053782618,1275359041729,-67694740889,,,
047050,포스코인터내셔널,7641494,6200284,-1441210,523890349850,425671335600,-98219014250,,,
047400,유니온머티리얼,5909318,5381716,-527602,9083359244,8263093789,-820265455,,,
047810,한국항공우주,5633240,6109566,476326,962194266650,1037584920150,75390653500,,,
049770,동원F&B,862458,1090354,227896,159234707500,199292577500,40057870000,,,
049800,우진플라임,3896161,3871764,-24397,11533898899,11493582899,-40316000,,,
051600,한전KPS,2965329,3127614,162285,177414182100,186789992100,9375810000,,,
051630,진양화학,1539550,1518025,-21525,3571827419,3539580280,-32247139,,,
051900,LG생활건강,491558,436786,-54772,132230532250,116686497500,-15544034750,,,
051905,LG생활건강우,95963,59129,-36834,11115300450,6823825250,-4291475200,,,
051910,LG화학,1533266,1100146,-433120,501130356250,348699428750,-152430927500,,,
051915,LG화학우,352719,413310,60591,56013947100,65148921550,9134974450,,,
052690,한전기술,6122016,5704729,-417287,925144106950,863169253850,-61974853100,,,
053210,스카이라이프,715467,731209,15742,3631177546,3710745108,79567562,,,
053690,한미글로벌,2210546,1935740,-274806,44631500070,39071002030,-5560498040,,,
055490,테이팩스,248730,214812,-33918,3882269195,3342639530,-539629665,,,
055550,신한지주,3433797,3067626,-366171,331602863500,296864266550,-34738596950,,,
057050,현대홈쇼핑,562173,382442,-179731,42628582550,28929169250,-13699413300,,,
058430,포스코스틸리온,1184951,1225419,40468,57519025650,60114564050,2595538400,,,
058650,세아홀딩스,49258,50888,1630,7864752050,8111306150,246554100,,,
058730,다스코,18885706,18694945,-190761,78934131856,78508889900,-425241956,,,
058850,KTcs,6295716,6193518,-102198,18091655428,17782669957,-308985471,,,
058860,KTis,3226552,3094750,-131802,9599574868,9238328925,-361245943,,,
060980,HL홀딩스,230847,217013,-13834,10670859300,10017549200,-653310100,,,
062040,산일전기,3737813,3019396,-718417,582579493850,461593458000,-120986035850,,,
063160,종근당바이오,227947,220363,-7584,4821706125,4659980550,-161725575,,,
064400,LG씨엔에스,10694875,11443721,748846,757826940050,806883041100,49056101050,,,
064960,SNT모티브,549887,707673,157786,19317532725,24917629350,5600096625,,,
066570,LG전자,24735815,22185264,-2550551,2980848265000,2689342060800,-291506204200,,,
066575,LG전자우,2484590,2366627,-117963,138783412325,131640247975,-7143164350,,,
066970,엘앤에프,3242569,3403960,161391,390255631350,403376684200,13121052850,,,
067830,세이브존I&C,10910157,10667945,-242212,36915493664,36134564358,-780929306,,,
068270,셀트리온,7512743,4887715,-2625028,1721583529750,1114304409000,-607279120750,,,
068290,삼성출판사,231548,208904,-22644,2441955685,2196678275,-245277410,,,
068400,SK렌터카,27472728,26930441,-542287,263551826130,258637894510,-4913931620,,,
069260,TKG휴켐스,937792,665453,-272339,19046345625,13410948935,-5635396690,,,
069460,대호에이엘,89478531,99014885,9536354,66768629844,74507654433,7739024589,,,
069620,대웅제약,250717,176280,-74437,44415383750,31107698250,-13307685500,,,
069640,한세엠케이,731211,747942,16731,455158046,467231147,12073101,,,
069730,DSR제강,622296,628620,6324,2579316457,2617516820,38200363,,,
069960,현대백화점,684158,514182,-169976,71341630100,53526350550,-17815279550,,,
070960,모나용평,1624466,1678128,53662,5430632591,5604358900,173726309,,,
071050,한국금융지주,1594232,1692325,98093,388816678100,421870438200,33053760100,,,
071055,한국금융지주우,324602,269884,-54718,53960660300,44775396150,-9185264150,,,
071090,하이스틸,2646207,2429301,-216906,10050880496,9234309439,-816571057,,,
071320,지역난방공사,304953,509775,204822,30766575250,48861556650,18094981400,,,
071840,롯데하이마트,2568837,2456329,-112508,23324067340,22308340915,-1015726425,,,
071950,코아스,1258396,1187831,-70565,4969452191,4623712299,-345739892,,,
071970,HD현대마린엔진,1773028,1784696,11668,152514189750,152034084250,-480105500,,,
072130,유엔젤,803065,686942,-116123,3770835651,3220685328,-550150323,,,
072710,농심홀딩스,165107,136094,-29013,15699083050,12913225950,-2785857100,,,
073240,금호타이어,8748086,6138384,-2609702,60597474910,41917617695,-18679857215,,,
074610,이엔플러스,318677888,320765269,2087381,1798562203495,1813894648710,15332445215,,,
075180,새론오토모티브,60793,69801,9008,191522305,219778155,28255850,,,
075580,세진중공업,2286638,2241673,-44965,43480669880,42214648360,-1266021520,,,
077500,유니퀘스트,3049260,2940423,-108837,20403863150,19663622585,-740240565,,,
077970,STX엔진,1821182,2284502,463320,62307718800,76998913175,14691194375,,,
078000,텔코웨어,1665041,1671347,6306,34361393370,34624414465,263021095,,,
078520,에이블씨엔씨,1798326,1591328,-206998,20475229410,18039982990,-2435246420,,,
078930,GS,983299,984174,875,69376657600,70062703750,686046150,,,
078935,GS우,101783,101449,-334,5866351400,5885586250,19234850,,,
079160,CJ CGV,5649555,5237009,-412546,33750093845,31095063315,-2655030530,,,
079430,현대리바트,3965310,3842996,-122314,30947549280,30172860735,-774688545,,,
079440,오렌지라이프,412596,225071,-187525,11319521200,6163341500,-5156179700,,,
079550,LIG넥스원,847682,930930,83248,399703143750,430591343000,30888199250,,,
079900,전진건설로봇,7691802,7976165,284363,480407842150,499069897350,18662055200,,,
079980,휴비스,2152413,2183292,30879,6135242215,6196223570,60981355,,,
081000,일진다이아,1622937,1526069,-96868,24949114795,23482546300,-1466568495,,,
081660,미스토홀딩스,436387,200907,-235480,22141503925,10281410500,-11860093425,,,
082640,동양생명,16821355,17636631,815276,141962371610,149088218555,7125846945,,,
082740,한화엔진,5182864,4648956,-533908,288732516800,257572022500,-31160494300,,,
083370,동북아12호,88473,110792,22319,444251205,554977810,110726605,,,
083380,동북아13호,60700,60622,-78,304584695,304221785,-362910,,,
083420,그린케미칼,753337,696977,-56360,4678595200,4338766060,-339829140,,,
084010,대한제강,1808379,1531491,-276888,23076173230,19295906395,-3780266835,,,
084670,동양고속,7329922,7320720,-9202,457116925775,457589757475,472831700,,,
084680,이월드,5656761,5387561,-269200,9339809690,8887381478,-452428212,,,
084690,대상홀딩스,2118799,1853778,-265021,22003106030,19307290755,-2695815275,,,
084695,대상홀딩스우,195250,192458,-2792,2829571210,2790325810,-39245400,,,
084870,TBH글로벌,4917694,4814858,-102836,7821173668,7647170279,-174003389,,,
085310,엔케이,6861501,6313891,-547610,7723934157,7118318254,-605615903,,,
085620,미래에셋생명,9427245,10968820,1541575,142273919665,164481188800,22207269135,,,
086280,현대글로비스,2229648,1866630,-363018,567776898000,473385118750,-94391779250,,,
086790,하나금융지주,2812933,2551811,-261122,335644956650,306659312450,-28985644200,,,
088260,이리츠코크렙,656248,213687,-442561,3124414471,1005812950,-2118601521,,,
088350,한화생명,288430983,301340602,12909619,1620676078222,1702149650898,81473572676,,,
088790,진도,989895,1049203,59308,2118191709,2246912553,128720844,,,
088980,맥쿼리인프라,19047085,12106126,-6940959,218616690170,138233380795,-80383309375,,,
089470,HDC현대EP,4570396,4345855,-224541,26748908409,25584285827,-1164622582,,,
089590,제주항공,5930917,4514807,-1416110,36398333860,27613629015,-8784704845,,,
089860,롯데렌탈,603250,407705,-195545,19890544800,13463320250,-6427224550,,,
090080,평화산업,2196625,2156830,-39795,2101022897,2063404366,-37618531,,,
090350,노루페인트,12110646,12542495,431849,115948069230,120342539500,4394470270,,,
090355,노루페인트우,29177,29247,70,379419490,380344190,924700,,,
090370,메타랩스,1571691,1420253,-151438,2701288951,2448340366,-252948585,,,
090430,아모레퍼시픽,3571953,2197472,-1374481,559623658100,347042809200,-212580848900,,,
090435,아모레퍼시픽우,222189,169561,-52628,11901837400,9033479975,-2868357425,,,
090460,비에이치,5168730,3698288,-1470442,105549304095,75033403435,-30515900660,,,
091090,세원셀론텍,141610793,147289355,5678562,422655445960,440519410425,17863964465,,,
091810,티웨이항공,9069084,8377004,-692080,12997705476,11899508836,-1098196640,,,
092200,디아이씨,9053261,8175390,-877871,94652461375,85904675690,-8747785685,,,
092220,KEC,69234162,68395553,-838609,63026390770,62237712048,-788678722,,,
092230,KPX홀딩스,32533,37982,5449,2651259700,3110891600,459631900,,,
092440,기신정기,273616,286182,12566,643304588,672565484,29260896,,,
092780,DYP,3465702,3503443,37741,19865820537,20129852622,264032085,,,
092790,넥스틸,3171419,2760856,-410563,37758222390,32779773700,-4978448690,,,
093050,LF,470872,316267,-154605,10188028500,6695311495,-3492717005,,,
093230,이아이디,4261150526,4353881576,92731050,1323071747967,1357846363062,34774615095,,,
093240,형지엘리트,38977110,39178518,201408,50478768446,50549032165,70263719,,,
093370,후성,5894213,4410763,-1483450,48641160705,36231444150,-12409716555,,,
094280,효성ITX,232002,243063,11061,2963280965,3104710055,141429090,,,
094800,맵스리얼티,1002775,375422,-627353,6135739430,2283608945,-3852130485,,,
095570,AJ네트웍스,5032226,4960081,-72145,26782963780,26402819270,-380144510,,,
095720,웅진씽크빅,1764867,2062392,297525,2061400088,2408652305,347252217,,,
096300,베트남개발1,88007471,88308476,301005,24486119916,24607700088,121580172,,,
096760,JW홀딩스,2528437,2031583,-496854,10562087661,8528371931,-2033715730,,,
096770,SK이노베이션,4086264,2763502,-1322762,494079668200,327362794350,-166716873850,,,
096775,SK이노베이션우,85660,82502,-3158,6280470700,6050151100,-230319600,,,
097230,HJ중공업,13614875,12786652,-828223,346579074450,323267965575,-23311108875,,,
097520,엠씨넥스,428538,509998,81460,12546286125,14816027600,2269741475,,,
097950,CJ제일제당,653297,544538,-108759,145172057750,120503324500,-24668733250,,,
097955,CJ제일제당 우,81749,78682,-3067,11499486450,11057344750,-442141700,,,
099340,하나니켈1호,1256151433,1265702546,9551113,513277019585,517337783682,4060764097,,,
099350,하나니켈2호,273035570,272973545,-62025,440231240935,440217907840,-13333095,,,
100090,SK오션플랜트,3612448,4148616,536168,65405919870,74408013370,9002093500,,,
100220,비상교육,762135,807145,45010,4090130801,4329554160,239423359,,,
100250,진양홀딩스,1344492,1106673,-237819,4216332709,3467017964,-749314745,,,
100840,SNT에너지,2620654,2664018,43364,120546473475,123299035600,2752562125,,,
101060,SBS미디어홀딩스,51446021,49887439,-1558582,102247583585,99824379925,-2423203660,,,
101140,인바이오젠,108288,102042,-6246,1196582105,1128919455,-67662650,,,
101530,해태제과식품,575627,457901,-117726,4010312640,3195627940,-814684700,,,
102260,동성케미컬,1767217,1676446,-90771,7858958455,7449379063,-409579392,,,
102280,쌍방울,1650931970,1672082530,21150560,1640562503638,1663436654636,22874150998,,,
102460,이연제약,688131,651546,-36585,8018073755,7586177450,-431896305,,,
103130,웅진에너지,150910837,151460185,549348,33864806341,34062692333,197885992,,,
103140,풍산,1723716,2501022,777306,200190276000,288196301200,88006025200,,,
103590,일진전기,6451757,6528167,76410,469356823700,471130554100,1773730400,,,
104700,한국철강,293512,340583,47071,2789969865,3221269385,431299520,,,
105560,KB금융,3387974,3560753,172779,521821812100,554442286600,32620474500,,,
105630,한세실업,2491136,2308984,-182152,34505598150,30945332350,-3560265800,,,
105840,우진,13577131,13912313,335182,364465448275,372950986775,8485538500,,,
107590,미원홀딩스,7941,4311,-3630,549226200,297575200,-251651000,,,
108320,LX세미콘,630642,589354,-41288,34670914600,32453380850,-2217533750,,,
108670,LX하우시스,359243,282395,-76848,10981061850,8599027425,-2382034425,,,
108675,LX하우시스우,72256,67374,-4882,1215286970,1133864965,-81422005,,,
109070,주성코퍼레이션,2448012,2668762,220750,1984526475,2164455944,179929469,,,
111110,호전실업,297423,323919,26496,2384625260,2588643025,204017765,,,
111380,동인기연,230713,180866,-49847,3718059050,2911441220,-806617830,,,
111770,영원무역,223592,221578,-2014,20211520800,20126749300,-84771500,,,
114090,GKL,2220975,2444206,223231,29473334005,32082701320,2609367315,,,
115390,락앤락,27742457,29317966,1575509,319607830790,336486427610,16878596820,,,
117580,대성에너지,3740445,3732619,-7826,31276999455,31256275790,-20723665,,,
118000,메타케어,26099721,28164036,2064315,8738594695,9499492071,760897376,,,
119650,KC코트렐,324224560,324625287,400727,2869532241880,2873078458885,3546217005,,,
120030,조선선재,48587,47976,-611,5132424200,5067698450,-64725750,,,
120110,코오롱인더,2281578,2144800,-136778,135474852100,126021303050,-9453549050,,,
120115,코오롱인더우,144496,149576,5080,3944582500,4073173550,128591050,,,
122900,아이마켓코리아,670406,759302,88896,5346463840,6047801795,701337955,,,
123690,한국화장품,4327080,4406277,79197,45162540465,45877911985,715371520,,,
123700,SJM,527703,504469,-23234,1983478161,1896581091,-86897070,,,
123890,한국자산신탁,15329664,14454335,-875329,46274887414,44174751894,-2100135520,,,
126560,현대퓨처넷,2962520,2615777,-346743,10240199417,9026755678,-1213443739,,,
126720,수산인더스트리,940630,817570,-123060,25564893675,22351020675,-3213873000,,,
128820,대성산업,63600239,63595595,-4644,601091735590,601596002595,504267005,,,
128940,한미약품,1179522,929946,-249576,673919443250,532878507750,-141040935500,,,
129260,인터지스,1430956,1430582,-374,3616156511,3613721853,-2434658,,,
130660,한전산업,82064847,81681587,-383260,1764621831060,1757244259255,-7377571805,,,
133820,화인베스틸,1548070,1602373,54303,2411595146,2526322905,114727759,,,
134380,미원화학,21658,26027,4369,2440269500,2910102600,469833100,,,
134790,시디즈,34405,32336,-2069,740622815,696260730,-44362085,,,
136490,선진,4367008,4135089,-231919,55981493300,53061022445,-2920470855,,,
137310,에스디바이오센서,1112228,996668,-115560,10009998015,8942515140,-1067482875,,,
138040,메리츠금융지주,2158519,947294,-1211225,281194554700,124603095900,-156591458800,,,
138250,엔에스쇼핑,17143029,17579784,436755,182349223575,187637048400,5287824825,,,
138490,코오롱ENP,1846177,515196,-1330981,20505259205,5772504950,-14732754255,,,
138930,BNK금융지주,3661081,2471380,-1189701,72717167630,50378798905,-22338368725,,,
139130,iM금융지주,3676724,2806073,-870651,68243034420,54164667680,-14078366740,,,
139480,이마트,7003772,7796454,792682,797537064500,887547399800,90010335300,,,
139990,아주스틸,346807,330979,-15828,1112254540,1061265230,-50989310,,,
140910,에이리츠,5411262,5568128,156866,38509154410,39763542800,1254388390,,,
143210,핸즈코퍼레이션,481191,474948,-6243,557615815,550544133,-7071682,,,
144620,코오롱머티리얼,333845261,333698665,-146596,1088083569519,1088780935503,697365984,,,
145210,다이나믹디자인,12717027,12825201,108174,5462859285,5511238915,48379630,,,
145270,케이탑리츠,819842,708617,-111225,747610968,646305372,-101305596,,,
145720,덴티움,364923,374579,9656,18042995600,18406551700,363556100,,,
145990,삼양사,234247,170395,-63852,11811425125,8512094625,-3299330500,,,
145995,삼양사우,29613,27513,-2100,1109282300,1030501850,-78780450,,,
152330,코리아오토글라스,11559657,12519414,959757,163210044420,175937240720,12727196300,,,
152550,한국ANKOR유전,279436595,279696747,260152,72644734832,72790810908,146076076,,,
153360,하이골드3호,2944952,3088928,143976,4081576130,4197579795,116003665,,,
155660,DSR,384140,378047,-6093,1536828811,1513760953,-23067858,,,
155900,바다로19호,2707114,2747886,40772,7083067030,7186145005,103077975,,,
159650,하이골드8호,3304305,2102325,-1201980,6418851300,4094909300,-2323942000,,,
161000,애경케미칼,9012597,9282828,270231,95931629935,99031490020,3099860085,,,
161390,한국타이어앤테크놀로지,881463,709505,-171958,61724399850,49087726200,-12636673650,,,
161890,한국콜마,1651519,1537268,-114251,117616206700,109119182950,-8497023750,,,
163560,동일고무벨트,861974,887220,25246,6288204285,6474411590,186207305,,,
168490,한국패러랠,7611359,7255834,-355525,15330240720,14571160555,-759080165,,,
170900,동아에스티,205304,217132,11828,11345681100,11845100750,499419650,,,
172580,하이골드12호,4745752,4137034,-608718,10626020760,9387376765,-1238643995,,,
175330,JB금융지주,1950451,1155547,-794904,61069298850,36756951000,-24312347850,,,
178920,PI첨단소재,4844108,4301808,-542300,93404801440,82397147600,-11007653840,,,
180640,한진칼,746923,355393,-391530,99344087150,45005699300,-54338387850,,,
18064K,한진칼우,106885,94549,-12336,4349378600,3838929200,-510449400,,,
181710,NHN,1120669,690851,-429818,42908076400,25666484300,-17241592100,,,
183190,아세아시멘트,819565,644312,-175253,10782449175,8483598595,-2298850580,,,
185750,종근당,436271,271017,-165254,39843560450,24507174250,-15336386200,,,
192080,더블유게임즈,370722,279076,-91646,20220701200,15162661400,-5058039800,,,
192400,쿠쿠홀딩스,174341,266354,92013,4973385775,7609858225,2636472450,,,
192650,드림텍,6938210,6685389,-252821,57085160690,54796776800,-2288383890,,,
192820,코스맥스,542001,464046,-77955,107752851150,91392414200,-16360436950,,,
194370,제이에스코퍼레이션,2206779,1406809,-799970,29909848845,18798192125,-11111656720,,,
