티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금,기준일,데이터소스,비고
004440,삼일씨엔에스,1052678,1009804,-42874,6428050680,6188199920,-239850760,,,
004450,삼화왕관,21562,17191,-4371,633006875,498450625,-134556250,,,
004490,세방전지,478343,474714,-3629,32671999450,32394081150,-277918300,,,
004540,깨끗한나라,950351,926966,-23385,1809935912,1762554068,-47381844,,,
004545,깨끗한나라우,15103,15379,276,166268260,169294690,3026430,,,
004560,현대비앤지스틸,23724708,23893156,168448,436472922960,439887253290,3414330330,,,
004565,현대비앤지스틸우,2587313,2589271,1958,239102124100,239225830900,123706800,,,
004690,삼천리,149680,126664,-23016,21999065450,18578175200,-3420890250,,,
004700,조광피혁,88525,111463,22938,6627571200,8363460800,1735889600,,,
004710,한솔테크닉스,5773094,5589890,-183204,35218691700,34060808365,-1157883335,,,
004720,팜젠사이언스,919212,844252,-74960,3814285037,3497112642,-317172395,,,
004770,써니전자,2711891,2746446,34555,4412388997,4463088989,50699992,,,
004800,효성,240646,139707,-100939,37755615100,21483681400,-16271933700,,,
004830,덕성,4693937,4649804,-44133,24083634365,23903891587,-179742778,,,
004835,덕성우,264380,263344,-1036,1878091835,1871116630,-6975205,,,
004840,DRB동일,797197,888273,91076,4608015205,5141640950,533625745,,,
004870,티웨이홀딩스,4695879,4500467,-195412,2145661949,2055621944,-90040005,,,
004890,동일산업,15292,12829,-2463,597942300,499203800,-98738500,,,
004910,조광페인트,4214663,4204918,-9745,23714278260,23762985995,48707735,,,
004920,씨아이테크,2068979,1887378,-181601,2340264321,2132449135,-207815186,,,
004960,한신공영,4954527,4890712,-63815,62777310180,62046565780,-730744400,,,
004970,신라교역,336667,207450,-129217,3327722855,2047947150,-1279775705,,,
004980,성신양회,1042799,818009,-224790,10755782150,8441057035,-2314725115,,,
004985,성신양회우,78256,76780,-1476,908692225,892183690,-16508535,,,
004990,롯데지주,4221774,3191788,-1029986,145174605275,110817213450,-34357391825,,,
00499K,롯데지주우,48311,48554,243,1495370050,1505041625,9671575,,,
005010,휴스틸,5003678,4510856,-492822,21822406681,19732842991,-2089563690,,,
005030,부산주공,583029793,581279436,-1750357,364627322367,363720875427,-906446940,,,
005070,코스모신소재,3777628,3445694,-331934,205566248175,187542963775,-18023284400,,,
005090,SGC에너지,2957007,2691953,-265054,107086042500,100485754100,-6600288400,,,
005110,한창,841534460,844444622,2910162,1877335004235,1884138107285,6803103050,,,
005180,빙그레,456722,243004,-213718,36863443950,19538064350,-17325379600,,,
005190,동성화학,3731564,3682485,-49079,60542005600,59745456150,-796549450,,,
005250,녹십자홀딩스,592963,373997,-218966,9448173410,5829638970,-3618534440,,,
005257,녹십자홀딩스2우,17352,16648,-704,423961900,406513950,-17447950,,,
005300,롯데칠성,209049,214522,5473,29234009700,29867801250,633791550,,,
005305,롯데칠성우,39943,24776,-15167,3439726300,2097464250,-1342262050,,,
005320,온타이드,7286441,7108559,-177882,3395732860,3322843604,-72889256,,,
005360,모나미,1036399,1062804,26405,1915138619,1966043875,50905256,,,
005380,현대차,12874395,13641199,766804,6433110966250,6773609484250,340498518000,,,
005385,현대차우,1201459,1030931,-170528,314359183000,269228984500,-45130198500,,,
005387,현대차2우B,1340527,1590032,249505,356133092000,419359355250,63226263250,,,
005389,현대차3우B,212899,239718,26819,53968644000,60908148750,6939504750,,,
005390,신성통상,2080791205,2076246424,-4544781,3691601612930,3687839962256,-3761650674,,,
005420,코스모화학,2386598,2021196,-365402,40385110570,34007606140,-6377504430,,,
005430,한국공항,85502,72699,-12803,5950068300,5045840600,-904227700,,,
005440,현대지에프홀딩스,23084922,23208364,123442,346916550410,351635426085,4718875675,,,
005450,신한,18156414,18229326,72912,17468776146,17559834818,91058672,,,
005490,POSCO홀딩스,4766756,4136026,-630730,1790358469250,1546360532750,-243997936500,,,
005500,삼진제약,357307,272445,-84862,6966221515,5291562425,-1674659090,,,
005610,SPC삼립,92507,96911,4404,4705751475,4913302000,207550525,,,
005680,삼영전자,727914,573053,-154861,8703337270,6849977980,-1853359290,,,
005690,파미셀,27727819,27141981,-585838,470563006845,460681225810,-9881781035,,,
005720,넥센,537638,559781,22143,3755108550,3936787830,181679280,,,
005725,넥센우,52556,52460,-96,255387320,254937890,-449430,,,
005740,크라운해태홀딩스,689395,725421,36026,4882427010,5159655405,277228395,,,
005745,크라운해태홀딩스우,23365,23435,70,182276390,182825890,549500,,,
005750,대림바스,2058875,2125479,66604,11442865468,11849997386,407131918,,,
005800,신영와코루,367354,352100,-15254,6303849640,6060953975,-242895665,,,
005810,풍산홀딩스,249404,287234,37830,10010498550,11517779125,1507280575,,,
005820,원림,48396,45772,-2624,727316050,685308640,-42007410,,,
005830,DB손해보험,536751,547504,10753,93837860600,97914849600,4076989000,,,
005850,에스엘,1822959,1346524,-476435,104143992000,76685483250,-27458508750,,,
005870,휴니드,4501717,4483066,-18651,38921930985,38751580800,-170350185,,,
005880,대한해운,83152064,81088304,-2063760,182695419726,177973384938,-4722034788,,,
005935,삼성전자우,26036459,26221688,185229,3202971191200,3252371055950,49399864750,,,
005940,NH투자증권,9468934,12397647,2928713,311602251875,421530479550,109928227675,,,
005945,NH투자증권우,1393580,1390002,-3578,36112428000,36280722725,168294725,,,
005950,이수화학,4406837,4236915,-169922,41285187760,39549487250,-1735700510,,,
005960,동부건설,3745143,2785180,-959963,28674240555,21400231380,-7274009175,,,
005965,동부건설우,117526,117653,127,2458969080,2461423890,2454810,,,
006040,동원산업,597363,458491,-138872,25963902400,19773433675,-6190468725,,,
006060,화승인더,1195402,1269037,73635,4037542512,4272762304,235219792,,,
006090,사조오양,177116,167599,-9517,1526621250,1446571660,-80049590,,,
006110,삼아알미늄,1229125,1261004,31879,37271887575,38179362375,907474800,,,
006120,SK디스커버리,375867,292389,-83478,21512778900,16229581100,-5283197800,,,
006125,SK디스커버리우,42746,43729,983,1646063650,1685164875,39101225,,,
006200,한국전자홀딩스,11568193,11291843,-276350,9287842346,9104875043,-182967303,,,
006220,제주은행,39608598,39115091,-493507,665398111535,658411467385,-6986644150,,,
006260,LS,1690855,1457884,-232971,396001025700,334156639500,-61844386200,,,
006280,녹십자,445914,361548,-84366,76810706750,62156648550,-14654058200,,,
006340,대원전선,196249532,193490624,-2758908,1076510832933,1066421468578,-10089364355,,,
006345,대원전선우,8143552,8156447,12895,40062910290,40165956027,103045737,,,
006360,GS건설,9647551,7358232,-2289319,202799873755,155679203970,-47120669785,,,
006370,대구백화점,465128,451150,-13978,2391801394,2316583599,-75217795,,,
006380,카프로,111761483,111269514,-491969,364306163415,362702277605,-1603885810,,,
006390,한일현대시멘트,8136894,8128361,-8533,241444155950,241475279050,31123100,,,
006400,삼성SDI,8269231,6971132,-1298099,3242932853500,2699900057000,-543032796500,,,
006405,삼성SDI우,126874,116304,-10570,26286353950,23998624100,-2287729850,,,
006490,인스코비,8711298,8950264,238966,5006319010,5151585863,145266853,,,
006570,대림통상,152752,156957,4205,321023221,329804833,8781612,,,
006650,대한유화,316966,205177,-111789,52381481000,32465438300,-19916042700,,,
006660,삼성공조,722331,627009,-95322,9833419065,8503733375,-1329685690,,,
006740,블루산업개발,2757896,2848750,90854,2169549311,2242378830,72829519,,,
006800,미래에셋증권,74610734,81164505,6553771,4165108345100,4565541330975,400432985875,,,
006805,미래에셋증권우,11931136,11946362,15226,276066016315,277377089380,1311073065,,,
00680K,미래에셋증권2우B,13048586,12166235,-882351,247856452800,233014290975,-14842161825,,,
006840,AK홀딩스,293268,278322,-14946,2438904985,2319267880,-119637105,,,
006880,신송홀딩스,607562,593200,-14362,4141355785,4042363850,-98991935,,,
006890,태경케미컬,404126,362453,-41673,3114639820,2788216700,-326423120,,,
006980,우성,144053,100532,-43521,2821066645,1965222985,-855843660,,,
007070,GS리테일,1645412,1531256,-114156,36697932050,33501819425,-3196112625,,,
007110,일신석재,29812163,29391283,-420880,53574714579,53055900698,-518813881,,,
007120,미래아이앤지,6891918,6611390,-280528,8404246778,8078996601,-325250177,,,
007160,사조산업,253954,254758,804,16681625600,16872338050,190712450,,,
007210,벽산,12479029,11698167,-780862,23987771064,22545896113,-1441874951,,,
007280,한국특강,650202,607923,-42279,890220775,832199983,-58020792,,,
007310,오뚜기,68764,38218,-30546,27318866000,15072722250,-12246143750,,,
007340,DN오토모티브,1686674,1417861,-268813,49786829050,42279858925,-7506970125,,,
007460,에이프로젠,170027127,164885985,-5141142,87843835091,86195923998,-1647911093,,,
007540,샘표,242241,193115,-49126,13070808050,10424657575,-2646150475,,,
007570,일양약품,305622430,306478140,855710,19500439673600,19556639361800,56199688200,,,
007575,일양약품우,8579865,8580784,919,776639231550,776554544000,-84687550,,,
