current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
,,,,,,,,7967477349520,,,,,4490031219941,3231362056460,3477446129579,15340631691891,14671209542520,,,,,,,728791166248,698026757210,,505707468911,606297462134,-517510290527,,,,2016
,,,,,,,,8185663711874,,,,,4196146497851,3803749560195,3989517214023,16358289275041,15340631691891,,,,,,,727070498474,728791166248,,680453843815,606533432762,-344905927399,,,,2017
,,,,,,,,8687842635183,,,,,4427675606792,4117348629668,4260167028391,16865565662638,16358289275041,,,,,,,710140105666,727070498474,,437373374120,489663970954,-389512510487,,,,2018
,,,,,,,,10129735810035,,,,,5459455695590,4492540373793,4670280114445,18270050465618,16865565662638,,,,,,,876537578535,710140105666,,502322713669,740967235416,-342642460444,,,,2019
,,,,,,,,10898704436618,,,,,5832335783458,4966821873237,5066368653160,16519884633100,18270050465618,,,,,,,662150585636,876537578535,,606142677103,976882809694,-198426187320,,,,2020
,,,,,,,,12170928242765,,,,,6358516107411,5619944449329,5812412135354,21779581931003,16519884633100,,,,,,,1126245705403,662150585636,,783175862240,1105514871574,-349355289356,,,,2021
,,,,,,,,13877784500296,,,,,6998172212338,6679226432679,6879612287958,26981880971123,21779581931003,,,,,,,1798516596130,1126245705403,,1192805576043,1558795160495,-526556385572,,,,2022
,,,,,,,,14725019903938,,,,,14725019903938,7512974461311,7783923620253,25683197164064,26981880971123,,,,,,,1554032510087,1798516596130,,1070090664293,2242261540033,-1007174651191,,,,2023
,,,,,,,,16849145438725,,,,,16849145438725,8359165908836,8809364261941,28407374301315,25683197164064,,,,,,,1752867442226,1554032510087,,1099486986046,2122406804062,-488953941608,,,,2024
,,,,,,,,18587219950287,,,,,18587219950287,9826277506947,10388453580786,29566409336616,28407374301315,,,,,,,2073007545910,1752867442226,,1734697253045,2500761317215,-1543512922983,,,,2025
