current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,revenue,prev_revenue,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation,short_term_debt
182887114216,0,70532008114,75284080627.0,2419622440,0,3518184869,26894360714,0,230681994725,8583440660,0,10980927224,65556971653,219701067501,8234933159,0,22669937488,0,11978622544,0,10691314944,0,1929622436,0,15544206602,11369732033,-15957721199,2721506542,,,,2016,,
164082794888,182887114216,49995900353,65223928768.0,3468956343,2419622440,3687050829,35264387695,26894360714,221822603101,8442272768,8583440660,11425606293,67562807771,210396996808,12337893026,8234933159,34193137149,22669937488,12254767157,11978622544,21938369992,10691314944,1245969198,1929622436,23765768205,18229326873,47878709695,-40413516905,,,,2017,,
166013251136,164082794888,17462853849,127236987295.0,2140693885,3468956343,5557517640,35645580145,35264387695,218938147534,10648523797,8442272768,14266470810,71734920067,204671676724,18360871554,12337893026,32850248383,34193137149,13106487546,12254767157,19743760837,21938369992,4100644820,1245969198,22486309258,16251788540,-6821342120,-3002565833,,,,2018,,
177457905358,166013251136,21690263596,396109286779.0,2552537775,2140693885,5446306532,40716904873,35645580145,231847040571,9041022145,10648523797,14970961506,270758344539,216876079065,11003474850,18360871554,53695148512,32850248383,18320134425,13106487546,35375014087,19743760837,64698623362,51211119937,38920988712,28019473514,69659446950,-47070181070,,,,2019,0.0,
140561431825,177457905358,15977376963,,4878420275,2552537775,6517008858,59962243058,40716904873,216556145567,4592005378,9041022145,11314026520,266704275305,205242119047,11650626488,11003474850,48644486936,53695148512,16666684029,18320134425,31977802907,35375014087,1868943634,875905065,36084179177,31449220782,30775990492,6916511209,,,,2020,0.0,617663695.0
149328940739,140561431825,22249157221,,5538285947,4878420275,6173909941,62110939030,59962243058,226759967922,9849566008,4592005378,16965547103,271430063688,209794420819,13550863161,11650626488,45537019501,48644486936,17332728577,16666684029,28204290924,31977802907,1406509474,1868943634,33580886637,25184092612,51922402494,-25170935659,,,,2021,0.0,0.0
158933019158,149328940739,5179025910,,6950213713,5538285947,10269065231,60406890483,62110939030,234070032770,10490639116,9849566008,18092034704,273832635407,215977998066,16751775097,13550863161,52345899787,45537019501,18719971612,17332728577,33625928175,28204290924,69097674884,59087882662,34457008420,27216920225,-27680623280,34587812151,,,,2022,39782975343.0,0.0
166427417966,158933019158,31527525960,80894000000.0,13145164130,6950213713,18721508852,63996373592,60406890483,247277104118,11313926179,10490639116,247277104118,285266223888,227298894775,20846246792,16751775097,58363264883,52345899787,17985292070,18719971612,40377972813,33625928175,749088046,229392216,9642425066,39929880781,28602567224,26107639371,,,,2023,315521900146.0,0.0
96406401615,166427417966,5071349626,0.0,32970621796,13145164130,18105175594,125592138837,63996373592,240696868067,8066161756,11313926179,240696868067,286133967871,222977779434,27268624650,20846246792,55317323136,58363264883,21067536007,17985292070,34249787129,40377972813,516140996,749088046,7853055183,32313654383,13486611789,-4010794507,,,,2024,58000000000.0,
83143462733,96406401615,8858967118,0.0,29995706612,32970621796,22603208869,125407166163,125592138837,231273422155,8377844758,8066161756,231273422155,275101828378,212474770623,20565608919,27268624650,52242383874,55317323136,31842600041,21067536007,20399783833,34249787129,72807992793,82585947786,2251558616,20098549915,18589458609,16490096555,,,,2025,21977662638.0,
