year,quarter,operating_income,prev_operating_income,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2025,Q4,20399783833.0,34249787129.0,20399783833.0,,,,,0.0,0.0
2026,Q1,10211190041.0,0.0,10211190041.0,,,,-0.4994461644989726,-0.7071067811865476,-1.0
