,000100,000120,000150,000155,000240,000250,000270,000500,000660,000720,000810,000880,000990,001040,001120,001430,001440,001450,001570,001720,001800,002380,002790,003090,003230,003380,003490,003530,003540,003550,003570,003670,003690,004020,004170,004370,004800,004990,005070,005290,005380,005385,005387,005440,005490,005830,005850,005930,005935,005940,006040,006260,006280,006360,006400,006800,00680K,007070,007310,007340,007660,008770,008930,009150,009240,009420,009540,009830,009970,010060,010120,010130,010140,010950,011070,011170,011200,011210,011780,011790,012330,012450,012510,012630,012750,014680,015760,016360,017670,017800,017960,018260,018670,018880,020150,020560,021240,022100,023530,023590,024110,024720,026960,028050,028260,028300,028670,029780,030000,030200,030530,030610,031210,031980,032350,032640,032820,032830,033780,034020,034220,034230,034730,035250,035420,035720,035760,035900,036460,036570,036930,038500,039030,039200,039490,041510,042660,042700,043260,044820,047040,047050,047810,048410,051600,051900,051910,052690,055550,058470,058610,060310,060370,062040,064350,064400,064760,065350,066570,066970,067310,068270,068760,069500,069620,069960,071050,071970,073240,077970,078340,078600,078930,079550,080220,081660,082270,082740,083650,084370,085620,085660,086280,086520,086790,087010,088350,088980,089030,090430,090460,090710,091160,091170,091180,091220,091230,095340,096770,097230,097950,098460,099320
9,112200,82400,299000,169900,14970,139200,89600,57900,176700,40750,370000,46800,38050,122200,25850,17420,11530,21200,0,85300,17610,245500,22650,19990,964000,5810,20750,3405,17530,64800,32200,120485,7980,23750,154200,400500,52500,22150,39000,28900,190200,149000,150500,5370,258000,88800,32400,55300,46250,14820,40100,127800,122300,17810,175600,10833,4593,14510,399000,20000,31550,43550,28200,116700,41550,27600,263500,29000,93100,64200,39500,765000,14400,51500,138400,59900,18010,42200,117100,93899,255000,739513,60500,18480,62500,113500,25300,49550,53500,71800,19150,127800,235000,3253,22500,9460,81000,24550,67000,21450,15150,9410,25850,18900,118000,56000,3280,41400,18100,51400,4100,6500,34750,34000,10250,11600,1970,84700,112000,28400,8420,12280,129400,16070,195800,37750,60100,68700,38000,144100,33500,3130,114500,27200,132100,120900,76300,74600,1217,11090,3485,48650,81400,5360,43500,334500,215000,66600,50400,35650,24650,2305,15569,53500,107700,52400,85200,58100,70700,64800,10820,154113,46971,33536,135700,58800,80100,36100,4780,23750,39150,81700,37850,310500,12610,36150,31700,26350,27350,33700,5300,10860,111500,49650,62700,160900,2615,11410,33600,123000,12270,1901,29160,8496,17468,8929,30198,49000,93400,7650,235500,13650,43950
10,112800,81900,317000,175600,14910,139000,88600,59700,178400,39850,372000,47400,38100,122200,26100,17500,11710,21800,0,88200,18000,246500,22700,20100,977000,5950,20800,3430,17620,65900,33100,117868,8020,23850,155500,397000,51700,22450,38350,28700,188200,148500,150300,5370,255500,91200,32200,54200,45250,15130,41250,127000,124700,17660,170900,11659,4720,14400,398500,20000,32950,43600,28450,117200,42000,27400,271000,28800,93700,63900,41500,773000,14510,52000,138000,59400,18060,41650,116200,94369,256000,775947,60500,18970,63000,114100,25500,51000,52900,71000,19350,127000,234000,3248,22300,9410,84400,24200,66100,21150,15020,9380,25775,18840,120100,56700,3310,41600,18310,52700,4110,6540,35050,34450,10760,11980,1924,84300,113700,27050,8340,12220,130100,15850,197300,37950,59500,69400,37800,144000,33200,3110,115600,27100,135300,124600,78200,75400,1214,11050,3565,48200,80400,5305,42700,335500,207000,63800,50600,35950,24650,2260,15437,55800,108700,52300,84500,57700,70400,61800,10760,153728,46579,33437,137400,59100,81500,36700,4685,23800,39000,80500,38050,318500,12610,36700,34200,26900,26850,33600,5170,10840,106600,49500,63100,153600,2605,11460,33900,124000,12200,1876,29175,8576,17409,8977,30183,49250,91900,7670,237000,13710,45250
11,109500,82500,322000,181000,15050,133300,87500,58200,185900,40200,371500,48100,38350,125300,26400,17620,11660,21550,0,94200,18290,245000,22550,18970,928000,5950,22000,3450,17920,65800,33700,117190,8060,24000,157600,404000,52000,22600,37000,29750,186500,147500,149300,5490,259000,90900,31350,54300,44350,15260,41550,128200,119500,17680,171400,11848,4700,14580,400000,19950,36400,44100,27900,117800,41400,26450,278000,29600,94500,63800,42100,766000,14730,52000,136900,60600,18210,42000,117000,93993,252000,814351,61800,19020,63500,112100,25850,52400,53100,74200,19410,127200,230000,3244,22050,9690,83500,24250,66300,21300,15240,9220,25650,19220,121200,56700,3330,41600,18340,52000,4120,6520,35050,35700,10690,12240,1708,84500,114400,25150,8400,12040,131600,16190,198200,37800,59600,68700,38150,145600,33700,3115,116300,25900,138100,121100,79500,76800,1220,11150,3410,48800,86300,5205,41450,329000,206500,59500,51100,36300,24750,2350,15297,57800,114000,51500,85300,58200,70800,63300,11050,150550,46186,33785,134000,58600,82700,37350,4715,24200,39250,80800,38050,333000,12900,37300,33100,27650,26950,34000,5170,10450,105000,47950,65000,161000,2605,11530,34200,121600,12200,1902,29730,8800,17254,9228,30791,51700,92600,7670,243000,14130,47500
12,109000,83000,324500,191000,15150,138500,87800,59800,189400,42100,374000,48350,38350,125500,26550,17690,11720,21750,0,91200,18630,250000,22700,18970,957000,5990,22500,3485,18320,66000,34050,118449,8020,24250,157200,406000,51900,22700,37300,29750,187100,148300,149700,5440,260000,90300,31850,54500,45100,15190,41950,129000,118700,17780,170100,11778,4642,14690,398000,20100,37700,43900,28350,117100,41300,26900,276500,30150,94900,64700,42500,771000,14700,51900,137500,64800,18090,42650,122300,95215,256000,847831,64400,19140,63400,112400,26300,52500,52900,74300,19840,126800,227000,3155,22300,9760,83100,24450,65400,21900,15130,9450,25600,19520,121600,57000,3365,41400,18280,50800,4365,6490,35500,36700,10700,12240,1796,84200,114000,26650,8310,12290,131800,16270,188500,36900,55400,68100,37600,145600,33700,3160,118200,26750,140100,120300,79300,77500,1199,11280,3480,48700,85700,5235,41900,329000,207500,61400,50600,36750,25500,2300,15227,57600,114400,52600,86600,58500,70800,63800,11210,153536,46873,33998,136600,58800,82100,37450,4785,24050,38600,81400,38050,326500,13220,36800,35000,28100,29450,33800,5180,10350,104500,48000,64400,165100,2600,11510,34350,122800,12370,1936,30200,8781,17344,9198,31270,53400,92600,7630,244500,14270,48550
13,106700,83000,326500,205000,14860,137700,89200,61400,186800,41100,374000,50300,37800,127900,26650,17930,11710,21400,0,94900,19270,253500,23300,19100,967000,6030,22000,3555,18930,67000,35500,116317,8000,24475,158500,408000,51900,23050,36550,27850,189500,149500,149700,5490,258000,90000,32750,54400,45400,15200,41950,129000,119000,17830,170300,11749,4637,14000,396000,20100,38350,43000,28400,117000,41050,26300,281500,32350,96400,66400,42800,803000,14660,52000,137200,61100,18150,43050,111900,90233,254500,859647,58000,18800,63850,111500,26500,52400,52300,75100,20500,127100,230000,3095,22000,9590,84400,23800,67500,22450,15020,9940,25350,19810,121500,56500,3360,41400,18240,50900,4230,6440,35550,35700,10640,12530,1799,84300,117400,27600,8390,12350,133400,16380,189500,36850,54700,68700,37500,147300,33950,3130,115700,26400,139800,121900,79600,77000,1190,11540,3475,47550,90800,5235,42200,325000,205000,60800,50300,36200,24800,2280,15604,56900,118100,54000,85200,57400,70500,61400,10920,151705,46432,33903,139900,61200,82600,38850,4705,24600,38850,79700,38350,371500,12850,36500,34100,28850,29950,33550,5220,10200,106200,47050,63100,166200,2630,11500,33000,123800,12450,1919,29780,8711,17289,9120,30811,53100,90800,7500,244000,16990,48300
14,103800,84600,350000,204500,15100,135600,89800,62700,193500,42300,374000,48500,38300,129000,26750,18080,11850,21500,0,98700,19310,262500,22800,19570,939000,6100,22250,3605,18980,67900,33200,115638,8090,24550,163200,407000,52400,23300,36700,28500,191400,151400,152400,5570,258000,91000,32950,55000,45900,15430,41500,136400,117100,18150,170600,11898,4690,13980,396500,20450,39550,43550,28950,117900,41700,25700,268000,31850,98000,67700,44500,847000,14400,51800,140000,62000,18290,43250,110700,90985,253000,801549,58400,18800,64000,111700,26650,53500,51500,75600,19710,128500,225000,3081,21500,9510,90400,23500,72800,22800,15150,9230,25600,20000,123300,56500,3400,41550,18270,50300,4260,6480,35650,36600,10600,12800,1809,84700,115500,28400,8480,12310,137500,16490,189700,37050,55500,66500,37850,147100,34350,3165,118000,25000,142700,118000,75100,78800,1210,11650,3515,48350,85900,5170,42700,321000,206000,61300,51000,36450,24950,2280,15876,58700,106100,54300,86300,58300,71300,62400,11150,145637,45598,34172,133200,63500,84900,37900,4735,24500,39050,80700,38850,373000,13050,36400,35400,28650,29800,33800,5270,10100,107400,47150,63800,158000,2645,11490,33950,121900,12770,1950,30255,8767,17329,9208,31335,53400,91200,7170,246500,16540,48400
15,105000,82600,360000,212500,15540,136800,92700,60300,197300,42650,374000,47450,39250,125000,26800,18040,11880,21800,0,103700,18830,263500,22500,19640,922000,6410,22350,3622,19330,67500,32100,113893,8030,25400,160500,404500,53000,23900,36500,30150,195100,153500,154600,5920,256000,91400,33350,56800,46950,15510,40850,136400,117700,18610,170600,12306,4832,14170,393000,20600,39850,42550,29450,124800,41800,26450,260500,31600,99200,67300,45100,815000,14150,52200,150900,63000,19500,43350,112800,92959,256500,768070,58800,18380,64100,113500,24950,54200,51500,74800,19470,129500,217500,3165,22150,9560,91000,23700,74000,23150,15150,9200,25000,20200,123400,56700,3485,41575,18280,50000,4305,6800,35850,37850,10540,12650,1803,84900,113200,28450,8640,12420,136200,16550,187600,37400,55600,67100,37400,147500,35000,3175,127400,25550,144300,117200,73200,80400,1178,11820,3640,48350,83100,5200,42200,322000,202000,61100,50900,38300,25050,2330,16017,59500,101000,55600,92400,58600,72500,63600,11550,146696,46039,34489,133700,65400,86300,36000,4785,23650,39050,81100,39050,358500,13500,36000,36300,27700,30100,35700,5490,10270,110200,46900,64000,173600,2640,11500,35250,121300,13310,2055,31300,8790,17688,9228,32417,54400,90100,6970,237500,17040,46900
16,104000,80900,384000,234500,16140,143200,91800,61900,204000,43450,370000,49550,39750,120600,27150,18100,12030,21750,0,104000,19370,263500,22700,19720,936000,6370,22600,3750,19790,68500,32900,107303,8060,25050,161800,395000,53800,23600,35450,30600,194300,153300,154400,6000,247000,91500,33150,57000,47000,16230,41500,143600,118600,18880,167300,12724,4866,14140,392500,21150,41850,42700,30650,125100,41550,26050,281000,35350,105300,77000,47000,802000,14320,52400,150200,58900,20100,43300,112000,95121,255500,794656,58400,18510,64900,117300,25700,54800,51200,75900,20150,128300,221500,3206,21900,9620,96600,22700,72800,23250,15330,9040,25050,20100,123400,56100,3550,41700,18510,51000,4340,6980,36150,38500,10690,12780,1819,84700,115000,30250,8650,12750,135800,16800,188900,37300,55500,67700,35700,145200,35700,3185,131000,26000,147700,121100,77500,81600,1179,11910,3635,46300,86400,5175,43050,321500,199900,61300,51500,39600,25500,2325,16850,60800,105700,55800,96100,58200,71600,61800,11650,146311,45500,34801,135500,65100,88000,39550,4785,24250,37750,78800,39200,374000,13560,37300,36450,29250,31000,36700,5750,10320,111600,44950,64400,181200,2615,11490,38150,120900,13470,2140,31925,8840,17623,9292,33070,56100,88900,7310,235000,17500,48800
17,105600,79200,386500,231000,16640,145100,90900,61200,199500,42750,367500,50500,39250,125800,27550,18130,12210,21950,0,102400,18660,263500,22650,19830,982000,6630,22400,3770,19670,68900,31900,109047,8080,25200,165600,414500,53700,23750,35250,29950,192200,151900,153200,6020,250000,91900,32950,57100,47000,15900,42500,144200,120100,18530,169600,12525,4837,14100,393000,21450,40800,43000,32000,121900,41650,26400,280500,36350,105100,77100,46700,815000,14240,51700,148400,58400,21800,42400,111400,94181,254000,798596,58900,18820,64800,118100,26150,53000,51000,73300,20600,129100,217500,3197,21750,9640,96300,22900,73800,23450,15300,9600,24950,20150,122900,56300,3600,41700,18370,50900,4530,6980,34450,34200,10850,12870,1816,83100,115200,31100,8640,12810,137500,16910,188200,37250,56700,71600,35500,153700,35200,3165,128800,25700,146400,119700,78700,81400,1180,12520,3605,47000,88400,5240,39700,318000,201000,59500,51400,38900,26400,2270,17991,61600,103300,55200,94600,59200,71500,62000,11340,146600,45941,34727,141200,63800,90200,38875,4785,23350,37800,78400,39050,379500,13270,36500,36050,28300,31050,32800,5600,10840,112100,45650,64100,182500,2635,11510,36650,120900,13300,2090,31335,8890,17528,9311,32467,52800,88200,7450,232000,17150,48600
18,105900,78700,392000,234500,16400,146700,91300,65000,203500,43500,367000,52000,39150,123300,27800,18430,12020,22050,0,100300,18410,257500,22400,19900,1110000,6850,22300,3835,19290,68200,33400,105655,8210,24850,167500,425000,53400,23550,33600,29200,193000,151500,153500,6210,245000,95700,31950,56700,46400,15800,42700,144500,122200,18670,164100,12446,4788,13840,394000,20900,41000,43500,33800,121500,40450,26150,285500,36700,105100,75500,47100,810000,14430,51300,145900,57600,21500,41700,108900,92207,250000,810412,56900,18870,65100,121800,26700,53300,51000,72100,19720,128900,211500,3132,20850,9610,95200,22450,74200,23450,15380,9490,25000,20000,122300,55400,3585,41850,18290,51200,4550,7170,33900,34050,11130,12710,1823,82700,115600,31900,8520,13000,136800,16840,187500,37300,55800,72600,36000,155700,34650,3090,132700,26200,145200,118400,80700,82600,1161,12360,3615,46800,89700,5285,39850,313000,193500,60100,51200,39300,25800,2245,18211,62900,111600,54400,90300,58600,70800,59000,11020,146407,46186,34806,142000,65400,92400,39350,4735,23700,37850,74300,38750,392000,13180,37350,36050,28850,32650,32950,5510,10890,111900,44050,65100,185000,2595,11510,36750,120200,12950,2105,31410,8918,17438,9340,32537,51800,87200,7240,228500,16890,47450
