,000100,000120,000150,000155,000240,000250,000270,000500,000660,000720,000810,000880,000990,001040,001120,001430,001440,001450,001570,001720,001800,002380,002790,003090,003230,003380,003490,003530,003540,003550,003570,003670,003690,004020,004170,004370,004800,004990,005070,005290,005380,005385,005387,005440,005490,005830,005850,005930,005935,005940,006040,006260,006280,006360,006400,006800,00680K,007070,007310,007340,007660,008770,008930,009150,009240,009420,009540,009830,009970,010060,010120,010130,010140,010950,011070,011170,011200,011210,011780,011790,012330,012450,012510,012630,012750,014680,015760,016360,017670,017800,017960,018260,018670,018880,020150,020560,021240,022100,023530,023590,024110,024720,026960,028050,028260,028300,028670,029780,030000,030200,030530,030610,031210,031980,032350,032640,032820,032830,033780,034020,034220,034230,034730,035250,035420,035720,035760,035900,036460,036570,036930,038500,039030,039200,039490,041510,042660,042700,043260,044820,047040,047050,047810,048410,051600,051900,051910,052690,055550,058470,058610,060310,060370,062040,064350,064400,064760,065350,066570,066970,067310,068270,068760,069500,069620,069960,071050,071970,073240,077970,078340,078600,078930,079550,080220,081660,082270,082740,083650,084370,085620,085660,086280,086520,086790,087010,088350,088980,089030,090430,090460,090710,091160,091170,091180,091220,091230,095340,096770,097230,097950,098460,099320
0,275569,42019,84918,17744,94009,112198,430473,146022,2989493,554846,65466,339293,115573,181529,64969,73766,447544,236951,0,1160,91123,13790,140884,19624,29324,147397,713893,133979,51552,73937,143399,166832,116455,364326,19913,19084,4028,36228,155624,166221,522233,44788,84176,40948,164400,147362,74748,10867069,767344,286253,166986,237444,17650,354407,246328,269403,94478,69034,2073,127364,824789,127072,36661,201221,22333,172678,169471,6648754,5030,539051,1843835,7972,6465940,142039,85484,87731,675651,68841,71424,118474,103479,330290,415819,136351,25841,38092,1574665,173272,348469,189635,475858,77648,11755,380265,45778,28679,120604,355888,31006,17575,408878,127585,57814,392905,135610,567075,940801,26609,128789,248290,1927410,37880,158970,281313,668113,533310,8632701,85102,240698,5611133,392822,468739,86324,184106,237641,845939,90785,192961,208999,99816,368449,48221,90246,270838,67750,281704,1479940,2138903,8535553,4573,615436,379463,1044289,287360,81204,20058,173257,82007,1137939,0,92114,5904447,59558,168734,1912310,152118,17203,101972,245961,106528,589901,516958,42075,6951765,18808,29380,91983,567932,124542,155407,45688,49942,166144,161763,340259,74255,395612,689639,551766,51049,18147,1061530,95713,382780,462599,448309,800910,371049,559521,392600,122038,4515846,582052,283016,151536,1069,100882,112513,318905,1572734,58415,888289,24794
1,265138,45415,109034,25797,87073,246088,569432,99540,1305152,443409,16801,349787,54315,93251,35706,79557,451093,143844,0,1204,57379,8115,85082,7671,29469,105973,571132,284117,58646,65217,67985,114084,106411,295281,39554,13818,3889,33727,93824,200349,664774,52409,93680,29098,135988,71386,153209,5848342,477814,272269,69335,209934,15250,149403,146661,172074,85652,97934,1820,96931,626837,51560,31571,149144,11224,138761,121058,1480575,5565,179414,1265080,9254,7886520,76432,55356,44980,4330697,67442,44488,91961,98734,356766,631715,158749,22555,17012,1072781,93674,225417,166434,442825,41471,6783,246097,33129,63958,59609,267997,52425,19484,433362,113692,93791,411276,69710,452337,1478766,28425,209723,164080,1173443,91570,458831,138851,280137,1326279,5077810,56370,101635,9342636,298725,301656,92631,277983,287707,841087,85431,400706,164535,81460,269882,369684,72473,123483,47436,153076,2214342,2389382,1221493,7640,405520,494031,639382,335898,284693,20540,121724,329405,952557,0,72139,2853848,32045,180051,1266426,254235,14668,78880,174771,89612,268404,427357,81680,6025639,20351,78384,68375,496130,128580,216707,36591,94286,50793,124076,365044,51587,136179,593002,1258053,53850,21476,311231,244986,406238,301918,856334,321729,412594,488572,159918,145644,3981638,417453,438072,203183,21023,38935,66494,203280,1153031,55167,633822,22252
2,186965,44815,106298,44125,101035,256890,416037,53923,1877473,321357,18311,184123,94868,366931,30590,102930,313740,88495,0,3760,114035,25397,52598,8646,23602,128403,356491,567451,115060,40088,92414,91693,63126,354532,13943,15713,6367,48860,97869,643897,352360,32418,60717,27956,129392,49745,99222,5941847,572871,391097,85177,129821,10883,122249,184454,522860,276837,146814,708,104439,1206541,66755,39428,112569,9790,119407,163783,4156516,5968,123576,2326625,7275,9035695,78527,60657,52531,2019719,42811,32911,115303,100447,201338,301905,74739,11312,57608,3120504,164204,165552,167836,609070,35843,8559,280718,45557,30762,70259,278834,102334,50403,410926,195112,121686,427356,79598,341659,452824,24778,135844,124167,8199575,124286,217173,156111,458715,909916,2748271,48102,171700,5684586,314553,303330,86400,197065,246628,464726,44075,257422,414238,74684,606144,599656,85634,84239,69585,112678,1369990,1486200,516861,7119,428361,239352,593742,909144,114915,42783,139454,190395,988741,0,70680,2093428,46291,147483,924144,210245,19213,78053,172887,73430,736557,301581,46542,5020620,5891,18552,75966,721969,273548,196246,36283,86171,76054,88301,293599,84468,249508,770094,793697,75635,51441,192050,126109,359895,293001,296495,430434,405414,382362,139883,126408,2021571,513858,273131,258773,20898,95735,135696,203372,924463,25616,528737,27156
3,253119,69178,80024,32588,97261,357858,558552,67239,2008388,525891,54143,227181,112401,95110,45301,66288,439952,408778,0,7158,161414,21307,59599,11434,24927,73771,886900,381163,171345,108123,118037,127689,294625,326583,12051,12637,4746,46726,141127,436143,392723,42825,80714,62136,185959,92323,74724,9532469,777534,618837,59741,151637,11680,201957,213303,854952,331340,122624,1629,52139,642140,74603,58610,139262,13764,140955,180717,3112489,10318,124384,1702525,21301,4738010,78507,82717,80871,1690132,42994,43674,214650,119924,153519,224167,140273,24424,43962,2035289,260893,628806,192749,399278,81096,6661,519811,62763,30186,109732,448322,54204,55836,731380,148510,84180,674611,123933,310277,804378,39088,107278,342270,13042173,218349,143774,128921,386450,899826,2619431,238218,406191,3763759,399941,293694,170821,263701,645159,1247375,75104,158686,452040,50376,377766,7615126,55098,188311,74461,83949,2051026,1423345,559420,5389,461731,269057,1253139,220442,71299,20898,156321,105309,1032942,0,605744,1204453,169886,313476,958302,141863,18435,70246,195443,76940,351965,313545,46233,5779669,11195,28767,76120,475112,171307,127543,30977,94026,238579,316832,379316,99874,548770,2825990,474495,116570,38011,611694,125955,360719,555059,217013,673313,606624,275358,103785,97811,2187624,336926,243615,295331,14454,71624,92380,148051,918763,35954,610189,46851
4,260595,61834,140521,19449,114966,147106,1212681,463337,3857373,527297,52900,245130,124519,123387,112359,54778,849612,265575,0,6062,94980,26101,63017,25010,44985,303482,928709,587943,66343,219416,72510,297620,194344,548874,24699,20940,13601,150212,384990,363863,607448,48895,91669,32685,284877,160388,303796,11148692,831765,422798,47949,139978,18375,201502,532051,1440602,579500,189113,1757,118100,703766,105520,35846,196893,19477,148292,186906,3292499,6670,102077,1754005,14436,3820358,84562,138530,91793,1367125,67337,52895,303772,171554,194175,196829,205141,33279,46641,2241147,216810,610123,155812,246250,78977,8748,1076346,98894,78636,98373,1043916,48728,46198,682479,71218,107855,1183477,148918,584096,684996,39726,145236,340467,3436565,59034,111324,241585,301982,860722,1907219,132643,303594,3008282,857993,321931,115077,260816,391879,687852,52340,174429,509941,126117,665050,503800,98086,98451,59988,93277,2700319,4533237,245612,10338,517936,275155,884042,617144,112022,24432,293033,83440,1135450,0,443788,32485612,335621,251989,1366494,222403,50967,107444,395586,620208,430950,334981,199624,6821321,16166,59556,148062,339727,393940,111151,48837,267053,243853,200239,473056,106295,233435,1475342,1272950,129097,15383,252593,119595,720360,660183,493977,693754,717419,790547,155387,144280,2055992,663499,188321,970037,6852,152694,190398,278213,1070014,28832,708231,28183
5,212330,46814,115591,17076,64183,236693,908535,257955,3162156,1011208,34841,549592,68062,165884,66952,56489,325618,187766,0,4330,119830,12565,164234,19065,37556,144892,675794,192527,41497,118743,69220,292943,207159,381125,32352,20548,17112,69810,176675,606711,642753,49189,84137,52693,209451,146674,259449,10580377,1041499,369329,36109,98559,14047,257018,330284,637115,396354,80019,892,101714,576893,73862,47264,153151,13386,107859,638799,9100548,8527,325938,800010,13628,6597321,128276,293980,73911,1126509,39395,55725,241022,142931,167510,156000,93165,21907,46908,1897743,158294,375945,275488,932509,331275,9814,761149,54410,45060,180016,784425,56962,27499,813052,4103782,163070,1359322,136552,295086,485301,49020,178064,314937,1977466,64250,165070,233683,247589,761137,2131648,118609,232176,7151830,683767,222746,76335,369571,417055,497262,61443,180147,391177,120088,456045,343710,61277,132937,43637,62359,2616604,2444483,10679047,18030,382198,869464,509538,364172,75624,20278,163801,85357,673535,0,188181,4296710,1865979,127822,1186038,211607,32052,129493,366155,216794,458725,337783,45971,6869882,11327,49367,105664,1036676,131031,219891,60990,101623,163473,166132,1261106,85838,231307,1161603,835294,85616,38902,158826,113846,538866,739153,258121,459042,693787,638535,390940,137548,2594965,572254,317139,178462,6796,81636,98563,183307,2009394,32128,604999,34954
6,264547,55975,207207,34877,107252,154221,1356631,123758,3507810,479374,38979,527981,116051,125567,104696,34635,553813,324407,0,6074,122337,17251,101521,29221,33816,159393,676689,378202,39738,133229,69814,316740,187798,507164,11840,16616,14374,81849,176860,584839,528739,54500,82010,160371,195750,158783,177043,12183303,596790,454534,79295,236057,18674,265327,328738,978790,666265,131317,1633,189842,491622,74588,62686,168263,29792,152392,594024,10812131,5872,309928,2280770,10879,14117412,149758,121197,92889,1776211,38012,60707,236432,161180,245851,166633,112738,27412,40849,1442057,187374,488076,196618,697581,143492,6805,597527,55271,36790,129474,593025,34224,28701,716691,419095,59068,1119043,159021,343574,860129,61449,123026,324084,27759931,59463,121849,172301,203762,1055551,4019113,148408,272425,6572442,613032,248287,116842,407889,391764,16562277,54654,350634,437912,58442,387606,197605,55621,150219,80214,181369,7364955,1602496,2135703,17137,825527,722552,424369,227240,111761,24511,201389,218542,1675511,2000130,141309,5052490,378552,248273,981508,139114,35519,97565,555142,214749,395419,284715,41196,5908528,15231,32427,102130,1000466,281063,349603,42929,76943,131306,79947,1281616,102195,167431,2121725,1809719,92221,34462,398713,128290,852234,829472,163586,529893,616936,575499,271925,158094,1430046,546318,534411,578928,18498,226886,145375,208145,2302776,23481,727054,35732
7,325532,40107,186999,34899,89930,145964,572742,88644,2455710,1002607,43137,502193,536755,82725,73954,58940,365956,193696,0,9016,114416,12830,79433,24492,23219,140184,389757,322011,36971,69411,157119,220130,128670,425987,28337,16705,36176,69020,182790,442104,450993,59578,69113,81444,187829,103064,173139,9341518,567522,436699,55903,140791,18835,509682,327979,717598,395317,84634,1517,344581,536223,1244862,53223,155015,17630,146502,367980,3394346,5431,135432,1175475,44378,24860498,169353,66345,90934,1110071,26077,33536,139951,100735,336411,116594,138348,26471,39896,1361623,298046,3257168,164864,627522,201789,11854,480888,64748,35693,94917,437106,39095,37031,597908,246594,45779,651976,115074,325618,635549,56399,163154,518085,3019841,37714,116310,163628,944719,2787689,4137147,120708,210257,4927227,543846,365125,85531,310988,313415,1779369,43323,460994,482302,105329,599839,138845,70692,220127,72990,123086,6344048,1795012,10692960,6306,1384329,270845,658332,290630,139205,26226,246442,121580,965057,541408,154646,1329395,276336,134782,1138465,1030694,36569,70297,244338,250013,410290,414583,66077,2979413,16473,41442,101458,764190,300878,2361537,29868,81154,117628,226035,588215,121764,299657,2617120,6181801,120098,32219,236358,106970,909029,623880,207467,565392,638179,400581,199539,82240,1912491,489606,145988,404916,11512,123353,122927,168590,2201800,79247,552435,50725
8,457008,44499,200287,33154,63439,122678,808315,162353,1866386,604744,52991,523149,250640,87159,72009,79844,780408,432721,0,19477,205225,20250,231737,30684,50137,44973,545429,573846,124377,165346,98705,237091,375592,419082,17722,20753,17009,48225,114475,189495,594224,44738,87961,130221,200752,148239,209748,10295518,784172,925234,28825,300440,17367,283731,241248,1670128,736944,101378,2168,176830,603412,241489,89739,236087,12200,137970,299128,4570254,11028,95826,2789010,23178,8316655,247492,106933,84699,2031119,36273,53254,182659,172236,274319,222573,112871,22081,29395,1948704,601156,2448303,156652,551073,102970,5095,722756,52625,51358,176288,348546,36478,61280,1191891,162525,43970,774668,128705,374792,876516,62376,148469,476869,1972675,143000,212504,137857,1425018,1521114,3374413,178586,193556,5013948,531979,236351,90892,231056,325432,1787062,79974,1114720,288509,101362,225430,189888,41889,135824,82141,157616,23657169,1208871,1984095,7752,1709574,240441,569067,170952,129948,123973,181044,115071,1279248,338995,190955,1261811,398667,860686,863674,477121,19907,73893,339323,152800,359045,604508,68885,7114521,54389,37395,137877,636008,252219,920037,25057,54962,115617,139651,358171,127821,162432,1685330,5683201,73860,97489,88798,142435,489857,764536,217903,655245,479779,421017,431822,92367,981300,326089,393741,237291,3955,50157,97070,261682,1310759,54543,8130912,65078
