date,nav,net_ret,peak,drawdown
2024-07-16,148070007.28983754,-0.012866618067749669,148070007.28983754,0.0
2024-07-17,151063525.07017434,0.020216908441675088,151063525.07017434,0.0
2024-07-18,150933346.20924157,-0.0008617491275427574,151063525.07017434,-0.0008617491275428315
2024-07-19,149748152.58299342,-0.007852430599432213,151063525.07017434,-0.008707412901756936
2024-07-22,151467499.14878446,0.011481587826855618,151467499.14878446,0.0
2024-07-23,150014236.65660042,-0.009594549988288384,151467499.14878446,-0.009594549988288398
2024-07-24,148111285.28165078,-0.012685138539922121,151467499.14878446,-0.022157980332380835
2024-07-25,146872290.78514892,-0.00836529434030484,151467499.14878446,-0.030337916645218586
2024-07-26,146467324.33401218,-0.0027572692505295586,151467499.14878446,-0.033011536091057225
2024-07-29,147367860.7625407,0.006148377685079232,151467499.14878446,-0.027066125797830343
2024-07-30,149018590.14123327,0.011201420514290038,151467499.14878446,-0.016167884340294435
2024-07-31,149050706.89861867,0.0002155218174790985,151467499.14878446,-0.015955847054633206
2024-08-01,150336644.0619725,0.008627514690208796,151467499.14878446,-0.0074659916692830335
2024-08-02,148386504.1560355,-0.01297182013144514,151467499.14878446,-0.020340964299691292
2024-08-05,157110236.48682347,0.05879060484917506,157110236.48682347,0.0
2024-08-06,157057723.7395497,-0.0003342414119412027,157110236.48682347,-0.0003342414119412079
2024-08-07,155102178.8896564,-0.012451121812615897,157110236.48682347,-0.01278120154402216
2024-08-08,153520810.64213383,-0.010195654624862488,157110236.48682347,-0.022846543452250966
2024-08-09,153840008.7924775,0.0020791848936215,157110236.48682347,-0.020814860746646822
2024-08-12,154558156.56364673,0.004668146971689049,157110236.48682347,-0.016243880604118202
2024-08-13,154435772.8634611,-0.0007918294505228714,157110236.48682347,-0.017022847671587998
2024-08-14,155325130.75029573,0.005758755697236696,157110236.48682347,-0.011362122395363172
2024-08-15,156827096.89776272,0.009669820589956982,157110236.48682347,-0.0018021714904903727
2024-08-16,158498745.9840353,0.010659185302412059,158498745.9840353,0.0
2024-08-19,159608774.52402902,0.007003390046414125,159608774.52402902,0.0
2024-08-20,159960895.2968981,0.002206149216539961,159960895.2968981,0.0
2024-08-21,161192149.11179772,0.0076972175769229635,161192149.11179772,0.0
2024-08-22,164067427.70554006,0.017837584582039084,164067427.70554006,0.0
2024-08-23,163903935.9663442,-0.0009964911468551027,164067427.70554006,-0.0009964911468550613
2024-08-26,164265646.07311064,0.0022068421031738567,164265646.07311064,0.0
2024-08-27,164813169.52865607,0.0033331586283216956,164813169.52865607,0.0
2024-08-28,165387324.50713792,0.0034836717243158445,165387324.50713792,0.0
2024-08-29,165012757.73936236,-0.002264785217922683,165387324.50713792,-0.002264785217922789
2024-08-30,165805807.3032456,0.004805989395897759,165805807.3032456,0.0
2024-09-02,166117815.4951721,0.001881768781209663,166117815.4951721,0.0
2024-09-03,168515523.70811227,0.014433781264176626,168515523.70811227,0.0
2024-09-04,168296041.8889919,-0.0013024427322228885,168515523.70811227,-0.0013024427322229633
2024-09-05,169381997.96654433,0.006452653700963072,169381997.96654433,0.0
2024-09-06,168183861.74420556,-0.007073574740660593,169381997.96654433,-0.007073574740660557
2024-09-09,168229029.96499425,0.00026856453598001054,169381997.96654433,-0.006806909915998323
2024-09-10,167763909.66090727,-0.002764804054233389,169381997.96654433,-0.009552894198099258
2024-09-11,168350588.9129134,0.003497052811847304,169381997.96654433,-0.006089248361768871
2024-09-12,169157615.415315,0.004793725448855215,169381997.96654433,-0.0013247130977498984
2024-09-13,170656490.7205572,0.008860820729602708,170656490.7205572,0.0
