current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,depreciation,capex,roe,debt_ratio,opm,year
463011777713,370100342787,133877811938,109225914066,82055349065,11456319674,159161072254,143513048556,768929187307,266129152845,115518914284,3000000000,29956418850,390068004332,109256141246,378861182975,449260920351,393781632232,297652245821,266910968937,151608674530,126870663295,111834656295,109224581979,39774018235,17646081316,41134026168,27400468161,18048903595,3685779722,4252884372,-128626073336,,,,2016
475060314554,463011777713,111192585784,123449943622,109225914066,14658701052,169513805487,159161072254,785602167343,222196380836,266129152845,5372775000,1763250122,376402685436,9566551717,409199481907,418882086148,449260920351,294832976541,297652245821,124049109607,151608674530,130753055545,118573627889,-6703945938,33035046641,-45682950622,-45938569337,10832109493,8891515031,4266732987,-60088243789,,,,2017
463557880495,471704485771,89508575203,160899004034,123457946332,13306982425,243917667471,169513805487,947531798564,227938064868,229248176248,5532500000,17665083284,397285090784,70584618957,550246707780,488599592162,417459627558,320879087133,294646804090,167720505029,122812823468,148705715208,129497102731,19014789821,-6684279263,36590242746,36096902722,75384301644,9721267101,11446613658,-138980953278,,,,2018
509150269176,463557880495,117357565424,159549290552,160899004034,17798845988,371720937738,243917667471,1162923422163,215908460640,227938064868,10317350000,2320084159,496625076998,115658946289,666298345165,534611811539,488599592162,354494310717,320879087133,180117500822,167720505029,174280203593,148705715208,5837297229,19014789821,67309866757,52368083376,24665314018,11400095985,18959202429,-98516670775,,,,2019
567975575925,509150269176,121164381328,153252860676,159764054347,25129422329,478494421570,371720937738,1313710050751,285677964232,215908460640,16271300000,23963764487,676834464631,97330203549,636875586120,664716825657,534611811539,473787272282,354494310717,190929553375,180117500822,193376391846,174280203593,-2446838471,5837297229,-30981179788,-34178922879,46867052537,624275318,22288302361,-173378317517,,,,2020
576915742465,567975575925,122520588340,170989091982,153252860676,25104942056,672080695969,478494421570,1535125058543,421538231528,285677964232,16951200000,18169039743,742012787468,83665986827,793112271075,727476086769,664716825657,510836756656,473787272282,216639330113,190929553375,208926352774,193376391846,7712977339,-2446838471,-10032603765,-21843533305,22229780701,14533618779,24525121721,-110314504941,,,,2021
520266602078,576915742465,66602751769,192721301370,170989091982,32804214658,805020582293,672080695969,1607008259342,477748000923,421538231528,15165900000,10366189728,955071931840,38157953374,651936327502,844582867317,727476086769,640028451468,510836756656,204554415849,216639330113,251630486579,208926352774,-47076070730,7712977339,-71302408963,-69659072395,-20630514157,20867654879,28462897113,-95616228810,,,,2022
538221938715,520266602078,60694404019,245301790177,192721301370,34116593918,853480518247,805020582293,1725570383393,646170685315,477748000923,22113800000,6678791423,1725570383393,28281897389,656333969528,68863656361,65213973404,677579504845,640028451468,276371918287,204554415849,285939387011,251630486579,-9567468724,-47076070730,-8747841211,-5559913651,11511386561,29100774812,30675135,-83720546792,,,,2023
733844173401,538221938715,235407126424,289068118645,245301790177,40311208074,1034953029080,853480518247,2194378669342,1020667092916,654922041732,65462400000,18091392192,1475529477270,20716921784,718849192072,74156008793,68863656361,769792709887,677579504845,275256311237,276371918287,334940447693,285939387011,-59684136456,-9567468724,8346150348,-14550152214,-49546238746,37165449814,1152622025,7364500574,,,,2024
888137334331,733844173401,237558379314,421442889888,289068118645,59602604524,1177628664823,1034953029080,2547575322447,1323184903340,1020667092916,100060794261,13860601246,1738326703550,164802034548,809248618897,80366115744,74156008793,904502768226,769792709887,363750900358,275256311237,412525719706,334940447693,-48774819348,-59684136456,3445644029,-146708498314,-72522501543,54846774682,1479178595,-140399768396,,,,2025
