current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,short_term_debt,long_term_debt,short_term_investments
,,12285453522,,,,,,1791479110121,,,1159829999680,380874147273,631649110441,1860784769772,1903704148042,,,,,,,,,,77051466022,-107674119838,-99604134372,,,,2016,,,
,,89260773508,,,,,,2006761323222,,,1402782860745,353225345295,603978462477,1761316227366,1860784769772,,,,,,,,,,-8628211424,-36377777918,-114994665516,,,,2017,,,
,,28650469112,,,,,,2317491215306,,,1683516817394,310704333097,633974397912,1452651352252,1477507584978,,,,,,,,,,3185323837,151004955851,-143038278232,,,,2019,,,77927025231.0
,,51002306722,,,,,,2595606499093,,,1923097847404,358026031387,672508651689,1600344315019,1452651352252,,,,,,,,,,57881698047,192104829697,-166037662562,,,,2020,,,49975203925.0
,,74538166121,,,,,,2576847035470,,,1813542650473,443929365878,763304384997,1822194315440,1600344315019,,,,,,,,,,105055805629,135245427200,24737385550,,,,2021,,,110000000000.0
,,252910914352,,,,,,3012727223129,,,2077548155320,560579842423,935179067809,2220751868438,1822194315440,,,,,,,,,,122939587371,456521222995,-33436816124,,,,2022,,,-2097770844.0
,,445436760872,,,,,,3815758833285,,,3815758833285,727926949100,1052359009288,2308571092877,2220751868438,,,,,,,,,,174962143119,467285196126,-97044508552,,,,2023,,,0.0
,,546947952484,,,,,,6125264653217,,,6125264653217,907139560022,1237435235062,3276339508425,2308571092877,,,,,,,,,,216648719554,951948218386,-978041755654,,,,2024,,,40000000.0
,,125190009682,,,,,,8064772884180,,,8064772884180,1105911811849,1476107505166,4306936127418,3276339508425,,,,,,,,,,237479536396,-584305263675,-275983136772,,,,2025,,,0.0
