year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,63741639085,18106724003,1600344315019,1452651352252,63741639085,1600344315019,0.1017,2.5203,0.0,0.8345,1.0
2021,Q4,97201006836,63741639085,1822194315440,1600344315019,97201006836,1822194315440,0.1386,0.5249,0.0,0.5122,1.0
2022,Q4,179111737872,97201006836,2220751868438,1822194315440,179111737872,2220751868438,0.2187,0.8427,0.0,0.6276,1.0
2023,Q4,186378438940,179111737872,2308571092877,2220751868438,186378438940,2308571092877,0.0395,0.0406,0.0,0.0751,1.0
2024,Q1,66990279374.0,0,763536502941.0,0.0,66990279374.0,763536502941.0,0,66990279374.0,0.0,0.0,0.0
2024,Q2,49139801560.0,0,604683922126.0,0.0,49139801560.0,604683922126.0,0,49139801560.0,0.0,0.0,0.0
2024,Q3,51939330924.0,0,740296524294.0,0.0,51939330924.0,740296524294.0,0,51939330924.0,0.0,0.0,0.0
2024,Q4,229779392271,186378438940,3276339508425,2308571092877,229779392271,3276339508425,0.4192,0.2329,0.0,0.3177,1.0
2025,Q1,113596925936.0,0,907622648219.0,0.0,113596925936.0,907622648219.0,0,113596925936.0,0.0,0.0,0.0
2025,Q2,77579428413.0,0,945351323737.0,0.0,77579428413.0,945351323737.0,0,77579428413.0,0.0,0.0,0.0
2025,Q3,89588427614.0,0,1049197515922.0,0.0,89588427614.0,1049197515922.0,0,89588427614.0,0.0,0.0,0.0
2025,Q4,319442306790,229779392271,4306936127418,3276339508425,319442306790,4306936127418,0.3146,0.3902,0.0,0.4383,1.0
