current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year
1048340402939,959383641681,244854557115,10793948161,235586779277,214159391257,310649129347,333946657459,307828551099,2045941041016,324433493084,356631230430,51100000000,140250000000,549388685975,1411161804670,1496552355041,1320797335286,1128731291653,931355854828,788062467490,389441480458,340668824163,238981918807,215815901195,97793027286,85837373726,204892402117,161248743738,74144086537,0,5330001404,-77140923699,,,,2016
1069512906257,1048340402939,256607486669,35948090339,283714873637,235586779277,271183981240,355412428909,333946657459,2094673423815,276313677284,324433493084,3186140739,115338888885,488348428333,1493282491002,1606324995482,1462248030140,1320797335286,1037623911211,931355854828,424624118929,389441480458,264479687896,238981918807,88709620146,97793027286,144920491811,109636658758,126125107517,49164020533,4615616080,-42241166896,,,,2017
1110961782607,1069512906257,241296082668,18311850556,343186494375,283714873637,248860494097,343307338273,355412428909,2173812633315,349712424558,276313677284,1300000000,70212166665,522077129723,1535362890260,1651735503592,1518822858428,1462248030140,1105030834749,1037623911211,413792023679,424624118929,289598582754,264479687896,50126443053,88709620146,89391012820,58334962324,93451633128,54024007967,3669086156,-58150584583,,,,2018
1116950744221,1110961782607,274215080262,15311509152,397149391682,343186494375,186909878134,327499212721,343307338273,2117200258200,352226653761,349712424558,15000000000,44250000000,467208886676,1545396193247,1649991371524,1480353606936,1518822858428,1049502433306,1105030834749,430851173630,413792023679,321415785699,289598582754,12535759291,50126443053,54919633069,36612325771,65985413049,50983469958,2892232101,31604784191,,,,2019
1195516580490,1116950744221,353490296919,5570706932,442703668871,397149391682,251985113922,325882777381,327499212721,2393522100926,382174655875,352226653761,48500000000,46774999974,547019907073,1691263708071,1846502193853,1619865302675,1480353606936,1061442785131,1049502433306,558422517544,430851173630,331533797570,321415785699,84255098219,12535759291,239891953125,190401937316,28830248876,50987764068,2363346585,57594896794,,,,2020
1224097103095,1195516580490,253587520811,41142243805,461094533519,442703668871,274780428440,331181630724,325882777381,2463811804950,431979507891,382174655875,69000000000,28124999982,527922717347,1800316544254,1935889087603,1687810317744,1619865302675,1163159788466,1061442785131,524650529278,558422517544,369377397565,331533797570,48596120264,84255098219,126060737101,99126677873,99000468381,43013185444,264281577,-167143273861,,,,2021
1188897717371,1224097103095,293036245029,28092311132,496683358416,461094533519,275215897889,354992804093,331181630724,2472728072149,434154259039,431979507891,64120000000,364186158,464921702703,1902370291501,2007806369446,1775846942745,1687810317744,1257645400812,1163159788466,518201541933,524650529278,375069317559,369377397565,36028967211,48596120264,94926373488,90592526174,99528971405,36450108930,196408029,15621384581,,,,2022
1256459307871,1188897717371,299257957184,12353923112,558981117083,496683358416,284758946262,522912726118,354992804093,2814070521926,583192369256,434154259039,128227000000,0,712337878463,1975441131674,2101732643463,72044576092,45975500421,1293119941507,1257645400812,565863818159,518201541933,389183992435,375069317559,56759795062,36028967211,508433077,134031517424,144128102312,1328795833,6120445732,-199229339280,,,,2023
1360261256866,1256459307871,306475668968,13243760452,609128137239,558981117083,343155941089,598147315144,528403025175,2942048836634,619136487792,583192369256,168002600000,0,791378826075,2010025816397,2150670010559,53719358022,72044576092,1378405062108,1293119941507,689386389746,565863818159,409747875337,388911418937,54880319609,57032368560,6268414683,55163455235,54601585042,144614769,14580186316,-117369101419,,,,2024
1511630227301,1360261256866,348564938250,19670067780,694441735093,609128137239,372764189868,638692432969,598147315144,3220925833989,733553439318,619136487792,199841800000,18567251255,858641498243,2188471830336,2362284335746,116832259976,53719358022,1456719690857,1378405062108,729917895501,689386389746,405829356345,409747875337,104374493823,54880319609,37355525921,185318996567,106227395422,2580352776,157480496,-70953767257,,,,2025
