ppe_net,prev_ppe_net,current_assets,prev_current_assets,inventory,accounts_receivable,prev_accounts_receivable,cash,total_assets,retained_earnings,total_equity,current_liabilities,prev_current_liabilities,total_liabilities,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,short_term_debt,long_term_debt,roe,debt_ratio,opm,year
,,,,,,,196976933350,4546113635860,1207923456240,1727900731559,,,2818212904301,3970435496820,3934509038268,,,,,,,157076708020.0,163950027541.0,,80764817357,296755288897,-250676354366,5000000000,,,,,,2016
,,,,,,,234430215837,4579813617926,1402981270315,1956803041316,,,2623010576610,5064779318222,3970435496820,,,,,,,,,,217647431804,421047042204,-106022782257,4000000000,,,,,,2017
,,,,,,,101804574281,4616720747880,1924564507477,2348147098107,,,2268573649773,5584910608973,5064779318222,,,,,,,,,,503082598293,484649992492,-190681547266,82000000000,,,,,,2018
,,,,,,,127807557195,4538042397798,2186700559548,2629571508396,,,1908470889402,4977931637637,5584910608973,,,,,,,,,,294696728256,557680550905,-135971509060,40334000000,,,,,,2019
,,,,,,,418223093806,5027282217052,2727443364678,3149233632984,,,1878048584068,4809535907763,4961472533742,,,,,,,,,,582982310651,771534306405,-200046468891,97000000000,,,,,,2020
,,,,,,,622937474397,8115674806919,4565066445854,5082908385354,,,3032766421565,8461841500290,4809535907763,,,,,,,,,,1965576708770,2127031389404,-1758508512609,1303000000000,,,,,,2021
,,,,,,,567301480378,7719272223622,5185749834207,5653415177596,,,2065857046026,7975625981021,8461841500290,,,,,,,,,,1025704605758,513532762319,94084326568,1191623935134,,,,,,2022
,,,,,,,452439485955,7979694633685,5391661538830,7979694633685,,,2145675091381,6322528187782,7975625981021,,,,,,,358961881960.0,1147312056499.0,,447043536116,630703779509,-591980008888,855146998183,,,,,,2023
,,,,,,,429285910593,8340238952259,5571212760038,6042223071506,,,2298015880753,7155003786012,6322528187782,,,,,,,272804307588.0,358961881960.0,,348602013402,322334793729,-259014074088,954418845350,,,,,,2024
,,,,,,,650436032913,8474479180387,5742917382709,6246537410457,,,2227941769930,6915145099921,7155003786012,,,,,,,271828509546.0,272804307588.0,,290934780649,715308386329,-372532430750,684822000000,,,,,,2025
