ppe_net,prev_ppe_net,current_assets,prev_current_assets,inventory,accounts_receivable,prev_accounts_receivable,cash,total_assets,retained_earnings,total_equity,current_liabilities,prev_current_liabilities,total_liabilities,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation,interest_expense
418377985853,399059638164,804533066696,766545100844,145818313857,310616260262,263954552368,120420873940,1631322201687,777790855834,955397522096,511201314726,556373589514,675924679591,1620581390629,1395133198527,1403823712894,1219126437802,216757677735,176006760725,105279189102,112728454846,111478488633,63278305879,166459705087,120841276227,97219428005,-89448141655,,,,2016,,
376174963661,418377985853,793899783677,804533066696,142917886284,253763879104,310616260262,108898336538,1600258897742,865216518424,1023185127953,431068930417,511201314726,577073769789,1489427600601,1620581390629,1321406611058,1403823712894,168020989543,216757677735,104661580470,105279189102,63359409073,111478488633,119887391672,100021665616,151218718678,-123745888431,,,,2017,,
383466033015,376174963661,883431603885,793899783677,170253628963,325253311412,253763879104,97877623645,1709312924255,867493361512,1022815937099,535399067329,431068930417,686496987156,1598634354303,1489427600601,1465521758639,1321406611058,133112595664,168020989543,128535227625,104661580470,4577368039,63359409073,30112959245,25164718201,53035423393,-58898255363,,,,2018,,
566775835497,383466033015,1399218046180,887715530000,247838974691,557927849027,325253311412,124012986657,2273626562455,912001008460,1378718061578,729414193470,539682993445,894908500877,2262212220833,1598634354303,2052543751127,1465521758639,209668469706,133112595664,166066865560,128535227625,43601604146,4577368039,81894961674,87092916251,-41020562716,21305240299,,,,2019,,
605117734353,566880835497,1440379978327,1399218046180,245188443073,637243839108,557927849027,133112131334,2338956946126,972188964117,1425168427662,774059765158,729414193470,913788518464,2505016886581,2262212220833,2250232419789,2052543751127,254784466792,209668469706,161620303058,166066865560,93164163734,43601604146,88975953197,64203074571,162813163148,-171355642723,,,,2020,,
645617646184,605117734353,1601327668417,1440379978327,360848443124,636362743143,637243839108,313569653926,2567493133526,1036379403342,1518474284906,898523117862,774059765158,1049018848620,3001142196348,2505016886581,2714481015510,2250232419789,286661180838,254784466792,176120257464,161620303058,110540923374,93164163734,155477506214,96212544698,191550226358,-94505037969,,,,2021,,
734989791267,645617646184,1773353010903,1601327668417,404346127820,861044691857,636362743143,265529556093,2931636940305,1174849883321,1706009149013,1092451714642,898523117862,1225627791292,4174537934857,3001142196348,3709014525291,2714481015510,465523409566,286661180838,267607999573,176120257464,197915409993,110540923374,215698969074,165912606043,171906728050,-178948806668,,,,2022,,
748191797435,734989791267,2070891916834,1773353010903,375498538337,923228179780,861044691857,313793458705,3235734467246,1470360528277,2009119403482,1116078680510,1092451714642,3235734467246,4838846695980,4174537934857,4200051651390,3709014525291,638795044590,465523409566,252609291717,267607999573,386185752873,197915409993,79550096076,349266124228,432365891249,-270067732041,,,,2023,,
861299764311,748191797435,2346052089698,2070891916834,416147735220,-9285625225,-16500362536,348293960993,3698864220516,1782997223353,2397248075458,1142207374201,1116078680510,1301616145058,94857782664,73594912656,4284577583503,4200051651390,688696386608,638795044590,293532099060,252609291717,395164287548,386185752873,105012872911,381963573388,481955175326,-333901572734,,,,2024,415444259.0,18248072499.0
870589311717,861299764311,2633633328917,2346052089698,435862409151,-24821748312,-9285625225,477732627030,3997077723045,2044948285817,2651661893348,1170415053522,1142207374201,1345415829697,76857690690,94857782664,4507291862054,4284577583503,732647482950,688696386608,325548037992,293532099060,407099444958,395164287548,124946591134,320790309572,508540930109,-296066361147,,,,2025,0.0,13896665356.0
