current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,revenue,prev_revenue,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,short_term_investments
32990504596,15940616270,2988293685,24829644962,9909365842,4339596580,7286127374,7609902280,42616151524,27710758624,13605945189,8099766004,200000000,29160758624,-18765084457,-18829572609,-19921413243,13455392900,37109099470,21018215602,7984912954,6133555434,6359687038,4688235600,1625225916,1445319834,1098573401,1091840634,-1765512726,992173,,,,2016,
31635682578,32990504596,8287580501,13444001627,24829644962,3793192313,7303958927,7286127374,74396583432,48523892201,27710758624,7485897537,200040000,49790492201,-17363929544,-17428417696,-18829572609,24606091231,56179303885,37109099470,15320679141,7984912954,10950737852,6359687038,4369941289,1625225916,901796302,1742449816,5389486776,-36474003937,,,,2017,5143678158.0
19487456947,31635682578,1256086844,9512730085,13444001627,2986179909,8446291555,7303958927,45580695166,19068524754,48523892201,6710956534,183370000,20135084754,-37208786442,30729831152,71499983026,25445610412,27993016148,56179303885,2736815004,15320679141,10799581143,10950737852,-8062766139,4369941289,-18128689566,-19026770757,-8532451482,4854184635,,,,2018,5402030433.0
19062829754,19487456947,5186523756,5793488737,9512730085,3618862597,8241931201,8446291555,42734247026,13239811986,19068524754,4175000000,200040000,14263432025,-46543829888,17620759665,30729831152,28470815001,15054174558,27993016148,2566585107,2736815004,7739362387,10799581143,-5172777280,-8062766139,-9519403684,-9519403684,1730494448,-1937903123,,,,2019,19900964106.0
43687950794,19062829754,28030800739,7506902513,5793488737,7359373282,13642050689,8241931201,135740118691,46495667865,13239811986,3060000000,200040000,59898682593,-5085957312,20729242425,17620759665,75841436098,17832134479,15054174558,2897107946,2566585107,11805543432,7739362387,-8908435486,-5172777280,48533451993,40983955742,-11040435525,-9926571754,,,,2020,31856299568.0
26214970934,43687950794,14483623323,7652894828,7506902513,2938051754,14035567520,13642050689,97329145005,11988255764,46495667865,3060000000,403460000,25118318188,-44193246303,30670497313,20729242425,72210826817,23853488409,17832134479,6817008904,2897107946,10561456064,11805543432,-3744447160,-8908435486,-46703468705,-39221439944,-4201722928,-17605521705,,,,2021,0.0
49339351956,26214970934,24403407840,6653219724,7652894828,4533983525,15035682695,14035567520,114484202819,28568220474,11988255764,3060000000,0,33533181493,-60786565526,55474362631,27316055223,80951021326,46698257916,20298117855,8776104715,7017937368,16244121024,9991786698,-7468016309,-2973849330,-12786823008,-11939139936,-4398773575,5646015600,,,,2022,1105040948.0
53883168919,49339351956,25041045945,6714069369,6653219724,2467718095,27988058929,15035682695,116854180181,23590780685,28568220474,2754000000,0,116854180181,-64705034728,82665225759,55474362631,92184780809,69565485076,46698257916,13099740683,8776104715,14961867504,16244121024,-1862126821,-7468016309,-131947524,681571531,7640535420,-6199507285,,,,2023,31000000000.0
192287656552,53883168919,45898978356,89452082103,6714069369,40400230282,67662051975,27988058929,334935432412,119954924061,23590780685,22170000000,26052833539,334935432412,-70128425640,133097920524,82665225759,212389564046,118337178018,69565485076,14760742506,13099740683,19699142062,14961867504,-4938399556,-1862126821,-1427145966,-9391668256,-30812177542,-55090014049,,,,2024,35000000000.0
111999746276,192287656552,16002915272,26119295526,49210672278,15391699435,64716388457,67662051975,276740783001,70323956353,119954924061,21350000000,4920899224,276740783001,-87332230020,168304789069,133097920524,203293937110,154605657369,118337178018,13699131700,14760742506,31021200208,19699142062,-17322068508,-4938399556,651212167,-30079139806,-23016768947,-29048387702,,,,2025,72825197500.0
