year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,-8908435486,-5172777280,20729242425,17620759665,-8908435486,20729242425,0.1764,-0.7222,0.0,-0.5909,-1.0
2021,Q4,-3744447160,-8908435486,30670497313,20729242425,-3744447160,30670497313,0.4796,0.5797,0.0,0.5369,1.0
2022,Q4,-7468016309,-3744447160,55474362631,30670497313,-7468016309,55474362631,0.8087,-0.9944,0.0,-0.6654,-1.0
2023,Q4,-1862126821,-7468016309,82665225759,55474362631,-1862126821,82665225759,0.4902,0.7507,0.0,0.6002,1.0
2024,Q1,-4367601727.0,0,20691544306.0,0.0,-4367601727.0,20691544306.0,0,-4367601727.0,0.0,0.0,0.0
2024,Q2,-271855369.0,0,21906569783.0,0.0,-271855369.0,21906569783.0,0,-271855369.0,0.0,0.0,0.0
2024,Q3,-1962044933.0,0,23246685138.0,0.0,-1962044933.0,23246685138.0,0,-1962044933.0,0.0,0.0,0.0
2024,Q4,-4938399556,-1862126821,133097920524,82665225759,-4938399556,133097920524,0.6101,-1.652,0.0,-0.7677,-1.0
2025,Q1,-485657681.0,0,50627911794.0,0.0,-485657681.0,50627911794.0,0,-485657681.0,0.0,0.0,0.0
2025,Q2,353441852.0,0,52622002571.0,0.0,353441852.0,52622002571.0,0,353441852.0,0.0,0.0,0.0
2025,Q3,-4792358325.0,0,40467328653.0,0.0,-4792358325.0,40467328653.0,0,-4792358325.0,0.0,0.0,0.0
2025,Q4,-17322068508,-4938399556,168304789069,133097920524,-17322068508,168304789069,0.2645,-2.5076,0.0,-0.8338,-1.0
