depreciation,total_assets,ppe_net,prev_ppe_net,total_equity,retained_earnings,long_term_debt,total_liabilities,revenue,prev_revenue,operating_income,prev_operating_income,income_tax,interest_expense,net_income,cash,capex,cash_from_operations,roe,debt_ratio,opm,year
315882890000000,448427279000000,,,31816761000000,21889945000000,,416610518000000,,,7590511000000,7294958000000,,,2675188000000,23251190000000,-635780000000,-2319950000000,,,,2023
343900399000000,472219838000000,,,34231091000000,23593122000000,,437988747000000,,,7474961000000,7590511000000,,,2654338000000,26711282000000,-4168877000000,-19717432000000,,,,2024
357806218000000,500692621000000,,,36856024000000,25396396000000,,500692621000000,,,7893593000000,7474961000000,,,2718868000000,16494623000000,-6179832000000,-3022146000000,,,,2025
