date,name,position,change_dir,shares_before,shares_after,change_amount
2024-07-04,국민연금공단,,,0,0,0
2024-10-08,국민연금공단,,,0,0,0
2025-01-07,국민연금공단,,,0,0,0
2025-01-23,국민연금공단,,,0,0,0
2025-02-28,국민연금공단,,,0,0,0
2025-03-07,국민연금공단,,,0,0,0
2025-03-14,LX홀딩스,,,0,0,0
2025-03-21,LX홀딩스,,,0,0,0
2025-03-28,LX홀딩스,,,0,0,0
2025-04-04,LX홀딩스,,,0,0,0
2025-04-10,LX홀딩스,,,0,0,0
2025-05-16,LX홀딩스,,,0,0,0
2025-05-23,LX홀딩스,,,0,0,0
2025-05-30,LX홀딩스,,,0,0,0
2025-06-05,LX홀딩스,,,0,0,0
2025-09-19,LX홀딩스,,,0,0,0
2025-09-26,LX홀딩스,,,0,0,0
2025-10-02,LX홀딩스,,,0,0,0
2025-10-14,LX홀딩스,,,0,0,0
2026-03-25,국민연금공단,,,0,0,0
2026-03-31,국민연금공단,,,0,0,0
2026-04-02,국민연금공단,,,0,0,0
2024-10-08,국민연금공단,,,0,0,0
2025-01-07,국민연금공단,,,0,0,0
2025-01-23,국민연금공단,,,0,0,0
2025-02-28,국민연금공단,,,0,0,0
2025-03-07,국민연금공단,,,0,0,0
2025-03-14,LX홀딩스,,,0,0,0
2025-03-21,LX홀딩스,,,0,0,0
2025-03-28,LX홀딩스,,,0,0,0
2025-04-04,LX홀딩스,,,0,0,0
2025-04-10,LX홀딩스,,,0,0,0
2025-05-16,LX홀딩스,,,0,0,0
2025-05-23,LX홀딩스,,,0,0,0
2025-05-30,LX홀딩스,,,0,0,0
2025-06-05,LX홀딩스,,,0,0,0
2025-09-19,LX홀딩스,,,0,0,0
2025-09-26,LX홀딩스,,,0,0,0
2025-10-02,LX홀딩스,,,0,0,0
2025-10-14,LX홀딩스,,,0,0,0
2026-03-25,국민연금공단,,,0,0,0
2026-03-31,국민연금공단,,,0,0,0
2026-04-02,국민연금공단,,,0,0,0
2026-06-26,국민연금공단,,,0,0,0
