current_assets,prev_current_assets,cash,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,capex,roe,debt_ratio,opm,year,accounts_receivable,prev_accounts_receivable,inventory,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,short_term_debt,short_term_investments,long_term_debt
58751811845,18909326640,4639357565,28041810,36439723,60810745935,2696125109,2494501179,3852109736,-114612637529,56958636199,21024930152,23169936084,-21024930152,-23169936084,-20773087713,-20773087713,-19848812787,19072368,-39081623479,,,,2020,,,,,,,,,,,,
53882589803,58751811845,18470777662,159080445,28041810,57621502867,2763023829,2696125109,3545267802,-137250601005,54076235065,25128110488,21024930152,-24242893650,-21024930152,-23883866023,-23680819850,-24372230234,21742241,19299859722,,,,2021,1628333002.0,0.0,153686852.0,4885914304.0,0.0,4000697466.0,0.0,885216838.0,0.0,920000000.0,,
34232063550,53882589803,20603221034,129214252,159080445,38411664413,2952240920,2763023829,3275403934,-162136736452,35136260479,29256282696,25128110488,-27474716001,-24242893650,-27118204986,-27118103413,-25003479127,42546221,21042507022,,,,2022,645301967.0,1628333002.0,146672415.0,8468552823.0,4885914304.0,6686986128.0,4000697466.0,1781566695.0,885216838.0,0.0,,
44387750152,34232063550,34951750929,87751477,129214252,49760959484,2327928085,2952240920,49760959484,-183432086200,47148846791,24975971788,29256282696,-23213207544,-27474716001,1116,-22248991298,-21969918538,498129925,4148205225,,,,2023,1090973684.0,645301967.0,170499289.0,9031807070.0,8468552823.0,7269042826.0,6686986128.0,1762764244.0,1781566695.0,0.0,,
50626748387,44387750152,15021457166,72309059,87751477,58070561569,5014602377,2327928085,58070561569,-207437304927,52684050748,28828574238,24975971788,-27477790640,-23213207544,1298,-24996940757,-23316289762,34777375,-24099477254,,,,2024,857027191.0,1090973684.0,96990337.0,9179834444.0,9031807070.0,7829050846.0,7269042826.0,1350783598.0,1762764244.0,,0.0,
51588479871,50626748387,21036458453,74615518,72309059,61994415890,3898861131,5014602377,61994415890,-237863577047,39191678309,30694038305,28828574238,-29764167099,-27477790640,0,-31261963979,-28673478096,176698407,-8443815242,,,,2025,536837132.0,857027191.0,46263368.0,6982624830.0,9179834444.0,6052753624.0,7829050846.0,929871206.0,1350783598.0,,0.0,8997471637.0
