current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,roe,debt_ratio,opm,year
2909666401000,3405799673000,580209127000,405281300000,598200639000,221711088000,1241462083000,1353847531000,4473159688000,1641213305000,1987535484000,229850414000,922638179000,3005993132000,559177230000,1467166556000,2984783033000,3309108924000,2697092074000,3321095926000,287690959000,-11987002000,181457160000,180896855000,106233799000.0,-192883857000.0,23084800000,23143701000,611076670000,55616889000,18220598000,,,,2016
2619878589000,2909666401000,435786012000,467645312000,405281300000,194948902000,1160439105000,1241462083000,4083911875000,1341795364000,1641213305000,98658678000,883242057000,2665612990000,512932873000,1418298885000,2725658171000,2984783033000,2543428088000,2697092074000,182230083000,287690959000,136804908000,181457160000,45425175000.0,106233799000.0,-47903294000,-46259404000,219226032000,31238954000,11389489000,,,,2017
2573161883000,2619878589000,367894652000,352135740000,467645312000,208500666000,1114397170000,1160439105000,4002149975000,1729464162000,1341795364000,109610459000,698757375000,2894155835000,214635544000,1107994140000,2411923709000,2725658171000,2427584476000,2543428088000,-15660767000,182230083000,180505816000,136804908000,-196166583000.0,45425175000.0,-324105684000,-308034515000,-14193054000,-38098513000,10309119000,,,,2018
2709164826000,2573161883000,382485797000,387674017000,352135740000,264445883000,1074863616000,1114397170000,4084281234000,2291969582000,1729464162000,364236780000,568818287000,3201401072000,-156571335000,882880161000,2459346162000,2411923709000,2553168601000,2427584476000,-93822439000,-15660767000,186109782000,180505816000,,,-349363820000,-355687197000,-200921636000,-13639938000,25158153000,,,,2019
2778276487000,2709164826000,338727778000,339022259000,387674017000,250962485000,1161474641000,1074863616000,4197373871000,2230340459000,2291969582000,401342490000,354518778000,2851222410000,-119925928000,1346151461000,2785326054000,2459346162000,2540824150000,2553168601000,244501904000,-93822439000,162440583000,186109782000,,,15018536000,22409492000,56422151000,-75057389000,10484875000,,,,2020
2679753273000,2778276487000,319728259000,266554276000,339022259000,262147020000,1186096933000,1161474641000,4107182672000,2090669005000,2230340459000,362246745000,412319728000,2838937571000,-48266366000,1268245101000,2872511952000,2785326054000,2619726786000,2540824150000,252785166000,244501904000,172567201000,162440583000,,,35281589000,51411601000,-62713815000,146141888000,300498574000,,,,2021
3318550172000,2679753273000,506008248000,268085382000,266554276000,235504483000,1200267261000,1186096933000,4823869784000,2572729120000,2090669005000,199024220000,187602292000,3332399192000,167724232000,1491470592000,3163343615000,2872511952000,2797911962000,2619726786000,365431653000,252785166000,217944984000,172567201000,,,103880637000,194534253000,716229388000,-429045091000,22184324000,,,,2022
3690167249000,3318550172000,396141243000,339212611000,268085382000,268698882000,1234363548000,1200267261000,5241484775000,3204670379000,2572729120000,82598765000,114733559000,3594508619000,317176751000,1646976156000,82308356000,99193218000,3122984003000,2797911962000,464398450000,365431653000,254351856000,217944984000,,,24061845000,156778978000,734191933000,0,8737106000,,,,2023
3686316730000,3690167249000,472258339000,909369742000,339212611000,315635860000,1292029942000,1234363548000,5285394740000,3019853718000,3204670379000,60392677000,0,3276309551000,688613752000,2009085189000,114050169000,82308356000,3547550219000,3122984003000,829047638000,464398450000,372482104000,254351856000,,,104301674000,405259414000,142463409000,232613131000,328681708000,,,,2024
7163040505000,3686316730000,908414081000,3391942258000,909369742000,502970368000,1819917863000,1292029942000,9318033774000,5776355182000,3019853718000,49136977000,49746488000,6276800158000,1434221631000,3041233616000,118100416000,114050169000,4447015540000,3547550219000,1392016013000,829047638000,386375504000,372482104000,,,233784657000,770492199000,904313494000,-231806459000,10551714000,,,,2025
