current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,roe,debt_ratio,opm,year
842128651000,600952116000,33826905000,341543622000.0,297109404000.0,188497430000,240704864000,176965270000,2181726915000.0,371918500000,267473453000,28067394000,4656533000,574659267000.0,927815236000,1607067648000.0,2521747634000,2112759665000,2169031777000,1828771343000,352715857000,283988322000,247537888000,196077430000,105177969000,87910892000,138732065000,105264422000,173494862000,-96595687000,450000000.0,,,,2016
1157848281000,842128651000,49707707000,467392554000.0,341543622000.0,299528741000,394231418000,240704864000,2796884943000.0,484419459000,371918500000,34934322000,2397823000,753525056000.0,1037572566000,2043359887000.0,2533968139000,2521747634000,2172330123000,2169031777000,361638016000,352715857000,274554567000,247537888000,87083449000,105177969000,160685925000,121477003000,106422364000,-82922250000,116518625000.0,,,,2017
1132345926000,1157848281000,55388196000,,,315398804000,440234132000,394231418000,2837374829000.0,455404936000,484419459000,32827983000,1947284000,726281977000.0,1130587096000,2111092852000.0,3251741146000,2533968139000,2682186895000,2172330123000,569554251000,361638016000,432765512000,272374398000,137226794000,87083533000,182281144000,127231170000,95424533000,-98377375000,,,,,2018
1119660940000,1132345926000,69191041000,,,291035232000,545128760000,440234132000,2966575687000.0,527192460000,455404936000,39884778000,1365526000,850199506000.0,1151854742000,2116376181000.0,3124339158000,3251741146000,2586268583000,2682186895000,538070575000,569554251000,446206959000,432765512000,89886611000,137226794000,98576088000,63939929000,177166664000,-124234682000,,,,,2019
1101781615000,1119660940000,76291026000,,,274549473000,589604284000,545128760000,3068465672000.0,546657326000,527192460000,70493315000,1522826000,878287782000.0,1203027684000,2190177890000.0,3238489082000,3124339158000,2687779268000,2586268583000,550709814000,538070575000,468820420000,446206959000,78571680000,89886611000,103482657000,81562551000,167417758000,-151643018000,,,,,2020
990554123000,1101781615000,59408166000,-7707565000.0,0.0,330006364000,588176300000,589604284000,3109986792000.0,588539334000,546657326000,49926952000,37224000,899515814000.0,1228506767000,2210470978000.0,3486080421000,3238489082000,2901460713000,2687779268000,584619708000,550709814000,523725256000,468820420000,58615990000,78571680000,57009567000,41339272000,15377286000,53336797000,,,,,2021
1058080200000,990554123000,56639517000,0.0,-7707565000.0,372030048000,579004703000,588176300000,3185133373000.0,752414076000,588539334000,188104480000,37415000,989203509000.0,1290258219000,2195929864000.0,3923177808000,3486080421000,3282408352000,2901460713000,640769456000,584619708000,580586820000,523725256000,60030394000,58615990000,28226890000,42329790000,8141962000,-120025314000,,,,,2022
1197839036000,1058080200000,76551992000,0.0,0.0,425323021000,746739346000,579004703000,5051682271000.0,866095197000,752414076000,220204453000,0,5051682271000.0,2373456537000,3520953816000.0,131903380000,17168087000,2231240900000,1676582801000,398252554000,280415270000,407724199000,311214831000,-11033826000,-30815370000,763077720000,1100908213000,44930402000,-47139726000,,,,,2023
3874977499000,1197839036000,255707095000,1015687321000.0,587706814000.0,1317838069000,2019644211000,746739346000,,2024324094000,866095197000,619387416000,50006250000,,3024465484000,,923121845000,131903380000,5300057889000,2231240900000,2109219238000,398252554000,1908718264000,407724199000,198099994000,-11033826000,739088038000,791959780000,360238697000,-196320852000,,,,,2024
3543774977000,3874977499000,257146334000,1009124325000.0,1015687321000.0,1233446774000,2044241834000,2019644211000,,1819375571000,2024324094000,539081146000,219549409000,,3401597150000,,8091605017000,7409277127000,5430293513000,5300057889000,2661311504000,2109219238000,2383148676000,1908718264000,274073694000,198099994000,640727550000,518661888000,404603485000,-145012955000,,,,,2025
