date,short_proxy_vol,short_proxy_foreign,short_proxy_score
2026-02-24,0.0,1,0.5
2026-02-25,0.0,0,0.0
2026-02-26,0.832,0,0.416
2026-02-27,0.0,0,0.0
2026-03-03,0.999,0,0.5
2026-03-04,1.614,0,0.807
2026-03-05,0.0,0,0.0
2026-03-06,0.83,0,0.415
2026-03-09,0.0,0,0.0
2026-03-10,0.0,0,0.0
2026-03-11,0.0,0,0.0
2026-03-12,0.0,0,0.0
2026-03-13,0.691,0,0.346
2026-03-16,0.535,0,0.268
2026-03-17,0.0,0,0.0
2026-03-18,0.0,0,0.0
2026-03-19,0.841,0,0.42
2026-03-20,1.688,0,0.844
2026-03-23,1.452,1,1.226
2026-03-24,0.0,1,0.5
2026-03-25,0.0,1,0.5
2026-03-26,0.741,0,0.37
2026-03-27,1.022,0,0.511
2026-03-30,1.254,0,0.627
2026-03-31,0.0,0,0.0
2026-04-01,0.0,1,0.5
2026-04-02,1.118,0,0.559
2026-04-03,0.0,0,0.0
2026-04-06,0.0,0,0.0
2026-04-07,0.0,0,0.0
2026-04-08,0.0,1,0.5
2026-04-09,0.0,0,0.0
2026-04-10,0.0,0,0.0
2026-04-13,1.054,0,0.527
2026-04-14,0.0,0,0.0
2026-04-15,0.0,0,0.0
2026-04-16,0.0,0,0.0
2026-04-17,0.0,0,0.0
2026-04-20,0.991,1,0.996
2026-04-21,0.0,0,0.0
2026-04-22,0.0,0,0.0
2026-04-23,0.0,0,0.0
2026-04-24,0.0,0,0.0
2026-04-27,0.0,0,0.0
2026-04-28,0.634,0,0.317
2026-04-29,0.0,0,0.0
2026-04-30,0.788,0,0.394
2026-05-04,0.0,0,0.0
2026-05-06,1.303,0,0.652
2026-05-07,0.0,0,0.0
2026-05-08,1.34,0,0.67
2026-05-11,0.0,0,0.0
2026-05-12,1.097,0,0.548
2026-05-13,0.0,0,0.0
2026-05-14,1.06,0,0.53
2026-05-15,1.069,0,0.534
2026-05-18,0.994,0,0.497
2026-05-19,1.01,0,0.505
2026-05-20,0.0,0,0.0
2026-05-21,0.0,0,0.0
