year,report,account,current,previous,fs_div,sj_div
2025,연간,자산총계,42948573000000,41879957000000,CFS,BS
2025,연간,자본총계,19458023000000,17996549000000,CFS,BS
2025,연간,부채와자본총계,42948573000000,41879957000000,CFS,BS
2025,연간,부채총계,23490550000000,23883408000000,CFS,BS
2025,연간,영업이익,2469133000000,809471000000,CFS,IS
2025,연간,당기순이익,1836770000000,417094000000,CFS,IS
2024,연간,자산총계,41879957000000,42709982000000,CFS,BS
2024,연간,자본총계,17996549000000,18561137000000,CFS,BS
2024,연간,부채와자본총계,41879957000000,42709982000000,CFS,BS
2024,연간,부채총계,23883408000000,24148845000000,CFS,BS
2024,연간,영업이익,809471000000,1649774000000,CFS,IS
2024,연간,당기순이익,417094000000,988718000000,CFS,IS
2023,연간,자산총계,42709982000000,40980681000000,CFS,BS
2023,연간,자본총계,18561137000000,18414723000000,CFS,BS
2023,연간,부채와자본총계,42709982000000,40980681000000,CFS,BS
2023,연간,부채총계,24148845000000,22565958000000,CFS,BS
2023,연간,영업이익,1649774000000,1690088000000,CFS,IS
2023,연간,당기순이익,988718000000,1387663000000,CFS,IS
2022,연간,자산총계,40980681000000,37159341000000,CFS,BS
2022,연간,부채총계,22565958000000,20592180000000,CFS,BS
2022,연간,자본총계,18414723000000,16567161000000,CFS,BS
2022,연간,영업이익,1690088000000,1671824000000,CFS,IS
2022,연간,당기순이익,1387663000000,1459395000000,CFS,IS
2025,3분기,자산총계,43012753000000,41879957000000,CFS,BS
2025,3분기,자본총계,19259936000000,17996549000000,CFS,BS
2025,3분기,부채와자본총계,43012753000000,41879957000000,CFS,BS
2025,3분기,부채총계,23752817000000,23883408000000,CFS,BS
2025,3분기,영업이익(손실),538181000000,0,CFS,IS
2024,3분기,자산총계,42750388000000,42709982000000,CFS,BS
2024,3분기,자본총계,19186403000000,18561137000000,CFS,BS
2024,3분기,부채와자본총계,42750388000000,42709982000000,CFS,BS
2024,3분기,부채총계,23563985000000,24148845000000,CFS,BS
2024,3분기,영업이익,464110000000,0,CFS,IS
2023,3분기,자산총계,43974772000000,40980681000000,CFS,BS
2023,3분기,자본총계,18721690000000,18414723000000,CFS,BS
2023,3분기,부채와자본총계,43974772000000,40980681000000,CFS,BS
2023,3분기,부채총계,25253082000000,22565958000000,CFS,BS
2023,3분기,영업이익,321933000000,0,CFS,IS
2022,3분기,자산총계,40651511000000,37159341000000,CFS,BS
2022,3분기,부채총계,22745894000000,20592180000000,CFS,BS
2022,3분기,자본총계,17905617000000,16567161000000,CFS,BS
2022,3분기,자본과부채총계,40651511000000,37159341000000,CFS,BS
2022,3분기,영업이익,452882000000,0,CFS,IS
2022,3분기,당기순이익,326200000000,0,CFS,IS
2025,반기,자산총계,42193327000000,41879957000000,CFS,BS
2025,반기,자본총계,18877118000000,17996549000000,CFS,BS
2025,반기,부채와자본총계,42193327000000,41879957000000,CFS,BS
2025,반기,부채총계,23316209000000,23883408000000,CFS,BS
2025,반기,영업이익(손실),1014818000000,0,CFS,IS
2024,반기,자산총계,43144379000000,42709982000000,CFS,BS
2024,반기,자본총계,18981901000000,18561137000000,CFS,BS
2024,반기,부채와자본총계,43144379000000,42709982000000,CFS,BS
2024,반기,부채총계,24162478000000,24148845000000,CFS,BS
2024,반기,영업이익,493986000000,0,CFS,IS
2023,반기,자산총계,39756038000000,40980681000000,CFS,BS
2023,반기,부채총계,21302298000000,22565958000000,CFS,BS
2023,반기,자본총계,18453740000000,18414723000000,CFS,BS
2023,반기,영업이익,576108000000,0,CFS,IS
2022,반기,자산총계,39066284000000,37159341000000,CFS,BS
2022,반기,부채총계,22161706000000,20592180000000,CFS,BS
2022,반기,자본총계,16904578000000,16567161000000,CFS,BS
2022,반기,자본과부채총계,39066284000000,37159341000000,CFS,BS
2022,반기,영업이익,459171000000,0,CFS,IS
2022,반기,당기순이익,363360000000,0,CFS,IS
2026,1분기,자산총계,43509992000000,42948573000000,CFS,BS
2026,1분기,자본총계,19993556000000,19458023000000,CFS,BS
2026,1분기,부채와자본총계,43509992000000,42948573000000,CFS,BS
2026,1분기,부채총계,23516436000000,23490550000000,CFS,BS
2026,1분기,영업이익,482701000000,0,CFS,IS
2025,1분기,자산총계,42185616000000,41879957000000,CFS,BS
2025,1분기,자본총계,18338321000000,17996549000000,CFS,BS
2025,1분기,부채와자본총계,42185616000000,41879957000000,CFS,BS
2025,1분기,부채총계,23847295000000,23883408000000,CFS,BS
2025,1분기,영업이익(손실),688771000000,0,CFS,IS
2024,1분기,자산총계,42710009000000,42709982000000,CFS,BS
2024,1분기,자본총계,18582169000000,18561137000000,CFS,BS
2024,1분기,부채와자본총계,42710009000000,42709982000000,CFS,BS
2024,1분기,부채총계,24127840000000,24148845000000,CFS,BS
2024,1분기,영업이익,506500000000,0,CFS,IS
2023,1분기,자산총계,40214437000000,40980681000000,CFS,BS
2023,1분기,부채총계,22062457000000,22565958000000,CFS,BS
2023,1분기,자본총계,18151980000000,18414723000000,CFS,BS
2023,1분기,영업이익,486105000000,0,CFS,IS
2022,1분기,자산총계,37301104000000,37159341000000,CFS,BS
2022,1분기,부채총계,20707257000000,20592180000000,CFS,BS
2022,1분기,자본총계,16593847000000,16567161000000,CFS,BS
2022,1분기,자본과부채총계,37301104000000,37159341000000,CFS,BS
2022,1분기,영업이익,626619000000,0,CFS,IS
2022,1분기,당기순이익,455395000000,0,CFS,IS
