current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
1196621822281,1244763591235,270851864161,3735485600,362441104114,332803002250,210002203442,5155502304986,5545574600322,8229241087453,3273654365397,3310933844188,277394957668,905991214361,7187376449088,-120559417199.0,1041864638365,5763550962631,5540704155678,4909477006923,4931418725421,854073955708,609285430257,597589623127,563206906572,256484332581,46078523685,70296257538,52567627378.0,658791505694,-55139257309,,,,2016
1221204961410,1196621822281,276256365879,23450905448,402156821065,362441104114,233690686296,5363722612279,5155502304986,8550603410338,3544457232892,3273654365397,450715002656,968443982571,7308112801474,155464720006.0,1242490608864,481717761166,263854283352,5341062499646,4909477006923,886002128037,854073955708,610141122451,597589623127,275861005586,256484332581,351041347899,247912844742.0,660315144590,-654729091905,,,,2017
1513648389656,1220812516697,414253696990,36585630070,397416690497,407479936429,262653757840,5491680210609,5776375018250,8191104570201,3369265577072,3644319437707,163088940000,598532817213,7097915381755,,1093189188446,7183387207576,6594139544997,6453307367583,5710003306973,730079839993,884136238024,701847288461,638507090049,28232551532,245629147975,-249611122454,-195861022284.0,717036967800,223055928415,,,,2018
1560758526177,1513648389656,194198112684,396895186451,363100082216,397416690497,225534661562,10357685162145,5491680210609,13503422879145,4558412096694,3369265577072,913288940000,541674448469,12595134363313,,908288515832,6965788766759,7183387207576,6688692846539,6453307367583,277095920220,730079839993,720809125951,701847288461,-443713205731,28232551532,-1080637886126,-817886114258.0,558989482848,-847797758934,,,,2019
2386235552862,1560758526177,502833279400,498188807089,356135006162,363100082216,193439199289,9532585022324,10357685162145,13851459281326,5247203581620,4558412096694,2614000000000,322867847792,12762122307303,,1089336974023,3895314311581,6886846688489,3817941520317,6614243737561,77372791264,272602950928,353729098217,708312446587,-276356306953,-435709495659,-457134858063,-502971860946.0,-405485383017,-1031753615691,,,,2020
2565299369111,2386235552862,720540591948,958828389639,510737737368,356135006162,181326223411,8704941630184,9532585022324,13082664860149,5239252108540,5247203581620,2583000000000,205181825539,12561568437168,,521096422981,135345642760,564012515026,3965090372263,3797026916415,374616039158,81106187166,281412438752,352894750922,93203600406,-271788563756,-639628067479,-516809974210.0,1008216924639,-275648497006,,,,2021
2844322554853,2565299369111,586949610660,1447408394876,424314635290,510737737368,207173856305,8714517157146,8704941630184,13455341411799,5976436038608,5239252108540,2577000000000,29969544767,12739695840901,,715645570898,447603347058,135345642760,5197774778636,3965090372263,1008894556038,374616039158,410130781142,281412438752,598763774896,93203600406,-7699984635,26525711603.0,1857222017933,-951647962302,,,,2022
2149808880115,2844322554853,312484818354,966473531953,435600160414,424314635290,231402563331,9043323004229,8714517157146,13016745781139,5435521833228,5976436038608,1800000000000,0,13016745781139,-862181539720.0,810345388271,254901991265,447603347058,6401772339009,5197774778636,1221576008355,1008894556038,601647335026,410130781142,619928673329,598763774896,142296876717,,1541196232475,12603229704,,,,2023
2804786445362,2149808880115,778368375221,489748162733,287848242959,435600160414,224083652507,8750113159966,9043323004229,13449903474132,4983192845762,5435521833228,1380000000000,79226818094,13449903474132,-1462711221784.0,1003122157778,273395850267,254901991265,7349547997670,6401772339009,969019231041,1221576008355,693328839048,601647335026,275690391993,619928673329,-561533346273,,1458348831299,-118127061821,,,,2024
1672688302355,2804786445362,788037020136,219884074959,217622042005,287848242959,234433828022,8752554978867,8750113159966,12187613804660,4367995913128,4983192845762,1000000000000,189144017923,12187613804660,-1810526002816.0,828979897313,595535149000,273395850267,6915645078078,7349547997670,351204861908,969019231041,696395123081,693328839048,-345190261173,275690391993,128297359878,,136976282201,381061009769,,,,2025
