total_assets,current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,short_term_investments,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,current_liabilities,prev_current_liabilities,long_term_debt,short_term_debt,operating_income,prev_operating_income,revenue,prev_revenue,sga_expense,prev_sga,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,income_tax,net_income,capex,cash_from_operations,roe,debt_ratio,opm,year
1179654638065,660567068897,648072793252,137561652237,69536528372,44379285404,380405943261,11568366436,334677866789,271311843868,498895839831,14027107174,1179654638065,365954063568,287371274263,80897324268,100000000000,-1729039707,1641793974,7665832235,6642270359,37891004254,37895645019,375621745861,221348745010,36161964547,39537438993,252670739,-10474726734,-82727592014,101055360914,,,,2024
1198423425943,569347286281,660567068897,64784777076,77624831654,69536528372,372993528293,1884633902,374559291012,334677866789,367480446236,-117352655349,1198423425943,462927733135,365954063568,147945593585,76000000000,-105673394536,-1729039707,1356789461,7665832235,43373628634,37891004254,517094472515,375621745861,-62299765902,36161964547,8790806459,-132804248876,-102508894318,-56507117413,,,,2025
