current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,roe,debt_ratio,opm,year,depreciation
641009079696,578381529498,145189879740,335329988345.0,256351269401.0,154575149958,653334612621,615002871565,1592713366095,376081426084,337296145493,47932233418,1791000000,557510944239,972480677048,1035202421856,2010658195588,1883098974718,1523765765641,1425163060580,486892429947,457935914138,344391282734,324526723021,142501147213,133409191117,183417882198,137991305681,148877518004,-133416254308,200905785161.0,,,,2016,
676014403017,641009079696,136459411641,,,150242967962,767615800127,653334612621,1721705316486,433801753708,376081426084,30596749182,64331967824,570124623074,1103894616792,1151580693412,30047047911,35915730067,1649224695942,1523765765641,476925796352,486892429947,330870613126,344391282734,146055183226,142501147213,180330146185,132382442675,108591310054,-84623189796,203160100111.0,,,,2017,
822591137875,676014403017,139853530526,,,184816674226,1006916864161,767615800127,2063478708237,521664841492,433801753708,113823360709,23638120000,787820106514,1260225132712,1275658601723,50722746155,30047047911,1847750039843,1649224695942,399014191600,476925796352,247289096897,330870613126,151725094703,146055183226,201834340401,160829136727,196932951777,-271908629374,452059618850.0,,,,2018,
669847029996,822591137875,122149521734,,,178223633636,1246864230740,1006916864161,2152123515409,524803432552,521664841492,91278953928,53377040157,805641073941,1331164087421,1346482441468,11278525836,50722746155,1951178384605,1847750039843,408472839998,399014191600,260194348949,247289096897,148278491049,151725094703,141990756968,99795074801,186342383791,-137276863683,754430179510.0,,,,2019,0.0
779889855542,669847029996,85713361442,,,259187493787,1262473299655,1246864230740,2339299659460,570150345496,524803432552,131796573671,69733128143,897375181638,1411945068746,1441924477822,30584925861,11278525836,2133596387212,1951178384605,462284524429,408472839998,263839301970,260194348949,198445222459,148278491049,177003728970,110380198569,91965913851,-192548859852,0.0,,,,2020,166649700000.0
1028061750193,779889855542,222279510992,,,343573901625,1256261598585,1262473299655,2605839008802,701330633318,570150345496,260991826180,67917392967,1067386662130,1516436421127,1538452346672,13819998169,30584925861,2297455499825,2133596387212,441581359384,462284524429,275006006665,263839301970,166575352719,198445222459,162900876905,129977855166,149781780023,-131189000886,,,,,2021,220198997621.0
1482195978641,1028061750193,241038293666,,,634463344764,1824232447272,1256261598585,3569760859068,1219292102728,701330633318,572193927603,217893360475,1622240967893,1797032296951,1947519891175,177574894981,13819998169,2682425310114,2297455499825,500889543546,441581359384,315233106704,275006006665,185656436842,166575352719,283520143943,278494298320,93291314126,-141438920008,,,,,2022,295793325265.0
1450698715577,1482195978641,324550590210,296533577024.0,276259635414.0,505763486790,1739136530206,1764082258444,3496482529068,904873432138,1219292102728,682897560076,349741006197,3496482529068,1913374884103,2063540799084,3454548477401,3183314853660,2849433404995,2682425310114,605115072406,500889543546,350221228846,315233106704,254893843560,185656436842,58303754733,161681368673,410835663970,-103027917583,,,,,2023,265799407243.0
1478843336530,1450698715577,330729499629,14675481800.0,11597428637.0,493022118847,1811184403087,1739136530206,3597403088294,1028844274979,904873432138,371439265214,199675725387,3597403088294,2011200716444,2181531596082,26471382001,24171305405,2935729162991,2849433404995,603391719899,605115072406,381377210836,350221228846,222014509063,254893843560,12879846265,137599993733,361114671353,-198180181323,,,,,2024,296433665181.0
1501272831876,1478843336530,412685029869,,,519871022255,1838597160615,1811184403087,3641076426477,1047644993447,1028844274979,509239504017,94016930021,3641076426477,2033132647428,2202787081084,29429055288,26471382001,3082903690714,2935729162991,591641731291,603391719899,414390433563,381377210836,177251297728,222014509063,39691523654,72135661488,218874761016,-100605912526,,,,,2025,223154007956.0
