year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,157293742558,150603491592,488768843749,535936506392,157293742558,488768843749,-0.088,0.0444,0.0,0.0816,1.0
2021,Q4,42982271923,157293742558,403789463993,488768843749,42982271923,403789463993,-0.1739,-0.7267,0.0,-0.5924,-1.0
2022,Q4,0,42982271923,385680123805,403789463993,0,385680123805,-0.0448,-1.0,0.0,-0.6667,-1.0
2023,Q4,0,0,333484523009,385680123805,0,333484523009,-0.1353,0,0.0,0.0,0.0
2024,Q1,587635018.0,0,3031340396.0,0.0,587635018.0,3031340396.0,0,587635018.0,0.0,0.0,0.0
2024,Q2,-5834214303.0,0,6401325504.0,0.0,-5834214303.0,6401325504.0,0,-5834214303.0,0.0,0.0,0.0
2024,Q3,-9235755001.0,0,12321849097.0,0.0,-9235755001.0,12321849097.0,0,-9235755001.0,0.0,0.0,0.0
2024,Q4,0,0,342384719856,333484523009,0,342384719856,0.0267,0,0.0,0.0,0.0
2025,Q1,-5242125423.0,0,13751986527.0,0.0,-5242125423.0,13751986527.0,0,-5242125423.0,0.0,0.0,0.0
2025,Q2,-11778547886.0,0,17500474151.0,0.0,-11778547886.0,17500474151.0,0,-11778547886.0,0.0,0.0,0.0
2025,Q3,10618276764.0,0,206776115.0,0.0,10618276764.0,206776115.0,0,10618276764.0,0.0,0.0,0.0
2025,Q4,0,0,365564943738,342384719856,0,365564943738,0.0677,0,0.0,0.0,0.0
