total_assets,current_assets,prev_current_assets,accounts_receivable,prev_accounts_receivable,cash,inventory,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,operating_income,prev_operating_income,revenue,prev_revenue,sga_expense,prev_sga,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,income_tax,net_income,capex,short_term_investments,cash_from_operations,roe,debt_ratio,opm,year
140292826674,94293156974,55147211472,13990838072,15639988082,10184209386,6107571118,39728351826,36638416895,115237838264,52438981773,140292826674,20997060791,43934837459,1900000000,3069760000,5516949984,9796377029,1140974357,481783611,8320494240,5893325067,86610254831,84159040922,13837444224,15689702096,-922905489,8314379320,-45126343606,114152121096,6916810900,,,,2024
202098988834,91117640166,94293156974,10767560231,13990838072,20800190558,11552324513,87251947119,39728351826,131748265868,81262168118,202098988834,20611974560,20997060791,2950000000,40520043272,805333955,5516949984,1063641103,1140974357,10313854640,8320494240,83922533654,86610254831,11119188595,13837444224,-1840801734,9690725039,-36939262205,75807551949,95012485,,,,2025
