current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,revenue,prev_revenue,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,short_term_debt,sga_expense,prev_sga,short_term_investments
,,149389365351,,,,,,3384914898720,,,,2082752072816,665101318655,1302162825904,,,,,,,,,,311126247136,-3523854962,-269065777992,,,,2016,,,,
,,107696147903,,,,,,3078924218139,,,,1844594260841,679659005859,1234329957298,,,,,,,2530323756958.0,967128444713.0,,108109558891,29955975820,-51554868642,,,,2017,,,,11127000000.0
,,149001324731,,,,,,3304339508070,,,,1797845631911,822439222053,1506493876159,,,,,,,2954642540440.0,2530323756958.0,,210049967042,274605174448,-24579518928,,,,2018,,,,12354000000.0
,,232032424388,,,,,,3770249128461,,,,1969305510636,1080014306274,1800943617825,,,,,,,3450421529936.0,2954642540440.0,,338143798848,319138143799,-35868048115,,,,2019,,,,20040073776.0
,,470647552525,,,,,,3758441248800,,,,1901113441815,1179341553684,1857327806985,,,,,,,,,,197738719098,445004105903,-55171203714,,,,2020,,,,
,,699203590783,,,,,,4288856815414,,,,1982367579088,1405994416335,2306489236326,,,,,,,3793958639955.0,3128805852797.0,,337809329714,524557784342,-39590774783,,,,2021,,,,
,,407410625942,,,,,,4821801377788,,,,2247238042986,1649916522756,2574563334802,,,,,435072372234.0,492851154169.0,,,,467543841046,-138674509037,-202791657912,,,,2022,,,,
,,585613513344,,,,,,4980149550868,,,,2426230645598,1628922220412,2553918905270,,,,,,,,,,153056827039,577829552587,-245860421155,,,,2023,,,,
,,683177037487,,,,,,5536390124625,,,,2800091219487,1621428210726,5536390124625,,,,,360803535166.0,303493542620.0,,,,207722009422,494044505382,-194238801734,,,,2024,,,,
,,625567094487,,,,,,5519193378050,,,,2924776314052,1479113724609,5519193378050,,,,,474780974997.0,360803535166.0,,,,348617792581,567404562642,-233238227606,,,,2025,,,,
