current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
79107676846,77617588271,8674544969,15850000000.0,18758523333,21126269771,33027176496,1872398141,3638449074,87510890211,29707551541,40683543393,14672100000,0,49725943661,420575099,37784946550,56630491051,57664031640,45008535947,46359025528,11621955104,11305006112,11158522247,10210929521,463432857,1094076591,-654176421,-811420789,3483171928,-4419778577,,,,2016
78898639136,79107676846,4559634128,0.0,24310919927,18758523333,46470309026,3752282962,1872398141,93135313329,32528697543,29707551541,2000000000,8705874727,41741418322,4273334412,51393895007,4273334412,420575099,93026307446,45008535947,24010684352,11621955104,15577436727,11158522247,8433247625,463432857,2230378210,3941154905,-8813793506,10509685044,,,,2017
118538339001,78898639136,3260715070,0.0,31560412454,24310919927,81141337051,3367599216,3752282962,158349733265,71185272289,32528697543,32100000000,13231701409,83302945426,15493534155,75046787839,15493534155,4273334412,109320331202,93026307446,35129683844,24010684352,19387659433,15577436727,15742024411,8433247625,11194199998,10643279522,-20978081441,-24540238108,,,,2018
123342157315,118538339001,13830078830,2135086000.0,30716094164,31560412454,75092628790,5034934530,3367599216,159509088605,64194235423,71185272289,33600000000,11506964327,89561758896,10396966155,69947329709,10396966155,15493534155,84342848695,109320331202,24748291932,35129683844,19080919455,19387659433,5667372477,15742024411,-3241673415,-4834271739,9457756352,-2767374808,,,,2019
108811525407,123342157315,24249325134,0.0,24118007162,30716094164,52623969006,6958144299,5034934530,156750197996,54366719239,64194235423,20233350000,600000000,64675875080,19845559966,92074322916,19845559966,10396966155,102571589264,84342848695,24381180350,24748291932,17807309458,19080919455,6573870892,5667372477,12081230154,11125030791,12296339157,10851028402,,,,2020
114576801922,108811525407,17081889786,0.0,35130335040,24118007162,56609670050,7592162813,6958144299,167955041096,45712512004,54366719239,13500000000,2000000000,50856121687,32671941300,117098919409,32671941300,19845559966,152871467966,102571589264,40443207911,24381180350,20384816960,17807309458,20058390951,6573870892,18236761031,12801281459,7283157207,-4673129593,,,,2021
129143684068,114576801922,12326967093,0.0,33599707746,35130335040,75640275110,4628822451,7592162813,175998872672,31957699666,45712512004,16500000000,0,33296879479,57845269680,142701993193,175023554084,193314675877,128096113067,152871467966,46927441017,40443207911,18711342887,20384816960,28216098130,20058390951,32896404290,24706325265,-2177606726,-2847881243,,,,2022
152547922968,129143684068,13102766232,170526710.0,59729758145,33599707746,72776992063,3815573803,4628822451,198673382796,37603017368,31957699666,19500000000,0,198673382796,74000743758,158568405147,145899793599,158258062887,108282685489,114129708015,37617108110,44128354872,19778682802,17812220908,17838425308,26316133964,5633649309,16919765330,2510859925,-3028003579,,,,2023
175914531374,152547922968,13061868912,,58886310742,59729758145,100119776057,4742231292,3815573803,225427601825,38259555518,37603017368,28500000000,22000000000,225427601825,92634256331,184233770184,162349945455,145899793599,126942043607,108282685489,35407901848,37617108110,25826541574,19778682802,9581360274,17838425308,3837308568,19405207353,-9682087226,-1113592600,,,,2024
280400652016,175914531374,77229831529,,98726098381,58886310742,94675960893,5402056339,4742231292,335988104339,98982948103,38259555518,42000000000,52000000000,335988104339,132889294846,227104505361,302230571186,162349945455,238271136814,126942043607,63959434372,35407901848,28085462060,25826541574,35873972312,9581360274,3246870920,39499088944,25554903161,4591699774,,,,2025
