year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,6573870892,5667372477,19845559966,10396966155,6573870892,19845559966,0.9088,0.16,0.0,0.2424,1.0
2021,Q4,20058390951,6573870892,32671941300,19845559966,20058390951,32671941300,0.6463,2.0512,0.0,0.804,1.0
2022,Q4,28216098130,20058390951,175023554084,32671941300,28216098130,175023554084,4.357,0.4067,0.0,0.4485,1.0
2023,Q4,17838425308,28216098130,145899793599,175023554084,17838425308,145899793599,-0.1664,-0.3678,0.0,-0.4238,-1.0
2024,Q1,7293477502.0,0,42589798341.0,0.0,7293477502.0,42589798341.0,0,7293477502.0,0.0,0.0,0.0
2024,Q2,2023437448.0,0,43871041093.0,0.0,2023437448.0,43871041093.0,0,2023437448.0,0.0,0.0,0.0
2024,Q3,-1410121577.0,0,39050891100.0,0.0,-1410121577.0,39050891100.0,0,-1410121577.0,0.0,0.0,0.0
2024,Q4,9581360274,17838425308,162349945455,145899793599,9581360274,162349945455,0.1127,-0.4629,0.0,-0.4807,-1.0
2025,Q1,4327995433.0,0,48440247633.0,0.0,4327995433.0,48440247633.0,0,4327995433.0,0.0,0.0,0.0
2025,Q2,-2621940932.0,0,51066931074.0,0.0,-2621940932.0,51066931074.0,0,-2621940932.0,0.0,0.0,0.0
2025,Q3,22689908827.0,0,110951148841.0,0.0,22689908827.0,110951148841.0,0,22689908827.0,0.0,0.0,0.0
2025,Q4,35873972312,9581360274,302230571186,162349945455,35873972312,302230571186,0.8616,2.7441,0.0,0.8459,1.0
