current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_debt,roe,debt_ratio,opm,year,short_term_investments,equity_corrected
,,21582510215,,,,,,346356773602,,,,172675072423,-3762253251,173681701179.0,170483367764,107266373827,,,,,,,,,,-7236716778,3738712635,-98537366175,,,,,2016,,
,,22712522686,,,,,,448145544274,,,,263740758154,-11057786477,184404786120.0,329012474711,170483367764,,,,,,,,,,-3286685606,23652634852,-102921940699,,,,,2017,,
,,15680179237,,,,,,667514759192,,,,435653503171,23233901665,231861256021.0,669407171058,329012474711,,,,,,,,,,46206659333,12289033556,-106473863310,,,,,2018,,
,,34641926232,,,,,,927834885423,,,,480853915260,118453642655,446980970163.0,702272500906,669407171058,,,,,,,,,,37363584377,-14998465323,-215133943727,,,,,2019,,
,,136464984002,,,,,,1283164844739,,,,694450751691,134456390690,588714093048.0,946809640015,702272500906,,,,,,,,,,54182500584,159124566581,-224837846427,,,,,2020,,
,,291816009381,,,,,,3400958086996,,,,1703659206413,364529895038,,1504112975430,850811989382,,,,,,,86470031942.0,63644728710.0,,-256386224123,-140631424578,-408406109957,,,,,2021,20750000000.0,
,,356369658059,,,,,,5345782603044,,,,2824001949335,424859393453,2521780653709.0,5639741327318,1504191410850,,,,,,,613226487106.0,85956918350.0,,220591650311,-518555082789,-444904946504,,,,,2022,35000000000.0,
,,1115975802114,,,,,,7556978775072,,,,7556978775072,457815317407,3486135726801.0,7260200345722,5639741327318,,,,,,,298172334242.0,613226487106.0,,135268663790,80899715838,-1467892601677,,,,,2023,303070300000.0,
,,954298074590,,,,,,8138264562531,,,,8138264562531,748427832494,3838462173266.0,3127853158129,7260200345722,,,,,,,-293038698088.0,298172334242.0,,-295367033134,488829329203,-1626261219014,,,,,2024,74762498000.0,
,,1186767418765,,,,,,9778714530496,,,,9778714530496,587622018649,4487316128905.0,3413021590101,3127853158129,,,,,,,213763514884.0,-293038698088.0,,-105539603168,339076295162,-1530237201325,,,,,2025,382239799156.0,
