total_assets,current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,current_liabilities,prev_current_liabilities,operating_income,prev_operating_income,revenue,prev_revenue,income_tax,net_income,long_term_debt,capex,cash_from_operations,roe,debt_ratio,opm,year,short_term_debt
97499966012,39794379528,19565008353,30013624766,5524153588,1428632848,7729293320,6422232196,69569189929,-309361178245,97499966012,11114604098,7486586276,-25016868135,-13486251322,1061003503,20330512632,-873716617,-29483232915,0,-539527765,-21804887999,,,,2024,
97539472152,50987897919,39794379528,32883741893,1975380893,5524153588,5635888153,7729293320,78979166016,-332915757281,97539472152,5418673042,11114604098,-33992611604,-25016868135,13691969887,1061003503,-921614802,-23979675414,19650000000,-90245576,-21138952801,,,,2025,-925121399.0
