current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,revenue,prev_revenue,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year
1417503431957,1394335060905,340136689935,540106350075,532984460181,146764569918,610481379132,643710478106,2261805558346.0,680589630890,618075404310,55230373098,121650010990,1195739342815.0,940206891084,1066066215531,1800729633425,1767758612091,412886417342,433917226335,288462485649,279515109106,124423931693,154402117229,137616349304,67710396907,101984018182,80747592473,242227484349,68202285349,22657562441,-101967808035,,,,2016
1416121088336,1417503431957,261506500508,547396510416,540106350075,166943747793,577369621267,610481379132,2255821411030.0,649817776148,680589630890,49438768432,149911702899,1107681471025.0,1026744340610,1148139940005,1907527560793,1800729633425,436217746293,412886417342,277775470063,288462485649,158442276230,124423931693,123154102377,137616349304,138488650245,106004533376,144598318913,68186113744,18872343846,-163771626195,,,,2017
1536084083082,1416121088336,455629276025,539359087371,547396510416,196627797219,553698950853,577369621267,2405835525053.0,700173003924,649817776148,61126352561,149913448718,1108364187839.0,1183343624155,1297471337214,2006242185478,1907527560793,478736151793,436217746293,273688603968,277775470063,205047547825,158442276230,112939114342,123154102377,177790252895,132234957998,204655398575,67979553903,16787209316,67345834459,,,,2018
1666899982143,1536084083082,534507436526,541689732504,539359087371,196292257902,553762224983,553698950853,2538144406862.0,753778846648,700173003924,47266387775,149929972767,1175461604523.0,1246418740717,1362682802339,1890428115923,2006242185478,456420432615,478736151793,287871855653,273688603968,168548576962,205047547825,87908285988,112939114342,146957290061,103042611501,216079620947,69209070901,15510302359,-78622967404,,,,2019
1649804547143,1666899982143,683234939608,489342464987,541689732504,176861493887,557286085311,553762224983,2540396071840.0,644246457944,753778846648,46111394328,89940273223,1126926170718.0,1298134921405,1413469901122,1968532611334,1890428115923,434139917090,456420432615,300426337669,287871855653,133713579421,168548576962,95865917479,87908285988,127845309609,85485546630,288900985879,62315814407,14209144826,-84497806652,,,,2020
1887748202729,1649804547143,701596943478,548088475148,489342464987,261477004953,564267153716,557286085311,2796731557614.0,845300727437,644246457944,73898648826,170351128187,1323312292962.0,1356862859675,1473419264652,2181178348652,1968532611334,487086631601,434139917090,331954714992,300426337669,155131916609,133713579421,93846298555,95865917479,110749601994,85310345509,101544478367,61786436577,14347165048,-120431432422,,,,2021
2341252236663,1887748202729,556085787716,711005606363,548088475148,460346933466,618225815903,564267153716,3322804977898.0,1390210307038,845300727437,312893575480,213341931950,1773513972232.0,1436379983694,1549291005666,2780214328701,2181178348652,596855887137,487086631601,409331870268,331954714992,187524016869,155131916609,337514681086,93846298555,126966694511,91209999630,-145446470458,62570803472,19880894831,-131064576893,,,,2022
2605193022178,2341252236663,583925062424,781858720531,711005606363,527985325318,682143146102,618225815903,,1448676924745,1390210307038,276942474651,140373286882,,1596891858077,3732891934230,3457049066386,2780214328701,773433562062,596855887137,448555839023,409331870268,324877723039,187524016869,130428508594,337514681086,56119941162,207672688149,214646330873,4344789070,38507686059,-193360000632,,,,2023
3052191652183,2605193022178,660104319206,1020194855217,781858720531,510013227555,860538950350,682143146102,4485197464384.0,1846349798510,1448676924745,381317577700,223356163926,2595105380936.0,1743475249718,1890092083448,3644246452559,3457049066386,907590799908,773433562062,517873677591,448555839023,389717122317,324877723039,176386377352,130428508594,91149742542,242237998768,230146922129,10800213922,45681605652,-255796691798,,,,2024
3356846142791,3052191652183,762716704001,982451569183,1020194855217,552890167663,979436135669,860538950350,4956680318372.0,1864659912559,1846349798510,302192853551,267188468729,2815381465996.0,1939179544999,2141298852376,3914425271574,3644246452559,1051373281406,907590799908,624966138389,517873677591,426407143017,389717122317,291505273634,176386377352,125813567776,284256733172,299948385888,53737853510,51882100351,-249739445125,,,,2025
