current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,short_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year
126468142204,134214370828,17633955518,46293244808,10781715525,5849600311,5445415024,20771422119,20395717649,179332279585,6207207830,7158208562,0,0,6867042849,46858939338,172465236736,45953114757,37454866933,15116236049,11687167336,30836878708,25767699597,16731755417,9673369338,14105123291,16094330259,17324735714,13827125122,8161008603,1082922040.0,26859324.0,-1017607265,,,,2016
112335226039,126468142204,16990011963,34581973042,14974752201,10280878421,5118590034,27179365605,20771422119,189033645763,6862774100,6207207830,0,0,6882067871,56994032445,182151577892,54469757891,45953114757,18404889784,15116236049,36064868107,30836878708,21221276503,16731755417,14843591604,14105123291,15395635518,12516689358,8555285204,,,-2967443077,,,,2017
105768851923,112335226039,21095733533,23104203947,15860402545,14974752201,12293685362,66064121319,27179365605,258188071762,15479825756,6862774100,1830000000,4257500000,39314210750,69034550035,218873861012,64280682056,54469757891,26063677467,18404889784,38217004589,36064868107,29512563694,21221276503,8704440895,14843591604,14364399601,11265361636,5203397418,,,-18264853362,,,,2018
104472677404,105768851923,19737960398,3000000000,20197234230,15860402545,13927693310,73886028325,66064121319,269925427473,18589948403,15479825756,1220000000,0,41501860480,82783080660,228423566993,83871642044,64280682056,33766128502,26063677467,50105513542,38217004589,31043152964,29512563694,19062360578,8704440895,18528878298,14850657503,19272275069,,,-11636576203,,,,2019
127403667297,104472677404,26715006349,19000000000,22826554545,20197234230,20780832596,94045794417,73886028325,319831469290,35849139744,18589948403,773091200,15000000000,55420018593,112614779726,264411450697,108745921878,83871642044,35849536638,33766128502,72896385240,50105513542,39470513295,31043152964,33425871945,19062360578,39537256822,32452222466,32391668890,,,-36209019089,,,,2020
206791973536,127403667297,41674472731,23977156166,27741078811,22826554545,17342253792,109481405134,94045794417,427646749519,48005014265,35849139744,698406450,15800000000,99288024088,154018239370,328358725431,154082897894,108745921878,45750356148,35849536638,108332541746,72896385240,55843645709,39470513295,52488896037,33425871945,56033421122,46823637037,65297140554,,,-93754918037,,,,2021
247344585752,206791973536,72931463620,8000000000,32304056306,27741078811,24452573078,117960463386,109481405134,478055190172,54252843546,48005014265,223268270,15550000000,106399144494,190861913978,371656045678,194758643934,154082897894,53245714398,45750356148,141512929536,108332541746,75596777705,55843645709,65916151831,52488896037,54048007703,43434103895,59403807966,,,-11907643133,,,,2022
256465270267,247344585752,67244840599,131744546920,31399949522,32304056306,50232365559,123060597618,117960463386,535281189557,65899494138,54252843546,0,400000000,535281189557,260787363807,462194597084,481661488,421666551,70752514459,53245714398,190258396105,141512929536,98000609477,75596777705,92257786628,65916151831,23439914911,77264652455,64945249419,,,-44667653261,,,,2023
554541963954,256465270267,165348015702,154676317809,38459499866,31399949522,57325378675,147312934179,123060597618,855700916352,82817556411,65899494138,0,250000000,855700916352,343061463412,569440798163,928829648,481661488,98877811420,70752514459,251237257221,190258396105,125186500100,98000609477,126050757121,92257786628,26869722716,88943035620,138121879153,,,-225538402744,,,,2024
759541747785,554541963954,175663243434,293883420862,44490083374,38459499866,82702047728,174549327722,147312934179,1043888016418,110473363955,82817556411,0,0,1043888016418,492070692938,723877585619,4072822650,928829648,125071955761,98877811420,411217163051,251237257221,196821404480,125186500100,214395758571,126050757121,48258558424,168255434874,183162279104,,,-155917951227,,,,2025
