date,recession,inflation,unemployment,GDP_growth,interest_rate,stock_market,overall_sentiment
2025-02-16,-0.2905630052864112,-0.1571175398570804,0.1523148807126141,-0.0589776073036359,0.0703558172422017,-0.0218541107372411,-0.0509735942049255
2025-02-23,-0.1732986787787711,0.4177940291390897,0.2260485189593241,-0.0846039103472882,0.2217826633032727,-0.0942526619614853,0.0855783267190236
2025-03-02,-0.2911317038357152,0.1200648440847589,-0.4841186906034578,0.2820109706157358,-0.2697011172895807,0.0837717034825454,-0.0931839989242856
2025-03-09,-0.4930347894635399,0.1438725810263275,-0.1540887505548694,-0.3843391390250952,-0.1491917362707294,-0.467772128603346,-0.2507589938152088
2025-03-16,-0.3372118131884639,0.2455211271031032,-0.3970865068218056,-0.1224127267333252,0.0053807917079543,0.0862387428417256,-0.0865950641818018
2025-03-23,-0.1854819779178687,0.1797289959967006,0.7980243637303419,0.4314847930465027,-0.1963255176310021,0.08399029895911,0.1852368260306307
2025-03-30,-0.7757536434760707,0.0733718579756466,0.3733047839349453,-0.140564324386282,0.4224315748520114,0.3455108750258401,0.0497168539876818
2025-04-06,0.030658008648721,-0.1017773218750837,-0.5010225217694431,-0.025359309733919,0.3921887456192509,0.3271718089564523,0.0203099016409964
2025-04-13,-0.4275357108918976,-0.633529906384893,0.3476180668603126,-0.003557199122239,-0.1137225237599317,-0.502734702220868,-0.2222436625865861
2025-04-20,0.0136319144538849,0.0101318395712792,0.2288568210704639,0.1791372492948814,-0.0201070845611956,-0.1381176480065242,0.0455888486371316
2025-04-27,0.7011688816056821,0.4106036676992574,-0.0326679387076049,0.0580858093774881,0.0897896314232996,0.4358970103243135,0.2771461769537393
2025-05-04,0.0890936214844322,-0.39759416874789,0.0532817735473853,0.045205750801824,0.2745982231769327,0.5158875051445319,0.0967454509012026
2025-05-11,-0.0756522421392561,0.5531272413828805,-0.1129515662146564,-0.3661762974557912,0.0056859415314321,-0.6990434380237814,-0.1158350601531954
2025-05-18,0.0327606491023923,-0.3204227584296419,-0.0568618952491188,0.1956060638176823,-0.178410801671068,0.06725689300638,-0.043345308237229
2025-05-25,-0.148268982570959,-0.3969504518207344,0.0047377176003842,0.0918416872082281,-0.1187296022478745,0.3424786384353491,-0.0374818322326011
2025-06-01,0.0046200593278437,-0.0603649465265329,0.1482365191452386,-0.4500866004055174,0.2092045613282684,0.0523120426227881,-0.0160130607513185
2025-06-08,-0.1981897349377793,0.0335704245959068,-0.0470758761401927,0.2632863388599201,-0.4270757766907219,0.0532536370223797,-0.0537051645484145
2025-06-15,-0.0020740781474859,0.0549080572756919,-0.1384577469581003,-0.4948080938534545,-0.020292532517127,0.0894418771659558,-0.0852137528390866
2025-06-22,0.2022009733007436,0.0006890318264376,-0.4528876189424654,0.0618882588700587,0.4938309084913149,-0.2302080624053766,0.0125855818567854
