year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,585721101017,551487293833,3670224980413,4216489503536,585721101017,3670224980413,-0.1296,0.0621,0.0,0.1104,1.0
2021,Q4,273435124620,585721101017,3363905605791,3670224980413,273435124620,3363905605791,-0.0835,-0.5332,0.0,-0.5161,-1.0
2022,Q4,116379700606,273435124620,3298299641730,3363905605791,116379700606,3298299641730,-0.0195,-0.5744,0.0,-0.5346,-1.0
2023,Q4,195313165155,116379700606,3590824127978,3298299641730,195313165155,3590824127978,0.0887,0.6782,0.0,0.5756,1.0
2024,Q1,41596991832.0,0,74289221180.0,0.0,41596991832.0,74289221180.0,0,41596991832.0,0.0,0.0,0.0
2024,Q2,53834120811.0,0,52664385103.0,0.0,53834120811.0,52664385103.0,0,53834120811.0,0.0,0.0,0.0
2024,Q3,47453282791.0,0,87632864198.0,0.0,47453282791.0,87632864198.0,0,47453282791.0,0.0,0.0,0.0
2024,Q4,184636983859,195313165155,3691161971055,3590824127978,184636983859,3691161971055,0.0279,-0.0547,0.0,-0.0985,-1.0
2025,Q1,53999321011.0,0,28523420458.0,0.0,53999321011.0,28523420458.0,0,53999321011.0,0.0,0.0,0.0
2025,Q2,80277863404.0,0,212131601363.0,0.0,80277863404.0,212131601363.0,0,80277863404.0,0.0,0.0,0.0
2025,Q3,72987400816.0,0,314912124559.0,0.0,72987400816.0,314912124559.0,0,72987400816.0,0.0,0.0,0.0
2025,Q4,248613789437,184636983859,3348601490543,3691161971055,248613789437,3348601490543,-0.0928,0.3465,0.0,0.4093,1.0
