current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,depreciation,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,revenue,prev_revenue,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,interest_expense,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
,,483482722647,163473600000.0,,,,,,327478886405,39927835678475,,,,,30541349919237,5724793137422,21108115739226,26052723827797,9386485759238,,,,,,,,,,,-673557722674,4769277949571,-2078879806689,,,,2016
,,441276532161,45263450000.0,,,,,,363755874349,37139439444281,,,,,28999025482472,4601193102089,22172305487411,21108115739226,8140413961809,,,,,,,1033936616381.0,998213959705.0,,,-1191735429100,2507597962189,-1225943868625,,,,2017
,,239767218088,43558671045.0,,,,,,407940000,39689691576431,,,,,31191707143191,5497914458592,26185037650646,22172167684584,8497984433240,,,,,,,,,,,526744603689,57086496581,-1275174704652,,,,2018
,,257100689935,74876332880.0,,,,,,99760000,39311854557705,,,,,31165333774702,5397707476552,24982639514904,26185037650646,8146520783003,,,,,,,,,,,58269151996,1985840004108,-1397034073729,,,,2019
,,331760711447,,,,,,,1636714620894,35909774516082,,,,,28174619094112,5190805100333,20833721595457,24982639514904,7735155421970,,,,,,,898855103216.0,1334514162004.0,,,-160683052530,3251022956819,-971875632047,,,,2020
,,564523174196,,,,,,,1722329284772,43669902324183,,,,,34550566518376,6185268274692,27520756430324,20833721595457,9119335805807,,,,,,,1239699333407.0,898855103216.0,,,964522139121,-2070539824957,-1170273291731,,,,2021
,,813274677818,,,,,,,1751358366410,62424983096053,,,,,52014242784013,7476256994788,51724286632369,27520756430324,10410740312040,,,,,,,2463421952045.0,1239699333407.0,,,1497008012582,-14580918441830,-973794065801,,,,2022
,,780587620124,,,,,,,50998580000,57254666338284,,,,,57254666338284,6678622025464,2794401824,3134694805,9826038102998,,,,,,,,,,,-747428633334,5885553657430,-1334013043885,,,,2023
,,929109000000,,,,,,,3686000000,57669637000000,,,,,57669637000000,7780243000000,84454000000,106939000000,10826356000000,,,,,,,,,,,1148985000000,3629763000000,-1746796000000,,,,2024
,,1147352000000,,,,,,,55254000000,53627847000000,,,,,53627847000000,7775802000000,3541000000,3358000000,10798925000000,,,,,,,2101151000000.0,3003363000000.0,,,132251000000,6539315000000,-2255692000000,,,,2025
