current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,revenue,prev_revenue,capex,roe,debt_ratio,opm,year
,,1129035000000,,,,,,19489442000000,,,,,5269358000000,10792060000000,14220084000000,,,,,,,1092486000000,944571000000,,1091258000000,878198000000,269606000000,,,,-343818000000,,,,2016
,,1309949000000,,,,,,21647697000000,,,,,5468186000000,13010406000000,16179511000000,,,,,,,2741306000000,1290494000000,,2435559000000,1058441000000,229368000000,,4771625000000.0,4378680000000.0,-689285000000,,,,2017
,,1054293000000,,,,,,22835911000000,,,,,4671433000000,15048624000000,18164478000000,,,,,,,1930147000000,2741306000000,,1882897000000,494943000000,153390000000,,4902745000000.0,4771625000000.0,-658633000000,,,,2018
,,1337102000000,,,,,,22434630000000,,,,,3413609000000,15699266000000,19021021000000,,,,,,,1011088000000,1773241000000,,1106755000000,818667000000,156104000000,,,,-33996000000,,,,2019
,,1492690000000,,,,,,24282268000000,,,,,3420978000000,16782359000000,20861290000000,,,,,,,1754223000000,980605000000,,1540658000000,739096000000,152091000000,,,,-1277688000000,,,,2020
,,1132504000000,,,,,,25669796000000,,,,,3729575000000,18891414000000,21940221000000,,,,,,,2390985000000,1643100000000,,2683974000000,1019525000000,146688000000,,,,-271997000000,,,,2021
,,1050726000000,,,,,,29633677000000,,,,,3399491000000,20620548000000,26234186000000,,,,,,,2045618000000,2390985000000,,2115750000000,641024000000,149506000000,,,,-175064000000,,,,2022
,,778904000000,,,,,,30253085000000,,,,,3236596000000,21301106000000,27016489000000,,,,,,,1618368000000,2045618000000,,1414258000000,882694000000,3049000000,,,,-179302000000,,,,2023
,,1379821000000,,,,,,31639273000000,,,,,3506640000000,21325453000000,28132633000000,,,,,,,966842000000,1589013000000,,790478000000,1361451000000,13671000000,,,,-66214000000,,,,2024
,,1511450000000,,,,,,33982889000000,,,,,3648076000000,21396512000000,30334813000000,,,,,,,912174000000,966842000000,,1000121000000,1015114000000,15324000000,,,,-543191000000,,,,2025
