current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,accounts_receivable,prev_accounts_receivable,capex,roe,debt_ratio,opm,year,short_term_debt,short_term_investments
41364302145,28852749642,13509933784,6569681987,24945896757,15769770856,68826000028,3695175974,3406618274,1571360000,7290701701,14361282187,61535298327,24266777518,17913609072,13417414762,9535884456,10849362756,8377724616,9098909404,6959180758,1750453352,1418543858,2180619446,2363345975,534933101,942020574,64351603,-1294352416,-844216327,-27367695585,,,,2018,,
37775075048,41364302145,9680096498,6750431782,23950616758,24945896757,64669053513,2024253662,3695175974,0,3260113487,16849327431,61408940026,25231156876,24266777518,12070162796,13417414762,13160994080,10849362756,11479219627,9098909404,1681774453,1750453352,2351034655,2481000995,4181398406,1718112988,28062969,363859641,-1294352416,-967828264,,,,2019,,
43527085705,37775075048,9225407100,7831141767,24728626969,23950616758,73197414777,1140383602,2024253662,0,9819781596,16553735463,63377633181,19231375419,25231156876,9402738003,12070162796,9828637416,13160994080,11592975964,11479219627,-1764338548,1681774453,-1494126739,-137893762,-568299332,1611004505,33468981,526531246,363859641,-9811943066,,,,2020,,
50051550296,43527085705,15367548829,8112062769,24160399422,24728626969,80127205831,9093308071,1140383602,7422611161,9916796980,17280569002,70210408851,22358193241,19231375419,10899577634,9402738003,11458615607,9828637416,12387583237,11592975964,-928967630,-1764338548,-291026653,728852501,1368950649,1812608299,709746147,-641501205,526531246,237743793,,,,2021,,
90710133440,50051550296,25671630817,13296934078,25810377756,24160399422,122794680774,16469367459,9093308071,2790998594,38136875373,17021003752,84657805401,25856449323,22358193241,11896574501,10899577634,13959874822,11458615607,16120408872,12387583237,-2160534050,-928967630,-1636137287,-224151043,12484341622,5283094,1279314428,273653881,-641501205,-30611552840,,,,2022,10000000000.0,
81163877545,90710133440,7353863675,15399380978,25725467440,25810377756,114995337499,18766996278,16469367459,9332622547,114995337499,15669663631,95840881737,786467077,333337892,13662710746,11896574501,15465238742,13959874822,20764035489,16120408872,-5298796747,-2160534050,-1335828136,-1299719460,-4747588883,30211537,1872727870,-1293475652,273653881,-4324368364,,,,2023,,48525642106.0
53196902516,81163877545,11692461419,13375738835,27958476172,25725467440,100246445003,3851569684,18766996278,1288691006,100246445003,12527678432,96006772289,87520854,786467077,13788607735,13662710746,16249623318,15465238742,19223127262,20764035489,-2973503944,-5298796747,-2005158365,-3038577530,5356067157,18548208,756246687,1598562858,-1293475652,9596757335,,,,2024,0.0,10009100000.0
247812586127,53196902516,31037776879,13602015589,3017307000,27958476172,319708080737,5411950957,3851569684,0,319708080737,17601231580,314078968337,540726757,87520854,14634695910,13788607735,24307851096,16249623318,20961812441,19223127262,3346038655,-2973503944,-693179258,5303138634,7075291568,32619704,12009306,-2302028647,1598562858,-196288296250,,,,2025,0.0,141412477725.0
