year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,-1764338548,1681774453,19231375419,25231156876,-1764338548,19231375419,-0.2378,-2.0491,0.0,-0.8039,-1.0
2021,Q4,-928967630,-1764338548,22358193241,19231375419,-928967630,22358193241,0.1626,0.4735,0.0,0.4864,1.0
2022,Q4,-2160534050,-928967630,25856449323,22358193241,-2160534050,25856449323,0.1565,-1.3257,0.0,-0.7261,-1.0
2023,Q4,-5298796747,-2160534050,786467077,25856449323,-5298796747,786467077,-0.9696,-1.4525,0.0,-0.7439,-1.0
2024,Q1,-923787201.0,0,519464948.0,0.0,-923787201.0,519464948.0,0,-923787201.0,0.0,0.0,0.0
2024,Q2,86653088.0,0,254021775.0,0.0,86653088.0,254021775.0,0,86653088.0,0.0,0.0,0.0
2024,Q3,-1402917153.0,0,1133432943.0,0.0,-1402917153.0,1133432943.0,0,-1402917153.0,0.0,0.0,0.0
2024,Q4,-2973503944,-5298796747,87520854,786467077,-2973503944,87520854,-0.8887,0.4388,0.0,0.4674,1.0
2025,Q1,826026453.0,0,-2858182227.0,0.0,826026453.0,-2858182227.0,0,826026453.0,0.0,0.0,0.0
2025,Q2,240743602.0,0,-658775223.0,0.0,240743602.0,-658775223.0,0,240743602.0,0.0,0.0,0.0
2025,Q3,224268003.0,0,-1132794663.0,0.0,224268003.0,-1132794663.0,0,224268003.0,0.0,0.0,0.0
2025,Q4,3346038655,-2973503944,540726757,87520854,3346038655,540726757,5.1783,2.1253,0.0,0.8095,1.0
