current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,revenue,prev_revenue,income_tax,net_income,cash_from_operations,depreciation,capex,roe,debt_ratio,opm,year,short_term_investments,interest_expense
2067576345895,1944717831697,147159111499,928737097934,835260676783,794842407814,2202251402380,2152942554001,5249146052749,1964924914859,1828413503216,1136768807070,782387548773,3123870119105,878836004275,2125275933644,3281693099731,3574543128051,1280535387316,1281985645632,1003803741820,1001533825353,276731645496,280451820279,118057966259,87408520082,238876031993,175966156263,339631370215,1507426576,-261830998952,,,,2016,,
2094598958700,2067576345895,77006921426,968589693044,928737097934,799155544561,2444298365678,2202251402380,5661948639915,2126148761464,1964924914859,1216978195455,885253002800,3339501157526,975511586146,2322447482389,3426332696356,3281693099731,1180707229467,1280535387316,982730172678,1003803741820,197977056789,276731645496,4607039925823,4562228487047,179252023625,122735809717,276642580260,1786079243,-498747749566,,,,2017,90759105335.0,
1955216348712,2094598958700,86590765295,829149911494,968589693044,875782136059,2573522427016,2444298365678,5572860216959,2324354962195,2126148761464,1431940970538,814535883050,3364325971018,1026512552949,2208534245941,3636425916662,3426332696356,1116154013193,1180707229467,971237702237,982730172678,144916310956,197977056789,4752579929855,4607039925823,90262295902,42925108897,341230892497,7009018368,-295881184329,,,,2018,78635755970.0,
2079125527604,1955216348712,115963486540,851593739607,829149911494,877647303282,2459266123496,2573522427016,5293102915762,2245001139302,2324354962195,1549344607503,750938949697,3166766472588,1013056072605,2126336443174,3276089081362,3336547075666,1131101362317,1123254608158,958153640471,956324149595,172947721846,166930458563,4407190443679,4459801683824,83435013944,22121808463,123431284866,3463916800,-16408436419,,,,2019,67667963672.0,
1869993905842,2079125527604,160836162464,764201858519,851593739607,782304103454,2453456659743,2459266123496,5043688226427,2154432963132,2245001139302,1371300295862,442535020744,2751644078059,1188537840569,2292044148368,2999241850682,3276089081362,1036843479703,1131101362317,884401677326,958153640471,152441802377,172947721846,4036085330385,4407190443679,309235779274,205512192842,499610771741,4974118474,130618552304,,,,2020,85355221758.0,
2213219051329,1869993905842,240547796311,819377012472,764201858519,1008156850075,2418484952413,2453456659743,5601285265899,2232369975656,2154432963132,1303137422221,656731629808,3050719238156,1354450576285,2550566027743,3360171835277,2934572593301,1301878560171,1035691372806,1049165364749,872446754702,252713195422,163244618104,4662050395448,3970263966107,278053411275,203824696413,255657508937,5094787924,-193068732332,,,,2021,39488643064.0,
2456933837738,2213219051329,203992024024,827203519509,819377012472,1260902762952,2538359780699,2418484952413,6003463015992,2651217278486,2232369975656,1746812732803,508972016983,3270361413054,1525808938165,2733101602938,3886298003442,3360171835277,1481175552630,1301878560171,1238679453748,1049165364749,242496098882,252713195422,5367473556072,4662050395448,169697570795,189160141708,30378522256,2117029499,-221268084181,,,,2022,41512728026.0,70051035494.0
2288259192253,2456933837738,174054756477,20170986204,-24354134111,1180189688046,2601439265334,2538359780699,6002718764682,2417412267433,2651217278486,1586717063016,533930330185,3073061698076,1502026413480,2929657066606,3739376095883,3886298003442,1321781825516,1481175552630,1164156351450,1238679453748,157625474066,242496098882,88455314537,178684000187,38848900744,50777732316,401540433869,131920223,-291167858644,,,,2023,,108358629759.0
2401813499302,2288259192253,252358773744,-32100030169,20170986204,1172696654784,3055548046379,2601439265334,7248051156066,2357087607958,2417412267433,1572810367609,894597163433,3475049512534,1525039830421,3773001643532,3518939675027,3398326584335,1324063456242,1336580598332,1165339987392,1136925910109,158723468850,199654688223,124912979595,85187286479,10611659580,110628722171,290586107098,1248318750,-583589135662,,,,2024,,108077550486.0
2376244750241,2401813499302,263843934948,4339800001,-32100030169,1126659978900,2935619933511,3055548046379,7682530168368,2245581733765,2357087607958,1502712536405,1060198918782,3617516915345,1467683954371,4065013253023,3596164078523,3518939675027,1277235413429,1324063456242,1168339394871,1165339987392,108896018558,158723468850,105577119291,124912979595,-10808098050,51573520480,355039451553,6461170927,-204362489979,,,,2025,,117025602677.0
