current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year,cost_of_goods_sold,prev_cogs
285489441590,282044124840,38528803804,7757017856,166894645640,146933516943,56114825862,211226289510,212853657181,519225688902,182515204718,157617251318,14366374021,23213599142,254652647955,220379035840,264573040947,749444962711,780951401009,42461075607,39573543442,-25661056705,-29695990297,16800018902,9877553145,3808514243,3988606152,37730222768,6081256583,3738226845,16333636852,,,,2016,,
291490985716,284726284319,20588807047,14564477157,184677693706,167586967937,67386013368,210015519212,211226289510,538955918306,193132989446,182515204718,5678328766,15000000000,278840953725,218302191859,260114964581,836979323369,749444962711,37539728650,41021351559,29676424159,25661056705,7863304491,15360294854,1583492481,1454588459,-15192665784,970245709,3353996338,-21002676683,,,,2017,799439594719.0,708423611152.0
277829164685,291490985716,28571810334,12729414881,169261166394,184677693706,63213007610,208426127360,210015519212,526494275213,147498229192,193132989446,7847239368,0,266088415099,216146330684,260405860114,840654318393,836979323369,35493546900,37539728650,30320624196,29676424159,5172922704,7863304491,1293000824,98902170,27639143000,667200737,3775352756,-5467601505,,,,2018,805160771493.0,799439594719.0
264775008475,277829164685,6279148240,15399023392,181961496289,169261166394,57086106173,213176791295,208426127360,512573535099,168070024396,147498229192,12125671202,40523000000,255845320372,218332762678,256728214727,830264391828,840654318393,39035657657,35493546900,31916987565,30320624196,7118670092,5172922704,6058216670,5462904198,-10480082842,259363232,2889490328,-9031178973,,,,2019,791228734171.0,805160771493.0
285786918608,264775008475,10129005968,21395268174,167931604423,178920293364,70310727379,223241034940,213176791295,542461377882,192305201478,168070024396,30009875271,27466000000,278899162200,226333310938,263562215682,857415249064,830264391828,47965060294,39035657657,35314175020,31916987565,12650885274,7118670092,11902252942,9505568262,10024913810,521322416,4142909284,-16278673313,,,,2020,809450188770.0,791228734171.0
401943906435,285786918608,26713367880,28573893163,229277143312,167931604423,107032910089,232885163948,223241034940,658966428816,246544293099,192305201478,55203212996,7223875000,390851138494,229291388309,268115290322,1070383204799,857415249064,61774237333,47965060294,45202459445,35314175020,16571777888,12650885274,8758972464,5854428912,-11282515897,1696925887,3889013136,-11167312419,,,,2021,1008608967466.0,809450188770.0
491767369545,401943906435,55693314415,34528417578,252797446736,229277143312,126607484184,235335436372,232885163948,752332445010,319323694193,246544293099,31136498131,45855500000,449261889191,240157354174,303070555819,1416454404337,1070383204799,88533597866,61774237333,60071029175,45202459445,28462568691,16571777888,13296874869,10463889335,25464636189,2151890865,5637799035,-5427266880,,,,2022,1327920806471.0,1008608967466.0
545333236859,491767369545,71011595564,49737219093,288289346840,252797446736,121163677127,239530220924,235335436372,801805532215,376758134591,319323694193,60483426773,29993927147,801805532215,255284070595,331011443000,15318226079,46544562913,112689530919,88533597866,68969491926,60071029175,43720038993,28462568691,10494711524,17898342263,19382899758,1884449768,7400788597,-13425533070,,,,2023,1385917013494.0,1327920806471.0
654804752000,545333237000,63738565000,38551296000,352564203000,288289347000,178314741000,308620510000,239530221000,1042884426000,518334366000,376758134000,143278909000,52594138000,1042884426000,279089145000,453705043000,15227978000,15677274000,116630037000,112689531000,71618259000,68969492000,45011778000,43720039000,10200817000,25355195000,39267666000,9666747000,8650947000,-25597257000,,,,2024,1610473643000.0,1385917013000.0
969580990000,654804752000,197448756000,36957372000,396590688000,352564203000,284196685000,359728542000,308620510000,1377927912000,744660678000,518334366000,358286350000,21190778000,894139107000,369193484000,483788805000,28733760000,15227978000,205505974000,116630037000,126314383000,71618259000,79191591000,45011778000,12078969000,51396625000,41739624000,1000000000,17878822000,-15430395000,,,,2025,2340192100000.0,1610473643000.0
