current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,net_income,income_tax,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation
,,737221941998,168948368210,,,,,,32389271862348,,,,,16025632841195,10548492652600,16363639021153,16691511903578,16132512865309,,,,,,,1445002081554.0,1464141742728.0,1130229912876,,2916568140314,-1975836583133,,,,2016,
,,770652011333,154621317388,,,,,,33373824864352,,,,,16338301856344,11277740474420,17035523008008,19165963848372,16691511903578,,,,,,,1367550419719.0,1445365340155.0,727540143053,,1719768998738,-1234242659493,,,,2017,
,,762113418369,157215008632,,,,,,33304917422605,,,,,16281783447413,11560630208201,33304917422605,20780381550301,19165963848372,,,,,,,1026089374644.0,1367550419719.0,407959435202,,1575279409992,-1164791709774,,,,2018,3723247641.0
,,915767249640,155374597576,,,,,,34366332508379,,,,,17132592383734,11488335873492,17233740124645,20512590431956,20780381550301,,,,,,,331297506282.0,1026089374644.0,25613298147,,626355650890,-1162877420508,,,,2019,5000000000.0
,,917233010613,550228351815,,,,,,34845040108141,,,,,18152008766582,10933098786612,16693031341559,18023398349630,20512590431956,,,,,,,,,-440119749803,,2014160118424,-2437789284875,,,,2020,0.0
,,1380923938134,279705500117,,,,,,37042298365641,,,,,18781894205821,12358515675320,37042298365641,22849920977857,18023398349630,,,,,,,,,1505154568208,,2002894272429,-663360314477,,,,2021,0.0
,,1698640645955,474489677092,,,,,,36800955829773,,,,,17672412852352,13373650242238,19128542977421,27340601237802,22849920977857,,,,,,,1616457125289.0,2447503013134.0,1038192930309,,2179616640426,-1394514739000,,,,2022,
,,1385746851111,704782656458,,,,,,35218841930044,,,,,35218841930044,13639305563613,19496000328022,25914760456167,27340601237802,,,,,,,,,442983461011,,1948393342394,-132288778762,,,,2023,
,,1295644723235,860613591818,,,,,,34743788025637,,,,,15410222889378,13400002431370,19333565136259,23226141091217,25914760456167,,,,,,,159492008580.0,798325068073.0,1920757872043,,1777143870407,-1502839325948,,,,2024,
,,1342926134232,805366237672,,,,,,34442304939493,,,,,14602128875438,13303473335216,19840176064055,22733237259727,23226141091217,,,,,,,219235156230.0,159492008580.0,1389012026,,2053257208793,-1577935947741,,,,2025,
