current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,total_equity,revenue,prev_revenue,income_tax,cash_from_operations,capex,short_term_debt,retained_earnings,roe,debt_ratio,opm,year,depreciation,operating_income,prev_operating_income,net_income
,,1046218732288,1122962592000,,,,,3432708944352,,,,1637071183230,1795637761122,,,,156658928688,-996778345328,,-567514997.0,,,,2021,,,,
,,1407843532369,674050000000,,,,,3331529857877,,,,1423304932690,1908224925187,,,,-56865817768,383359048366,,0.0,,,,2022,16175374775.0,,,26795044775.0
,,1136845714773,1011450000000,,,,,3966486618370,,,,2031711008305,1934775610065,,,,253114330926,-417165471634,,0.0,,,,2023,67375413388.0,,,-22906723275.0
,,1564242229556,801450300398,,,,,4414712217433,,,,4414712217433,1910808471743,,,,127031956693,191309634781,,,,,,2024,95460022700.0,,,
,,1631491473258,822350000000,,,,,5339580904646,,,,5339580904646,1950906550511,,,,118619005514,-53624342943,,,,,,2025,173572048270.0,,,
