current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,roe,debt_ratio,opm,year,accounts_receivable,prev_accounts_receivable,interest_expense,depreciation
68984638802,71798076052,24484316939,10190530169,95501550413,91123870505,196506636885.0,25746713867,30432999792,12000000000,777607500,33716148544.0,71190067853,162790488341.0,93636334404,99039486194,63790207886,63326947328,29846126518,35712538866,19081992291,19987599796,10764134227,15724939070,11978387571,8783164693,16251904133,-24236217321,4981205391.0,,,,2016,,,,
90186870250,68984638802,25592141187,9764378739,95544431257,95501550413,211233454776.0,30232054237,25767622117,11621853331,0,39467049540.0,85418600626,171766405236.0,114082892658,93636334404,72043588385,63790207886,42039304273,29846126518,19846219748,19081992291,22193084525,10764134227,19998306325,16120713381,23153408500,-14631322269,13834441526.0,,,,2017,24693471580.0,18580788073.0,491439198.0,170247955.0
82885995386,90186870250,15195511809,10856588371,102738774392,95544431257,216779737362.0,26164138254,30232054237,400000000,3708171425,38716618892.0,93514833062,178063118470.0,115859797581,112580717658,82360368451,70418413532,33499429130,42162304126,20316720508,19146896924,13182708622,23015407202,16796632350,12151612470,16493748952,-24807634887,,,,,2018,23601612221.0,51142500530.0,489874947.0,2494927252.0
65385111991,82885995386,13487443818,11428029448,109145630520,102738774392,208455083136.0,25004144032,26164138254,3350000,2917671415,30037440837.0,96302342705,178417642299.0,87678824284,101865962869,66635848126,72028939261,21042976158,29837023608,19017238948,17572002335,2025737210,12265021273,3147458026,3181414647,11936619913,-3704381929,,,,,2019,21243595652.0,23601612221.0,674967313.0,1890760376.0
78255891238,65385111991,37125953228,12035765847,66804222577,107260768430,239465749136.0,59235251084,25004144032,0,29834567189,66743884001.0,102009545440,172721865135.0,121769458607,87678824284,84812700849,66635848126,36956757758,21042976158,18878650569,19017238948,18078107189,2025737210,10127606339,5505283414,24756782540,-9959252733,,,,,2020,23106183656.0,21243595652.0,575099840.0,1905490209.0
98338761170,78255891238,51108660081,14494872750,111321955567,66804222577,261724660673.0,34848239520,59235251084,0,3607076835,39149163367.0,130580340794,222575497306.0,144669824213,121769458607,81854218726,84812700849,62815605487,36956757758,25298232617,18878650569,37517372870,18078107189,37390931891,30084735108,39254158334,-4047972401,,,,,2021,24227261033.0,23106183656.0,409294845.0,1500958494.0
161742958401,98338761170,53687149914,22541360038,133875300632,111321955567,358432438082.0,81385857030,34848239520,2265718904,0,90405304450.0,170873905730,268027133632.0,178871264564,144669824213,94472464846,81854218726,84398799718,62815605487,28517201936,25298232617,55881597782,37517372870,62127598132,43936651357,65415841493,-75883242373,31036500000.0,,,,2022,22824927567.0,24227261033.0,96611641.0,2433919844.0
361800586509,161742958401,267986763649,15434848370,92783927417,133875300632,541813159701.0,58252321706,81385857030,19785288000,0,541813159701.0,173300467714,473452647667.0,8123128832,14812828564,85057436771,94472464846,55164503137,84398799718,44427796361,28517201936,10736706776,55881597782,3979712220,13583247114,22378623635,-1629910327,29447000000.0,,,,2023,23747911586.0,22824927567.0,2127281898.0,2371303667.0
405104881247,361800586509,39868508964,15439669473,92193724607,92783927417,,52271209748,58252321706,0,20000000000,,222040652982,582882970486.0,174480093980,140221939908,100082332536,85057436771,74397761444,55164503137,29613493387,44427796361,44784268057,10736706776,14686321201,54898977342,50672432870,-251869254329,305000000000.0,,,,2024,32892700530.0,21020881647.0,,
446710161792,405104881247,79871448500,25011166037,91002025205,92193724607,,82881898530,52271209748,0,20000000000,,260800558799,,220194751972,174480093980,122455936259,100082332536,97738815713,74397761444,37684928598,29613493387,60053887115,44784268057,10252579296,56343270511,41712020998,13991425371,262260000000.0,,,,2025,69838745682.0,32892700530.0,,
