current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,cost_of_goods_sold,prev_cogs
10768750103877,12323751612254,2016275129904,217288576315,2408541772544,2835428312948,2145767371762,8077041606594,8796055297033,28664805142790,13440314391609,14279681899468,3848111193494,1535143926167,20763947017927,1410659241495,7900858124863,16410692545519,16902387343538,2876942806168,2550400677059,1959700185885,2479788839193,917242620283,70611837866,-147205636,50416443790,924981102666,1061184915664,,,,2016,,
10835444842845,10761832212692,2344600297096,283255604788,2328337949101,2433076754522,2351625599828,8198814853198,7909172862663,28736478478377,13784876149874,13438753084222,4349942596034,1331969108362,21221322635551,1299180929866,7515155842826,17580496044638,16470291054727,3050986289013,2887959143704,1966577156788,1963704403990,1084409132225,924254739714,245758605487,-42313115106,677021773934,-556021972688,,,,2017,14529509755625.0,13582331911023.0
11581185618507,10835444842845,2456189369971,395467218033,2528325139425,2328337949101,2608021732388,7768328605168,8198814853198,28875573072691,13334383547399,13784876149874,3187563078435,1409156416811,21827135227370,923907733072,7048437845321,18154702566170,16908734569800,3322407518517,3001282749326,2107627393840,1929172020114,1214780124677,1072110729212,9452491081,-348857114226,1021890995021,-943080496793,,,,2018,14832295047653.0,13907451820474.0
11008912806826,11581185618507,1840833889385,296380362231,2523770217794,2528325139425,2681748260970,7953359055167,7768328605168,29134709609958,16306253371339,13334383547399,4614068042514,2423497646535,22531061298279,1173510892881,6603648311679,18446492810268,17431835667344,3000787713617,3054063305765,1897464366343,1878788364208,1103323347274,1175274941557,14331049026,313824054551,784166127919,-935836349677,,,,2019,15445705096651.0,14377772361579.0
12598323857273,11008912806826,2707378621227,438760359255,2255531445233,2523770217794,2421951527992,6982497957947,7953359055167,30117622955500,15808245254046,16306253371339,6295837988399,835034919760,22408094225620,1159308654316,7709528729880,17080748851706,17952321236566,2683293042792,2916079028106,2153151585294,1846064399269,530141457498,1070014628837,-644156697124,-748000892784,126536367869,-343405691418,,,,2020,14397455808914.0,15036242208460.0
9895281692159,12598323857273,2235362000986,1063278992989,1200207123894,2255531445233,2027873938222,5963449229467,6983728155921,26009852171749,12006449215983,15808245254046,4725060883659,690900817693,17512799235250,1468140643281,8497052936499,13204153075980,11428549161427,2242466533859,1480907625073,1296535306912,1501260193059,945931226947,-20352567986,610361584097,656730965019,743214641209,-315051174019,,,,2021,10961686542121.0,9947641536354.0
9526315384836,9877148136531,2074186431748,160916144934,1895477518134,1160435476631,2756671475081,6273316148740,5947261892371,26315352623211,9478485386427,12009372006886,1862739580080,717884940866,16017536857154,669450909854,10297815766057,16995760103010,12851485792017,2838047017235,2206916966537,1712018290813,1285859565563,1126028726422,921057400974,-285903924711,-581168717784,533183466969,-290918697655,,,,2022,14157713085775.0,10644568825480.0
11446327758199,9526315384836,3539166947066,231536505252,1665733239617,1895477518134,2927119508674,6509435168360,6273316148740,28286808651585,11438852161739,9478485386427,1717485526824,484048108522,28286808651585,207969718905,11206738545707,19130129881903,16995760103010,3245069266938,2838047017235,1808807062487,1712018290813,1436262204451,1126028726422,178900185064,272073643932,1908708279056,-1106303054421,,,,2023,15885060614965.0,14157713085775.0
11912646000000,11446328000000,3704064000000,211997000000,1718368000000,1665733000000,3136392000000,7012548000000,6509435000000,30143063000000,11024159000000,11438852000000,3081139000000,478603000000,30143063000000,-81552000000,11889482000000,18132874000000,19130130000000,2962142000000,3245069000000,1958383000000,1808807000000,1003759000000,1436262000000,290727000000,302227000000,307830000000,-994760000000,,,,2024,15170732000000.0,15885061000000.0
14193308000000,11912646000000,4927903000000,175670000000,2279445000000,1718368000000,3010513000000,7109517000000,7012548000000,32927788000000,13754410000000,11024159000000,3985915000000,774811000000,20693467000000,-80639000000,12234321000000,19784138000000,18132874000000,3413217000000,2962142000000,2350502000000,1958383000000,1062715000000,1003759000000,240655000000,249511000000,981908000000,-430442000000,,,,2025,16370921000000.0,15170732000000.0
