current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,long_term_debt,roe,debt_ratio,opm,year,cost_of_goods_sold,prev_cogs,sga_expense,prev_sga,prev_gross_profit,short_term_debt
48698339715,16174390879,2812752567,964084522,565602323,26000000000,634836837,5220553921,5135719685,55636945794,314093899,1032835460,698937719,-20248267088,54938008075,302000000,243966300,-8233927853,-5410019108,-7742007380,-7742007380,-8359441717,415538723,33968610,-31742487915,0,,,,2018,,,,,,
37439676274,48698339715,4954472700,1402303666,964084522,15000000000,365822779,5911248998,5220553921,45207279036,2754476478,314093899,3399951416,-34798780408,41807327620,1130327053,302000000,-15116805728,-8233927853,-14243552179,-14352745072,-10733212800,601047408,5606739,12590153388,0,,,,2019,,,,,,
69046816041,37439676274,11328809276,560078461,1402303666,55000000000,304171116,6180366388,5911248998,78577365603,4488211117,2754476478,33226514642,-54378579028,45350850961,2474272092,1130327053,-16241420668,-15116805728,-20511040753,-19384552650,-3759218608,939625846,239065605,-31419566408,14011042738,,,,2020,,,,,,
52239572048,69046816041,34336736236,491485122,446565050,15000000000,374129242,31525481410,6180366388,86671974337,40365162166,4488211117,67264591995,-84302561559,19407382342,3674356765,2474272092,-25423672146,-16241420668,-31099438578,-30277900848,-19053575334,1394526255,2481738065,15473356503,16405317226,,,,2021,,,,,,
65045503731,52239572048,4930267854,1050113252,491485122,53000000000,657172089,37232153259,31525481410,132651479850,39543151650,40365162166,66448925303,-103224152270,66202554547,9320323645,3674356765,-22375609579,-24228556815,-29107615458,-21887805751,-30682858180,1786864247,3052684424,-54763807192,19230313036,,,,2022,0.0,308371891.0,31695933224.0,27594541689.0,3365984874.0,
32141697713,65045503731,11982762223,4976912396,1050113252,10000000000,468409261,43909712122,37232153259,102825049707,6563263922,39543151650,102825049707,-122910127564,50335955136,17064275446,9320323645,-18185342175,-22375609579,932072261,-19101696120,-21168432072,2327337998,3491742139,34366401733,0,,,,2023,0.0,0.0,35249617621.0,31695933224.0,,
15534061431,32141697713,3883390149,1002940357,4976912396,0,554258281,51384676471,43909712122,71249226328,30060339329,6563263922,71249226328,-167785370301,18472649178,5677151911,17064275446,-30918594163,-18185342175,-411968009,-40658699598,-28044990535,2296811716,4661251295,973555861,13441184376,,,,2024,,,36595746074.0,35249617621.0,,
140851463795,15534061431,6358594526,6241610624,1002940357,91900107230,396705440,50498513028,51384676471,195365962787,21326232131,30060339329,195365962787,-191586291911,150078672129,14666854279,5677151911,-29972430134,-30918594163,2490884521,-15742651455,-15899886728,2129865882,1860921629,-104942356094,0,,,,2025,,,44639284413.0,36595746074.0,,644000000.0
