year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,-61311788462,-48731090741,56177400696,38420748245,-61311788462,56177400696,0.4622,-0.2582,0.0,-0.3405,-1.0
2021,Q4,-101018424284,-61311788462,69825991454,56177400696,-101018424284,69825991454,0.243,-0.6476,0.0,-0.5643,-1.0
2022,Q4,-74664893059,-101018424284,179707913112,69825991454,-74664893059,179707913112,1.5737,0.2609,0.0,0.3429,1.0
2023,Q4,-125024740610,-74664893059,11927382903,179707913112,-125024740610,11927382903,-0.9336,-0.6745,0.0,-0.5743,-1.0
2024,Q1,-35771193752.0,0,11154024149.0,0.0,-35771193752.0,11154024149.0,0,-35771193752.0,0.0,0.0,0.0
2024,Q2,-37470348733.0,0,14794148400.0,0.0,-37470348733.0,14794148400.0,0,-37470348733.0,0.0,0.0,0.0
2024,Q3,-19559089568.0,0,16953004007.0,0.0,-19559089568.0,16953004007.0,0,-19559089568.0,0.0,0.0,0.0
2024,Q4,-118516152929,-125024740610,1936882036,11927382903,-118516152929,1936882036,-0.8376,0.0521,0.0,0.0943,1.0
2025,Q1,-28757003139.0,0,17664112433.0,0.0,-28757003139.0,17664112433.0,0,-28757003139.0,0.0,0.0,0.0
2025,Q2,-23061473106.0,0,15732443379.0,0.0,-23061473106.0,15732443379.0,0,-23061473106.0,0.0,0.0,0.0
2025,Q3,-23028026210.0,0,22111389951.0,0.0,-23028026210.0,22111389951.0,0,-23028026210.0,0.0,0.0,0.0
2025,Q4,-104217336541,-118516152929,7556482376,1936882036,-104217336541,7556482376,2.9014,0.1206,0.0,0.1944,1.0
