current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,short_term_investments
27111793279,29901634621,9368627904,2929114396,4804069269,3854580048,10829361390,11148429796,186707061029,15423827554,24441072202,7328208000.0,6056404196,62633806253,-3329640391,124073254776,30138866814,38460683507,25867914955,32431195340,4270951859,6029488167,25275222963,11992688565,-21004271104,-5963200398,-23251533470,-23251533470,-10151013868,-2891073639,,,,2016,
35324284333,27111793279,7346888316,3241078668,2929114396,4142909238,10289891528,10829361390,188193254891,42332831413,15423827554,31549690920.0,4320000000,74514456267,-19824453331,113678798624,23006912167,30138866814,20815763965,25867914955,2191148202,4270951859,28305958597,25275222963,-26114810395,-21004271104,-33352280661,-21327893685,-19080875878,-12982262810,,,,2017,
117127032503,35324284333,30225829645,6528554000,3241078668,3860254264,12807115178,10289891528,304040778357,20917581275,42332831413,10974390606.0,31554647549,94517242572,39618350483,209523535785,36185983416,23006912167,29700114455,20815763965,6485868961,2191148202,35801039063,28305958597,-29315170102,-26114810395,13502789404,13520304124,-20672430895,-11481055848,,,,2018,
69679047000,117127032503,40855235426,6583621059,6528554000,4918445721,12523557478,12807115178,362612148006,67698778182,20917581275,12096012300.0,74524384853,173369982097,-5216437630,189242165909,38420748245,36185983416,34484127309,29700114455,3936620936,6485868961,52667711677,35801039063,-48731090741,-29315170102,-59763317151,-59660076049,-48656702381,-26825248710,,,,2019,
251572612204,69679047000,220677816166,11746775784,6583621059,4874065395,19892235070,12523557478,706477276989,98026814858,67698778182,62817199737.0,0,149047858403,-85448751794,557429418586,56177400696,38420748245,45869164045,34484127309,10308236651,3936620936,71620025113,52667711677,-61311788462,-48731090741,-93202090233,-88716231805,-56513635182,-98022162278,,,,2020,
188141790615,251572612204,99796600600,34034507841,11746775784,13810968811,41458513994,19892235070,743692264095,121819304371,98026814858,6002001201.0,0,231507461398,-183022046687,512184802697,69825991454,56177400696,48758568427,45869164045,21067423027,10308236651,122085847311,71620025113,-101018424284,-61311788462,-110449430205,-111606825948,-54765398832,-68496022270,,,,2021,26020000000.0
343614513503,188141790615,195695147868,15140286723,34034507841,12343614401,51559516036,41458513994,967265434792,200369576030,121819304371,4360000000.0,320000000,268287104470,-132598464068,698978330322,179707913112,69825991454,113463198737,48758568427,66244714375,21067423027,140909607434,122085847311,-74664893059,-101018424284,-88410733060,-98603344338,-61816035433,-112279851712,,,,2022,0.0
144406832382,343614513503,108888419177,7225499971,15140286723,11421547985,48755023470,38971784029,751721630091,86332423578,200369576030,3400000000.0,19541950300,169475199911,-24169405515,582246430180,11927382903,726048238,43794069453,113463198737,-893508257,66244714375,124131232353,140909607434,-125024740610,-74664893059,-6753776618,-206042537607,-111631653903,25534918873,,,,2023,3500000000.0
172281679541,144406832382,93047819826,8919340113,7225499971,9687942467,72640415818,48755023470,887424813429,160718376716,86332423578,,34489444428,235310995214,211934490960,652113818215,1936882036,11971657903,56071158768,43794069453,12054568579,-893508257,130570721508,124131232353,-118516152929,-125024740610,-109249140850,-108026798560,-114312509443,-74849354436,,,,2024,16207168560.0
124277320596,172281679541,40983350542,9519726328,8919340113,9454277938,68678343809,72640415818,930177639023,347662156199,160718376716,,4155693447,435763869963,2925070223,494413769060,7556482376,1936882036,56461029564,56071158768,27711544660,12054568579,131928881201,130570721508,-104217336541,-118516152929,-240539966403,-235415156253,-92588030393,-5851346252,,,,2025,0.0
